module	gene	in_IFN_hallmark
NHEJ	XRCC4	FALSE
NHEJ	XRCC5	FALSE
NHEJ	XRCC6	FALSE
NHEJ	LIG4	FALSE
NHEJ	PRKDC	FALSE
NHEJ	NHEJ1	FALSE
NHEJ	DCLRE1C	FALSE
NHEJ	APLF	FALSE
NHEJ	POLL	FALSE
NHEJ	POLM	FALSE
STING_core	cGAS	FALSE
STING_core	TMEM173	FALSE
STING_core	TBK1	FALSE
STING_core	IKBKE	FALSE
STING_core	IRF3	FALSE
STING_core	DDX41	FALSE
STING_core	IFI16	FALSE
STING_core	AIM2	FALSE
STING_plus_IFN_genes_only	IRF7	TRUE
STING_plus_IFN_genes_only	ZBP1	TRUE
keratin_covariate	KRT8	FALSE
keratin_covariate	KRT18	FALSE
keratin_covariate	KRT19	FALSE
immune_leak	PTPRC	FALSE
immune_leak	CD3D	FALSE
immune_leak	CD3E	FALSE
immune_leak	CD68	FALSE
immune_leak	NKG7	FALSE
immune_leak	MS4A1	FALSE
