family	estimator	n_q1	n_q4	n	k	n_genes	logFC	se	df	p	ci_low	ci_high	I2	tau2	thin	fdr	expect	sign_matches
IFN	cohort_GSE123902	4	3	7	1	203	-0.626043332834428	0.376090273151288	5	0.156873384780414	-1.59281415755663	0.340727491887773	NA	NA	FALSE	0.26145564130069	-1	TRUE
IFN	cohort_GSE131907	6	5	11	1	203	0.146151117276299	0.377656520945953	9	0.707751818133075	-0.708167286659039	1.00046952121164	NA	NA	FALSE	0.884689772666344	-1	FALSE
IFN	cohort_GSE205335	5	6	11	1	203	-1.62020039049203	0.400916213082025	9	0.00292312705780153	-2.52713587359746	-0.713264907386597	NA	NA	FALSE	0.00795299899094551	-1	TRUE
IFN	cohort_GSE189357	3	2	5	1	203	-0.239875665871888	0.246949019005515	3	0.403016403710744	-1.02577765899942	0.546026327255648	NA	NA	TRUE	0.656889232823945	-1	TRUE
IFN	re_meta	18	16	34	4	203	-0.559673607958417	0.369886767804738	3	0.227464163418256	-1.73681838553194	0.617471169615105	74.8583112600273	0.348675374792519	TRUE	0.379106939030427	-1	TRUE
IFN	re_meta_drop_thin	15	14	29	3	203	-0.692772313640974	0.509838566586967	2	0.307159856242554	-2.88643061389794	1.50088598661599	80.5834697503772	0.614256015019356	FALSE	0.383949820303193	-1	TRUE
IFN	stacked_ols	18	16	34	4	203	-0.643005243383009	0.234766335677737	29	0.0104297828777943	-1.12315631208599	-0.162854174680025	NA	NA	FALSE	0.0260744571944856	-1	TRUE
IFN	lmm_cohort	18	16	34	4	203	-0.665139556647626	0.234867894644209	29	0.00832479290222324	-1.14549833675926	-0.184780776535989	NA	0.061037161249	FALSE	0.0208119822555581	-1	TRUE
MHC-I/APM	cohort_GSE123902	4	3	7	1	21	-0.748145974254839	0.407536052467064	5	0.125828892052359	-1.7957507480936	0.299458799583924	NA	NA	FALSE	0.26145564130069	-1	TRUE
MHC-I/APM	cohort_GSE131907	6	5	11	1	21	-0.070497814221008	0.637474645977901	9	0.914368958727711	-1.51256565072217	1.37157002228015	NA	NA	FALSE	0.914368958727711	-1	TRUE
MHC-I/APM	cohort_GSE205335	5	6	11	1	21	-1.77030441306802	0.628728588333595	9	0.0201886054038943	-3.19258729262287	-0.348021533513177	NA	NA	FALSE	0.0336476756731572	-1	TRUE
MHC-I/APM	cohort_GSE189357	3	2	5	1	21	-0.338759294972407	0.368375884794888	3	0.425599554181678	-1.51109576849352	0.833577178548702	NA	NA	TRUE	0.656889232823945	-1	TRUE
MHC-I/APM	re_meta	18	16	34	4	21	-0.670885235416582	0.323862739356359	3	0.130053954436441	-1.70156101370029	0.359790542867124	37.0875869224333	0.138423009580117	TRUE	0.325134886091102	-1	TRUE
MHC-I/APM	re_meta_drop_thin	15	14	29	3	21	-0.849102342003584	0.455177797390817	2	0.20311536219257	-2.80757433446853	1.10936965046136	45.8950466024619	0.257509033700668	FALSE	0.37541228286199	-1	TRUE
