test	cohort	pair	note	n	rho	p	mwu_n_high	mwu_n_low	mwu_median_high	mwu_median_low	mwu_U	mwu_p	mwu_delta
spearman	baseline_patient	CLDN4 vs CD274	one biopsy/patient; n=25; Pre-Tx else Pre-xRT	25	-0.060396231161463164	0.7742788038350163							
spearman	baseline_patient	CLDN4 vs TNK	one biopsy/patient; n=25; Pre-Tx else Pre-xRT	25	-0.42538461538461536	0.03401300109671606							
spearman	baseline_patient	CLDN4 vs IFN	one biopsy/patient; n=25; Pre-Tx else Pre-xRT	25	-0.46153846153846156	0.020210948364049016							
spearman	baseline_patient	CLDN4 vs CD8A	one biopsy/patient; n=25; Pre-Tx else Pre-xRT	25	-0.21004017561573624	0.31358243006073905							
spearman	baseline_patient	CLDN4 vs NKG7	one biopsy/patient; n=25; Pre-Tx else Pre-xRT	25	-0.6447924508791902	0.0005022386302525272							
spearman	baseline_patient	CLDN4 vs MHC	one biopsy/patient; n=25; Pre-Tx else Pre-xRT	25	-0.3576923076923077	0.07917184179677549							
spearman	baseline_patient	CLDN4 vs TACSTD2	one biopsy/patient; n=25; Pre-Tx else Pre-xRT	25	0.5592307692307692	0.0036577642067670882							
spearman	baseline_patient	CLDN4 vs EPCAM	one biopsy/patient; n=25; Pre-Tx else Pre-xRT	25	0.7792307692307692	4.436262495819452e-06							
spearman	baseline_patient	CLDN4 vs PDCD1	one biopsy/patient; n=25; Pre-Tx else Pre-xRT	25	0.004892297907721662	0.9814833940013782							
partial_spearman_|EPCAM	baseline_patient	CLDN4 vs CD274	one biopsy/patient; n=25; Pre-Tx else Pre-xRT; rank residual on EPCAM	25	-0.12030286382154354	0.5667760617198992							
partial_spearman_|EPCAM	baseline_patient	CLDN4 vs TNK	one biopsy/patient; n=25; Pre-Tx else Pre-xRT; rank residual on EPCAM	25	-0.574667735210665	0.0026590358717756136							
partial_spearman_|EPCAM	baseline_patient	CLDN4 vs IFN	one biopsy/patient; n=25; Pre-Tx else Pre-xRT; rank residual on EPCAM	25	-0.5301110438793015	0.00641623830801785							
partial_spearman_|EPCAM	baseline_patient	CLDN4 vs CD8A	one biopsy/patient; n=25; Pre-Tx else Pre-xRT; rank residual on EPCAM	25	-0.4433349541449107	0.02644020998636931							
partial_spearman_|EPCAM	baseline_patient	CLDN4 vs NKG7	one biopsy/patient; n=25; Pre-Tx else Pre-xRT; rank residual on EPCAM	25	-0.6306180372282596	0.0007265036700907346							
partial_spearman_|EPCAM	baseline_patient	CLDN4 vs MHC	one biopsy/patient; n=25; Pre-Tx else Pre-xRT; rank residual on EPCAM	25	-0.6160747762304511	0.0010419389322401896							
median_split_MWU	baseline_patient	CLDN4-high vs low, CD274	one biopsy/patient; n=25; Pre-Tx else Pre-xRT; high n=13 (>= median 7.783); low n=12	25	-0.22435897435897437	0.3550408309041967	13.0	12.0	3.67577277573779	3.996235044197463	60.5	0.3550408309041967	-0.22435897435897437
median_split_MWU	baseline_patient	CLDN4-high vs low, TNK	one biopsy/patient; n=25; Pre-Tx else Pre-xRT; high n=13 (>= median 7.783); low n=12	25	-0.4230769230769231	0.0770998717435417	13.0	12.0	-0.5797483480354014	0.18723159843253626	45.0	0.0770998717435417	-0.4230769230769231
median_split_MWU	baseline_patient	CLDN4-high vs low, IFN	one biopsy/patient; n=25; Pre-Tx else Pre-xRT; high n=13 (>= median 7.783); low n=12	25	-0.5256410256410257	0.0276011217404837	13.0	12.0	-0.3422870609545657	-0.026969824279635842	37.0	0.0276011217404837	-0.5256410256410257
median_split_MWU	baseline_patient	CLDN4-high vs low, CD8A	one biopsy/patient; n=25; Pre-Tx else Pre-xRT; high n=13 (>= median 7.783); low n=12	25	-0.16666666666666666	0.4948971855155434	13.0	12.0	0.9890850214196057	2.21846737053576	65.0	0.4948971855155434	-0.16666666666666666
median_split_MWU	baseline_patient	CLDN4-high vs low, NKG7	one biopsy/patient; n=25; Pre-Tx else Pre-xRT; high n=13 (>= median 7.783); low n=12	25	-0.6923076923076923	0.0034860339679871387	13.0	12.0	1.3088201759711933	3.6415023753620614	24.0	0.0034860339679871387	-0.6923076923076923
median_split_MWU	baseline_patient	CLDN4-high vs low, MHC	one biopsy/patient; n=25; Pre-Tx else Pre-xRT; high n=13 (>= median 7.783); low n=12	25	-0.358974358974359	0.13470504984007844	13.0	12.0	-0.49078446561424377	0.13285105910598818	50.0	0.13470504984007844	-0.358974358974359
spearman	pre_tx	CLDN4 vs CD274	Pre-Tx only; n=23; still one/patient	23	0.0009883864892793377	0.9964288594608488							
spearman	pre_tx	CLDN4 vs TNK	Pre-Tx only; n=23; still one/patient	23	-0.48023715415019763	0.020378798193912306							
spearman	pre_tx	CLDN4 vs IFN	Pre-Tx only; n=23; still one/patient	23	-0.5217391304347826	0.010667373110931088							
spearman	pre_tx	CLDN4 vs CD8A	Pre-Tx only; n=23; still one/patient	23	-0.3267170363445216	0.12810655124218986							
spearman	pre_tx	CLDN4 vs NKG7	Pre-Tx only; n=23; still one/patient	23	-0.6852120215128263	0.0003087125322245742							
spearman	pre_tx	CLDN4 vs MHC	Pre-Tx only; n=23; still one/patient	23	-0.4061264822134388	0.0544915339707887							
spearman	pre_tx	CLDN4 vs TACSTD2	Pre-Tx only; n=23; still one/patient	23	0.6482213438735179	0.0008227075253363855							
spearman	pre_tx	CLDN4 vs EPCAM	Pre-Tx only; n=23; still one/patient	23	0.7737154150197629	1.487054647030861e-05							
spearman	pre_tx	CLDN4 vs PDCD1	Pre-Tx only; n=23; still one/patient	23	-0.10876772059671816	0.6212976678284007							
partial_spearman_|EPCAM	pre_tx	CLDN4 vs CD274	Pre-Tx only; n=23; still one/patient; rank residual on EPCAM	23	-0.13938111331199546	0.5258985569488913							
partial_spearman_|EPCAM	pre_tx	CLDN4 vs TNK	Pre-Tx only; n=23; still one/patient; rank residual on EPCAM	23	-0.5982066408845967	0.0025686874847715923							
partial_spearman_|EPCAM	pre_tx	CLDN4 vs IFN	Pre-Tx only; n=23; still one/patient; rank residual on EPCAM	23	-0.5451652493652588	0.00713977209423446							
partial_spearman_|EPCAM	pre_tx	CLDN4 vs CD8A	Pre-Tx only; n=23; still one/patient; rank residual on EPCAM	23	-0.4723474645344156	0.022853564622865922							
partial_spearman_|EPCAM	pre_tx	CLDN4 vs NKG7	Pre-Tx only; n=23; still one/patient; rank residual on EPCAM	23	-0.6651820440806037	0.000533579123471817							
partial_spearman_|EPCAM	pre_tx	CLDN4 vs MHC	Pre-Tx only; n=23; still one/patient; rank residual on EPCAM	23	-0.6446731249288489	0.0008977824205060319							
median_split_MWU	pre_tx	CLDN4-high vs low, CD274	Pre-Tx only; n=23; still one/patient; high n=12 (>= median 7.753); low n=11	23	-0.05303030303030303	0.8534777864583856	12.0	11.0	3.7522836973570453	3.9766037068640334	62.5	0.8534777864583856	-0.05303030303030303
median_split_MWU	pre_tx	CLDN4-high vs low, TNK	Pre-Tx only; n=23; still one/patient; high n=12 (>= median 7.753); low n=11	23	-0.5303030303030303	0.03372635757681134	12.0	11.0	-0.614991513998998	0.2555118997814865	31.0	0.03372635757681134	-0.5303030303030303
median_split_MWU	pre_tx	CLDN4-high vs low, IFN	Pre-Tx only; n=23; still one/patient; high n=12 (>= median 7.753); low n=11	23	-0.6515151515151515	0.00890462720971815	12.0	11.0	-0.3870552623126864	0.004329685723262315	23.0	0.00890462720971815	-0.6515151515151515
median_split_MWU	pre_tx	CLDN4-high vs low, CD8A	Pre-Tx only; n=23; still one/patient; high n=12 (>= median 7.753); low n=11	23	-0.42424242424242425	0.08895562875137698	12.0	11.0	0.760284387599309	2.2697082990344484	38.0	0.08895562875137698	-0.42424242424242425
median_split_MWU	pre_tx	CLDN4-high vs low, NKG7	Pre-Tx only; n=23; still one/patient; high n=12 (>= median 7.753); low n=11	23	-0.7272727272727273	0.003303640537009284	12.0	11.0	1.1751770587863908	3.656837879985537	18.0	0.003303640537009284	-0.7272727272727273
