analysis	k	n_patients	cohorts	spearman_rho	spearman_p	q4q1_within_r	q4q1_within_p	n_q1	n_q4	n_compared	median_tnk_q1	median_tnk_q4	delta_median_tnk	thin	fisher_z_rho	fisher_z_p	fisher_z_I2
QUAD pooled patients	4	90	GSE131907,GSE148071,GSE205335,GSE207422	-0.11279581841379593	0.2898277917253399	-0.3659420289855072	0.032453325199455485	24	23	47	0.33466357500154814	0.11904501149928814	-0.21561856350226	False	-0.238594281909346	0.031664744526455096	0.0878019021329999
GSE207422 only	1	12	GSE207422	-0.39860139860139865	0.19933549461780897	-0.7777777777777778	0.2	3	3	6	0.6141803402077375	0.19946690359840072	-0.4147134366093368	True	-0.238594281909346	0.031664744526455096	0.0878019021329999
GSE131907 only	1	31	GSE131907	-0.28588709677419355	0.11897675584362465	-0.34375	0.2786324786324786	8	8	16	0.35166370663245505	0.2028911984463974	-0.14877250818605764	False	-0.238594281909346	0.031664744526455096	0.0878019021329999
GSE148071 only	1	25	GSE148071	0.06923076923076923	0.7422865391098581	0.0	1.0	7	6	13	0.08013937282229965	0.0737881061264146	-0.006351266695885052	False	-0.238594281909346	0.031664744526455096	0.0878019021329999
GSE205335 only	1	22	GSE205335	-0.41840767927724454	0.052632164362510975	-0.7777777777777778	0.025974025974025976	6	6	12	0.5142311424633498	0.11640665785333915	-0.39782448461001063	False	-0.238594281909346	0.031664744526455096	0.0878019021329999
LOO drop GSE207422	3	78	GSE131907,GSE148071,GSE205335	-0.1876730864072636	0.09989167134217858	-0.3476190476190476	0.05863142958096207	21	20	41	0.323943661971831	0.11089089205450114	-0.21305276991732985	False	-0.238594281909346	0.031664744526455096	0.0878019021329999
LOO drop GSE131907	3	59	GSE148071,GSE205335,GSE207422	-0.050438340151957924	0.704408298209479	-0.3583333333333333	0.09296509721535881	16	15	31	0.25667100092067113	0.11904501149928814	-0.137625989421383	False	-0.238594281909346	0.031664744526455096	0.0878019021329999
LOO drop GSE148071	3	65	GSE131907,GSE205335,GSE207422	-0.29672202797202796	0.0163880145223211	-0.5363321799307958	0.007998053620626356	17	17	34	0.39581589958158997	0.12261689745133454	-0.27319900213025544	False	-0.238594281909346	0.031664744526455096	0.0878019021329999
LOO drop GSE205335	3	68	GSE131907,GSE148071,GSE207422	0.05458640302324693	0.6584055985221919	-0.24183006535947715	0.22832704879820187	18	17	35	0.30813735870041814	0.11904501149928814	-0.18909234720113	False	-0.238594281909346	0.031664744526455096	0.0878019021329999
