set	gene
NHEJ_CORE	PRKDC
NHEJ_CORE	XRCC5
NHEJ_CORE	XRCC6
NHEJ_CORE	XRCC4
NHEJ_CORE	LIG4
NHEJ_CORE	NHEJ1
NHEJ_CORE	DCLRE1C
NHEJ_CORE	PAXX
NHEJ_CORE	APLF
NHEJ_CORE	PNKP
NHEJ_CORE	APTX
NHEJ_CORE	POLL
NHEJ_CORE	POLM
NHEJ_CORE	CYREN
NHEJ_53BP1_SHIELDIN	TP53BP1
NHEJ_53BP1_SHIELDIN	RIF1
NHEJ_53BP1_SHIELDIN	MAD2L2
NHEJ_53BP1_SHIELDIN	SHLD1
NHEJ_53BP1_SHIELDIN	SHLD2
NHEJ_53BP1_SHIELDIN	SHLD3
HALLMARK_DNA_REPAIR	AAAS
HALLMARK_DNA_REPAIR	ADA
HALLMARK_DNA_REPAIR	ADCY6
HALLMARK_DNA_REPAIR	ADRM1
HALLMARK_DNA_REPAIR	AGO4
HALLMARK_DNA_REPAIR	AK1
HALLMARK_DNA_REPAIR	AK3
HALLMARK_DNA_REPAIR	ALYREF
HALLMARK_DNA_REPAIR	APRT
HALLMARK_DNA_REPAIR	ARL6IP1
HALLMARK_DNA_REPAIR	BCAM
HALLMARK_DNA_REPAIR	BCAP31
HALLMARK_DNA_REPAIR	BOLA2
HALLMARK_DNA_REPAIR	BRF2
HALLMARK_DNA_REPAIR	CANT1
HALLMARK_DNA_REPAIR	CCNO
HALLMARK_DNA_REPAIR	CDA
HALLMARK_DNA_REPAIR	CETN2
HALLMARK_DNA_REPAIR	CLP1
HALLMARK_DNA_REPAIR	CMPK2
HALLMARK_DNA_REPAIR	COX17
HALLMARK_DNA_REPAIR	CSTF3
HALLMARK_DNA_REPAIR	DAD1
HALLMARK_DNA_REPAIR	DCTN4
HALLMARK_DNA_REPAIR	DDB1
HALLMARK_DNA_REPAIR	DDB2
HALLMARK_DNA_REPAIR	DGCR8
HALLMARK_DNA_REPAIR	DGUOK
HALLMARK_DNA_REPAIR	DUT
HALLMARK_DNA_REPAIR	EDF1
HALLMARK_DNA_REPAIR	EIF1B
HALLMARK_DNA_REPAIR	ELL
HALLMARK_DNA_REPAIR	ELOA
HALLMARK_DNA_REPAIR	ERCC1
HALLMARK_DNA_REPAIR	ERCC2
HALLMARK_DNA_REPAIR	ERCC3
HALLMARK_DNA_REPAIR	ERCC4
HALLMARK_DNA_REPAIR	ERCC5
HALLMARK_DNA_REPAIR	ERCC8
HALLMARK_DNA_REPAIR	FEN1
HALLMARK_DNA_REPAIR	GMPR2
HALLMARK_DNA_REPAIR	GPX4
HALLMARK_DNA_REPAIR	GSDME
HALLMARK_DNA_REPAIR	GTF2A2
HALLMARK_DNA_REPAIR	GTF2B
HALLMARK_DNA_REPAIR	GTF2F1
HALLMARK_DNA_REPAIR	GTF2H1
HALLMARK_DNA_REPAIR	GTF2H3
HALLMARK_DNA_REPAIR	GTF2H5
HALLMARK_DNA_REPAIR	GTF3C5
HALLMARK_DNA_REPAIR	GUK1
HALLMARK_DNA_REPAIR	HCLS1
HALLMARK_DNA_REPAIR	HPRT1
HALLMARK_DNA_REPAIR	IMPDH2
HALLMARK_DNA_REPAIR	ITPA
HALLMARK_DNA_REPAIR	LIG1
HALLMARK_DNA_REPAIR	MPC2
HALLMARK_DNA_REPAIR	MPG
HALLMARK_DNA_REPAIR	MRPL40
HALLMARK_DNA_REPAIR	NCBP2
HALLMARK_DNA_REPAIR	NELFB
HALLMARK_DNA_REPAIR	NELFCD
HALLMARK_DNA_REPAIR	NELFE
HALLMARK_DNA_REPAIR	NFX1
HALLMARK_DNA_REPAIR	NME1
HALLMARK_DNA_REPAIR	NME3
HALLMARK_DNA_REPAIR	NME4
HALLMARK_DNA_REPAIR	NPR2
HALLMARK_DNA_REPAIR	NT5C
HALLMARK_DNA_REPAIR	NT5C3A
HALLMARK_DNA_REPAIR	NUDT21
HALLMARK_DNA_REPAIR	NUDT9
HALLMARK_DNA_REPAIR	PCNA
HALLMARK_DNA_REPAIR	PDE4B
HALLMARK_DNA_REPAIR	PDE6G
HALLMARK_DNA_REPAIR	PNP
HALLMARK_DNA_REPAIR	POLA1
HALLMARK_DNA_REPAIR	POLA2
HALLMARK_DNA_REPAIR	POLB
HALLMARK_DNA_REPAIR	POLD1
HALLMARK_DNA_REPAIR	POLD3
HALLMARK_DNA_REPAIR	POLD4
HALLMARK_DNA_REPAIR	POLE4
HALLMARK_DNA_REPAIR	POLH
HALLMARK_DNA_REPAIR	POLL
HALLMARK_DNA_REPAIR	POLR1C
HALLMARK_DNA_REPAIR	POLR1D
HALLMARK_DNA_REPAIR	POLR1H
HALLMARK_DNA_REPAIR	POLR2A
HALLMARK_DNA_REPAIR	POLR2C
HALLMARK_DNA_REPAIR	POLR2D
HALLMARK_DNA_REPAIR	POLR2E
HALLMARK_DNA_REPAIR	POLR2F
HALLMARK_DNA_REPAIR	POLR2G
HALLMARK_DNA_REPAIR	POLR2H
