subset,n,CR,PR,SD,PD,note
lung (non-squamous + squamous),35,1,8,12,14,best.resp is the usable RECIST field; GEO 'response' is RC_RP_SD for all 35 lung samples including 14 PD and must not be used
all histologies,65,3,17,16,29,25 melanoma + 5 HNSCC + 35 lung
