gene,in_deposited_NSCLC_matrix
CXCL9,Y
CD274,Y
LAG3,Y
IFNG,Y
PDCD1,Y
NKG7,Y
CD8A,Y
SLAMF7,Y
PDCD1LG2,Y
HAVCR2,Y
CD80,Y
CD86,Y
CTLA4,Y
CD2,Y
TLR8,Y
GZMK,Y
TNFRSF4,Y
FOXP3,Y
CD276,Y
VTCN1,Y
CD37,Y
TACSTD2,N
CLDN4,N
