accession,pdat,n_samples,gpl,pubmed,title,lung,ici_treated,sample_type,platform,ici_outcome_on_geo,tacstd2_cldn4,category,verdict
GSE100860,2018/10/05,14,16791,30282824,Monitoring Nivolumab binding as a method to clarify the residual therapeutic effects and to characterize the immune profile in antibody bound T cells in previously treated non-small cell lung cancer patients,Y (NSCLC patients),"Y (nivolumab, 1 dose)",peripheral-blood CD8 T cells (bound vs unbound),RNA-seq; series matrix empty (SRA + RAW.tar),N,not interpretable (T-cell compartment),tcell-no-outcome,"EXCLUDE — T-cell binding study, no tumor epithelium, no ICI endpoint"
GSE101929,2017/07/28,66,570,29196495,Gene expression data from African Americans and European Americans with non-small cell lung cancer,Y (NSCLC),N,paired tumor/normal Affymetrix,GPL570,N,possible on GPL570 but no ICI endpoint,not-ICI,"EXCLUDE — race-comparison microarray, not ICI"
GSE102286,2017/08/04,179,23871,29196495,MicroRNA expression data from African Americans and European Americans with non-small cell lung cancer,Y (NSCLC),N,miRNA array,GPL23871,N,N (miRNA platform),not-ICI,"EXCLUDE — miRNA, not ICI, cannot measure TACSTD2/CLDN4 mRNA"
GSE106420,2018/08/09,12,11154,30111633,Human lymph nodes maintain a unique subset of resident memory T cells with high functional potential important for protective immunity and immunotherapies,mention only (LN/BM memory T cells vs lung),N,memory CD8 from LN/BM,RNA-seq,N,n/a,not-cancer-ICI,"EXCLUDE — healthy-tissue TRM, not lung cancer ICI"
GSE108819,2018/07/23,9,21827,30224822,"The mRNA and lncRNA profiles of the T cells activated by breast tumor-specific DCs pulsed by MDA-MB-231 lysates at day 0, day 1 and day 6",mention in abstract,N,in-vitro T cells + breast-tumor DC pulse,array,N,n/a,in-vitro,"EXCLUDE — breast-tumor DC / T-cell AICD, not lung ICI"
GSE109010,2018/06/17,12,23159,29892061,Mutations in the SWI/SNF chromatin remodeling complex induce metabolic rewiring and dependence on oxidative phosphorylation [Affymetrix],Y (H1299 cell line),N,H1299 SMARCA4 / OXPHOS perturbation,Affymetrix,N,"irrelevant (cell line, no ICI)",cell-line,"EXCLUDE — cell-line metabolism, immunotherapy only in the paper intro"
GSE109020,2018/06/17,4,11154,29892061,Mutations in the SWI/SNF chromatin remodeling complex induce metabolic rewiring and dependence on oxidative phosphorylation,Y (H1299),N,SMARCA4 ChIP-seq,ChIP-seq,N,"N (occupancy, not expression vs ICI)",cell-line,EXCLUDE — ChIP-seq companion of GSE109010
GSE110390,2018/02/14,159,18573,29716923,Interferon Gamma mRNA Signature in Tumor Biopsies Predicts Outcomes in Patients with Non–Small-Cell Lung Carcinoma or Urothelial Cancer Treated with Durvalumab,Y (97 NSCLC + 62 UC),"Y (durvalumab, NCT01693562)",tumor needle biopsy RNA-seq,Illumina NextSeq 500; only 21 IFNG-axis genes deposited,N (no RECIST/PFS/OS on GEO samples),N (not among the 21 deposited genes),lung-ICI-no-markers-no-outcomes,"UNUSABLE — genuine lung ICI RNA-seq, but GEO holds a 21-gene IFNG subset and no outcomes"
GSE111360,2018/12/13,35,24676;20301,30550791,Organoid modeling of the tumor immune microenvironment,partial (air-liquid / organoid TME; mixed cancers),N,scRNA + VDJ organoid cultures,10x; RAW.tar,N,not an ICI-outcome test,in-vitro,EXCLUDE — in-vitro organoid TME model
GSE113972,2018/10/18,7,11154,30518613,Non-coding regions are the main source of tumor-specific antigens [human],Y (3 lung biopsies + 4 B-ALL),N,primary tumor RNA-seq for TSA discovery,HiSeq 2000,N,not an ICI-outcome test,not-ICI,"EXCLUDE — antigen discovery, n=3 lung, no ICI treatment/outcome"
GSE115305,2018/12/26,12,18573,30130255,Self-associated molecular patterns mediate cancer immune evasion by engagement of Siglec receptors,Y (NSCLC TIL),N,Siglec-9+ vs Siglec-9- CD8 TIL,RNA-seq,N,not interpretable (CD8),tcell-no-ICI,"EXCLUDE — CD8 Siglec-9 sort, no ICI endpoint"
GSE120545,2018/09/28,4,23159,,Expression date from endothelial cells stimulated with anti-HLA class I and anti-A antibody,N,N,endothelial cells + anti-HLA/A antibodies,array,N,n/a,not-cancer,EXCLUDE — transplant endothelium; false-positive hit on 'PD'
GSE121682,2018/12/11,12,25714,30486888,Immunotherapy Utilizing NK cells and ADCC Mediating Agents with Poly (ADP-ribose) polymerase (PARP) Inhibition,N (prostate lines),N (olaparib ± NK/ADCC context),22Rv1 / DU145 + olaparib,array,N,n/a,not-lung,EXCLUDE — prostate cell lines
GSE124199,2018/12/21,14,16791,30926812,Wnt1 silences CC/CXC motif chemokine genes in dendritic cells and induces adaptive immune resistance in lung adenocarcinoma,Y (LUAD),N,sorted dendritic-cell subsets,RNA-seq of DCs,N,not interpretable (DC compartment),not-ICI,"EXCLUDE — DC Wnt1 study, not ICI-treated patients"
GSE54781,2017/01/21,41,18153,,Expression of putative targets of immunotherapy in acute myeloid leukemia and healthy tissues,N (AML + healthy tissues),N,RT-PCR immunotherapy-target panel,custom RT-PCR,N,not this question,not-lung,EXCLUDE — AML SuperSeries; PDAT 2017 update of older data
GSE87879,2017/03/07,6,17586,27923835,Re-activating pRB via PD 0332991 treatment in NSCLC H1299 Cells,Y (H1299),N (CDK4/6 inhibitor PD 0332991),H1299 cell line,array,N,irrelevant,cell-line,"EXCLUDE — palbociclib in H1299; 'PD' is the drug name, not PD-1"
