accession,file,n_features,TACSTD2,CLDN4,other_hits,note
GSE93157,GSE93157_raw_data_values.txt.gz,770,absent,absent,none,NanoString PanCancer Immune Profiling Panel; epithelial TACSTD2/CLDN4 not on panel
GSE110390,GSE110390_CP1108_NSCLC_21gene_expression.txt.gz,21,absent,absent,none,21 IFNG-axis genes x 97 NSCLC samples; full transcriptome not deposited
