n	rho	p	cohort	predictor	endpoint	test	tacstd2_gate
501	-0.004218861887799659	0.9249538979874004	TCGA-LUSC	CLDN4_RNA	ImmuneScore	spearman_continuous	none
502	-0.017316531025107735	0.6987229892224273	TCGA-LUSC	CLDN4_RNA	CD8A	spearman_continuous	none
502	0.024434926437492958	0.5849353402374992	TCGA-LUSC	CLDN4_RNA	CD274	spearman_continuous	none
