sample	CLDN4	CD8A	CD274	ImmuneScore	ESTIMATE_StromalScore	ESTIMATE_Score	quartile	tacstd2_gate
TCGA-18-3406-01	11.8352	8.3874	5.4436	1327.02	480.42	1807.44	Q2	none
TCGA-18-3407-01	11.3286	7.6186	9.1548	291.63	196.27	487.9	Q2	none
TCGA-18-3408-01	11.5142	7.8712	8.5633	524.56	-58.99	465.57	Q2	none
TCGA-18-3409-01	9.0657	6.4955	5.6652	736.86	1351.68	2088.54	Q1	none
TCGA-18-3410-01	12.289	9.7423	10.6454	1326.71	-356.13	970.58	Q3	none
TCGA-18-3411-01	12.6919	7.3101	5.3935	682.31	-120.61	561.7	Q3	none
TCGA-18-3412-01	13.4911	6.7365	6.3225	159.19	-681.5	-522.31	Q4	none
TCGA-18-3414-01	13.1285	8.3335	5.4538	376.17	-459.08	-82.91	Q4	none
TCGA-18-3415-01	11.6275	9.2117	9.7384	806.03	60.99	867.02	Q2	none
TCGA-18-3416-01	12.8798	11.3261	10.1019	1631.99	-585.83	1046.16	Q4	none
TCGA-18-3417-01	13.2332	7.3202	6.0065	417.59	701.27	1118.86	Q4	none
TCGA-18-3419-01	12.7457	8.8821	6.15	727.04	-962.85	-235.81	Q4	none
TCGA-18-3421-01	11.1429	9.8203	7.6148	708.08	-605.54	102.54	Q1	none
TCGA-18-4083-01	11.0697	8.4651	10.0137	69.94	-56.98	12.95	Q1	none
TCGA-18-4086-01	12.3625	7.9845	7.9686	587.74	118.36	706.1	Q3	none
TCGA-18-4721-01	10.8069	9.2167	9.3008	1274.86	468.99	1743.85	Q1	none
TCGA-18-5592-01	10.5141	8.3081	5.7243	-239.84	-869.18	-1109.02	Q1	none
TCGA-18-5595-01	11.1284	5.9668	6.6436	-865.91	-1201.89	-2067.81	Q1	none
TCGA-21-1070-01	12.4415	9.9868	8.4061	1575.84	-108.23	1467.61	Q3	none
TCGA-21-1071-01	11.5901	7.9092	6.8885	321.14	-95.36	225.78	Q2	none
TCGA-21-1072-01	11.0306	6.9196	6.7341	-449.31	-625.76	-1075.08	Q1	none
TCGA-21-1075-01	11.3304	3.7878	7.7921	-1075.44	-1347.27	-2422.71	Q2	none
TCGA-21-1076-01	12.4561	8.5481	7.19125	2233.77	1137.14	3370.91	Q3	none
TCGA-21-1077-01	12.741	6.6282	6.905	388.63	-280.01	108.62	Q3	none
TCGA-21-1078-01	12.8456	4.8792	3.8709	-749.42	-1782.79	-2532.21	Q4	none
TCGA-21-1079-01	8.2048	5.8753	8.209	74.77	277.55	352.32	Q1	none
TCGA-21-1080-01	10.9949	8.6983	5.4464	179.28	-916.3	-737.03	Q1	none
TCGA-21-1081-01	12.5331	6.1051	4.4768	-478.57	-124.86	-603.43	Q3	none
TCGA-21-1082-01	12.1634	8.4862	4.9369	734.31	-39.85	694.46	Q3	none
TCGA-21-1083-01	11.2448	8.8314	9.5185	610.91	-221.08	389.83	Q1	none
TCGA-21-5782-01	11.2254	7.8678	4.8056	126.87	-39.49	87.38	Q1	none
TCGA-21-5783-01	11.9029	6.2679	4.8944	-590.44	-235.04	-825.48	Q2	none
TCGA-21-5784-01	12.8994	8.4675	4.5582	1120.51	-101.32	1019.19	Q4	none
TCGA-21-5786-01	10.6602	7.5866	4.8038	-117.97	-353.81	-471.78	Q1	none
TCGA-21-5787-01	10.6606	11.329	5.9294	1544.64	10.02	1554.66	Q1	none
