platform	gene	probe_id	matched_column	matched_value
GPL14951	CXCL9	ILMN_1745356	ILMN_Gene	CXCL9
GPL14951	CLDN4	ILMN_2132458	ILMN_Gene	CLDN4
GPL14951	CD8A	ILMN_2353732	ILMN_Gene	CD8A
GPL14951	CD8A	ILMN_1768482	ILMN_Gene	CD8A
GPL14951	CD8A	ILMN_1760374	ILMN_Gene	CD8A
GPL14951	HLA-DRA	ILMN_2157441	ILMN_Gene	HLA-DRA
GPL14951	HLA-DRA	ILMN_1689655	ILMN_Gene	HLA-DRA
GPL14951	GZMB	ILMN_2109489	ILMN_Gene	GZMB
GPL14951	CD274	ILMN_1701914	ILMN_Gene	CD274
GPL14951	TACSTD2	ILMN_1739001	ILMN_Gene	TACSTD2
GPL14951	STAT1	ILMN_1690105	ILMN_Gene	STAT1
GPL14951	STAT1	ILMN_1777325	ILMN_Gene	STAT1
GPL14951	PDCD1	ILMN_1806725	ILMN_Gene	PDCD1
GPL14951	STAT1	ILMN_1691364	ILMN_Gene	STAT1
GPL14951	IFNG	ILMN_2207291	ILMN_Gene	IFNG
