	GSM2631836	GSM2631837	GSM2631838	GSM2631839	GSM2631840	GSM2631841	GSM2631842	GSM2631843	GSM2631844	GSM2631845	GSM2631846	GSM2631847	GSM2634645	GSM2634646	GSM2634647	GSM2634648	GSM2634649	GSM2634650	GSM2634651	GSM2634652	GSM2634653	GSM2634654
ILMN_1739001	7.527	6.653	6.67	6.874	7.408	10.017	9.746	8.044	7.308	9.863	9.296	10.372	8.922	6.432	8.107	12.045	6.509	7.056	9.388	6.808	7.936	7.272
ILMN_2132458	6.544	6.593	6.733	6.672	6.574	6.686	6.658	6.624	6.638	6.812	6.66	6.601	6.445	6.39	6.537	6.539	6.522	6.52	6.414	6.404	6.511	6.453
