	GSM6122161	GSM6122162	GSM6122163	GSM6122164	GSM6122165	GSM6122166	GSM6122167	GSM6122168	GSM6122169	GSM6122170	GSM6122171	GSM6122172	GSM6122173	GSM6122174	GSM6122175	GSM6122176	GSM6122177	GSM6122178	GSM6122179	GSM6122180	GSM6122181	GSM6122182	GSM6122183	GSM6122184	GSM6122185	GSM6122186	GSM6122187	GSM6122188
TC0100014340.hg.1	10.4855018	11.36793259	9.712185655	10.26436875	7.509641307	11.78830183	7.930759312	7.539229033	6.78997847	10.90097294	7.660443929	9.422618281	12.36822016	15.88683685	7.358455581	16.90453	10.58468918	8.082810364	11.91394253	11.63324761	7.777960995	9.217579792	7.610124204	8.904280249	8.325638974	11.57578398	11.94105169	10.30614578
TC0200013323.hg.1	900.6195595	951.4334912	1200.184094	977.7467329	742.8865006	1092.032441	960.6625918	1671.201527	530.2390086	620.308034	265.9953103	205.000128	360.8989161	426.1445289	860.8159503	601.312442	2707.54575	2964.47312	1450.26417	2456.604679	2499.510721	2014.631135	394.0557657	2267.960817	2215.873795	2622.923472	2797.669838	2973.816679
TC0200015242.hg.1	3100.789768	2009.025276	1094.214604	1813.511276	1301.563515	2559.329175	1377.264561	1972.24081	958.0611956	2164.607898	1726.781708	264.0462789	487.2616942	2514.054135	908.0808866	1483.665345	12149.50571	12910.88253	26392.49279	16600.74078	17541.44529	19801.60842	755.9882494	9351.032795	14447.97819	8480.713903	9533.167964	4840.867865
TC0200016382.hg.1	33.55463131	31.66021176	42.07253959	41.12597565	29.76332912	29.09416628	38.22845527	29.0491491	39.49658463	34.70597129	61.93139337	25.4897267	35.3954497	44.25090329	49.11544959	36.09204539	43.76995513	34.32790718	35.73537444	29.87425851	34.81632443	35.37273827	47.41882469	39.32677561	35.68349448	35.97236232	34.62012431	50.31483755
TC0400011052.hg.1	25.21403315	23.18304233	10.97468784	11.77099197	15.00421567	21.80131119	10.90501614	12.43234897	25.58265338	12.92049108	17.61743517	25.54301641	18.91201264	10.35589975	18.82487004	25.7954552	14.09569785	13.4845082	16.44629834	15.37285268	14.1425268	13.57853567	12.97402303	14.77471094	14.25852656	38.94985358	19.11042556	16.71091703
TC0600007650.hg.1	1411.408609	1154.41001	769.8144811	218.7719555	766.8379893	1843.625612	191.2071948	219.4446062	341.2478154	147.0345105	432.7364992	106.4036625	241.6142944	114.4609757	81.09190503	500.6851998	599.6512998	532.4225996	2806.682197	356.3433028	338.1393253	2734.023636	463.1918312	266.8782641	661.9713644	535.6240759	960.5973378	2750.370003
TC0700007993.hg.1	7.279977543	8.729675337	8.21543519	7.870798468	9.234168128	8.761354944	9.19161901	8.815161494	8.164689377	7.222924048	9.59858671	8.654173234	8.493316427	8.151468576	10.45212226	10.69450646	7.411163227	12.75463757	9.142153231	7.47747924	9.605928033	7.701305353	9.264062587	9.030219149	8.426578716	9.181195361	8.410234341	8.777420353
TC0900006559.hg.1	17.82058757	52.36471135	44.1089649	68.01047204	42.10039897	95.78773268	62.10269622	23.10683886	109.3859778	72.60026957	76.74101811	33.91240039	61.86785026	125.7595369	65.32906107	55.82796253	143.7142192	133.8245508	92.95257973	51.74655808	472.8717023	142.7883039	47.40337914	151.0459823	118.1236475	340.3515807	107.9900814	98.07516824
TC1200011177.hg.1	32.80557266	332.8404583	223.2973005	82.0938931	77.73082913	397.5851328	77.82868088	134.3379399	291.9741834	423.2601926	297.2658654	104.0871383	458.6554587	45.45213003	321.6625126	419.7248294	218.2303582	287.4999709	201.5213665	325.9416711	143.6170277	724.7044787	94.77114743	135.9267884	287.9201602	289.426257	285.553647	195.6110419
TC1400008764.hg.1	2305.062255	3547.851722	2772.189184	3547.728765	4460.655449	8182.976537	2388.733181	3484.60642	1693.203898	1636.173472	1094.874656	2909.993066	3412.302898	6038.899716	740.1603279	698.1736023	7999.310849	8329.649067	2162.16364	5325.310755	3896.005503	3700.026787	930.5358999	3085.738305	6668.007446	7123.744212	6521.056481	4474.466619
