	GSM1648114	GSM1648115	GSM1648116	GSM1648117	GSM1648118	GSM1648119	GSM1648120	GSM1648121	GSM1648122	GSM1648123	GSM1648124
ILMN_1689655	13.0676	12.5365	12.806	12.8066	12.5434	12.5321	13.1277	12.6804	12.637	12.9407	12.4839
ILMN_1690105	10.7078	12.1137	11.8419	12.0552	12.1925	11.8403	12.2733	10.7062	12.4586	11.4321	11.8513
ILMN_1691364	12.5918	12.814	12.3607	13.1121	12.9096	12.6761	13.0994	12.3239	12.787	12.944	12.7713
ILMN_1701914	6.8778	6.9081	7.9214	6.6436	8.2618	6.4146	6.5062	6.6169	8.7103	7.4901	10.1194
ILMN_1739001	10.991	11.3621	9.587	12.1724	8.4698	9.0888	9.5094	7.4917	11.6109	10.9163	7.5643
ILMN_1745356	6.4913	7.6767	8.8621	8.2726	9.4221	7.8731	8.734	7.3518	10.0875	6.3576	6.7706
ILMN_1760374	7.3361	10.226	10.6538	10.9312	9.8258	10.3288	10.8309	9.161	11.9244	11.2372	9.3965
ILMN_1768482	6.5549	7.8709	8.475	9.0736	7.9518	8.4115	8.8892	7.4296	10.5653	9.4941	7.3158
ILMN_1777325	12.6648	13.4966	12.7916	12.8998	13.5675	13.0677	13.2119	12.121	13.5183	12.766	13.019
ILMN_1806725	6.7534	7.0413	6.4859	8.9318	7.268	7.6901	7.3009	7.0311	9.0827	8.1579	6.0271
ILMN_2109489	7.6829	10.835	10.8776	11.1014	11.4352	10.9365	11.3396	9.275	12.2381	10.8687	10.012
ILMN_2132458	7.032	6.5397	6.402	6.6537	6.4936	6.3692	6.5996	7.2908	6.2864	6.4945	6.4672
ILMN_2157441	11.6644	13.0787	13.3492	13.1761	13.3823	11.348	12.2975	13.0811	12.0568	12.0278	11.2697
ILMN_2207291	6.4677	6.6116	6.544	6.3363	7.4014	6.8218	6.3206	6.9501	8.4456	6.9009	6.1251
ILMN_2353732	7.2519	10.1178	10.6329	11.0136	10.2719	10.0143	10.6147	8.0862	11.9371	11.3618	8.6112
