gse	status	n_samples	n_probes_extracted	probes	platform	title	pubmed	pheno_fields	detail
GSE93157	ok	65.0	8.0	CD274;CD8A;CXCL9;GZMB;HLA-DRA;IFNG;PDCD1;STAT1	GPL19965	Programmed death 1 receptor blockade and immune-related gene expression profiling in non-small cell lung carcinoma, head and neck squamous cell carcinoma and melanoma	28487385	age;prev. lines;braf;nras;egfr;alk;biopsy;smoking;ecog;sex;drug;best.resp;response;pfse;pfs	
GSE202417	ok	28.0	10.0	TC0100014340.hg.1;TC0200013323.hg.1;TC0200015242.hg.1;TC0200016382.hg.1;TC0400011052.hg.1;TC0600007650.hg.1;TC0700007993.hg.1;TC0900006559.hg.1;TC1200011177.hg.1;TC1400008764.hg.1	GPL23126	Potential of Bezafibrate for Combination with Nivolumab in Treatment of Advanced Non-Small Cell Lung Cancer		tissue;cell type;phenotype;treatment;time	
GSE67501	ok	11.0	15.0	ILMN_1689655;ILMN_1690105;ILMN_1691364;ILMN_1701914;ILMN_1739001;ILMN_1745356;ILMN_1760374;ILMN_1768482;ILMN_1777325;ILMN_1806725;ILMN_2109489;ILMN_2132458;ILMN_2157441;ILMN_2207291;ILMN_2353732	GPL14951	Expression data in human renal cell carcinoma samples from patients who did or did not respond to anti-PD-1 (Nivolumab) immunotherapy	27491898	response to anti-pd-1 (nivolumab) immunotherapy (response or no-response);response to anti-pd-1 (nivolumab) immunotherapy (complete response (cr) or partial response (pr) or stable disease (sd) or no response (nr));gender;primary tumor or metastasis;interval between specimen collection and anti-pd1 therapy (months)	
GSE140901	ok	24.0	0.0		GPL19965	Exploration of exhausted CD8 T cell markers to predict response to immune checkpoint inhibitor therapy for hepatocellular carcinoma	34414122	gender;pfs_time;pfs_event;os_time;os_event;best_response;clinical_benefit_response;age;etiology;disease state;tissue	
GSE248249	ok	42.0	2.0	TC0100014340.hg.1;TC0700007993.hg.1	GPL23126	Clinical and molecular features of acquired resistance to immunotherapy in non-small cell lung cancer	38215748	gender;tumor site;tumor type;timepoint;sample type	
GSE141479	ok	74.0	2.0	TC0100014340.hg.1;TC0700007993.hg.1	GPL23126	Combination of host immune metabolic biomarkers for the PD-1 blockade cancer immunotherapy	31855576	diagnosis;tissue;cell type;treatment;individual	
GSE305086	ok	173.0	5.0	1569421_at;201428_at;202285_s_at;202286_s_at;202287_s_at	GPL570	Blood gene expression under immunotherapy as potential biomarker for immune checkpoint blockade in non-small-cell lung cancer		sample type;group	
GSE99070	ok	22.0	2.0	ILMN_1739001;ILMN_2132458	GPL10558	Comprehensive immunoproteogenomic analyses of malignant pleural mesothelioma	29618661	disease state;treatment	
GSE180347	excluded								NanoString Cancer Immune panel on PD-L1+/- 'hot' LUAD. No ICI treatment, no response. Panel does not list TACSTD2/CLDN4.
GSE190731	excluded								Durvalumab/oleclumab-treated NSCLC xenografts (cell-line), not patient tumors.
GSE261345	excluded								ES-SCLC chemo-immunotherapy with RECIST, but platform GPL30173 is NextSeq 2000 (GeoMx DSP sequencing), not a microarray.
GSE261348	excluded								Sister series to GSE261345 (atezolizumab + platinum/etoposide). Sequencing, not microarray.
GSE135222	excluded								NSCLC anti-PD-1 with PFS, but RNA-seq (GPL16791), out of this microarray slice.
GSE126044	excluded								NSCLC anti-PD-1, RNA-seq. Out of slice.
GSE136961	excluded								NSCLC anti-PD-1 durable-benefit signatures, RNA-seq. Out of slice.
