	GSM7908985	GSM7908986	GSM7908987	GSM7908988	GSM7908989	GSM7908990	GSM7908991	GSM7908992	GSM7908993	GSM7908994	GSM7908995	GSM7908996	GSM7908997	GSM7908998	GSM7908999	GSM7909000	GSM7909001	GSM7909002	GSM7909003	GSM7909004	GSM7909005	GSM7909006	GSM7909007	GSM7909008	GSM7909009	GSM7909010	GSM7909011	GSM7909012	GSM7909013	GSM7909014	GSM7909015	GSM7909016	GSM7909017	GSM7909018	GSM7909019	GSM7909020	GSM7909021	GSM7909022	GSM7909023	GSM7909024	GSM7909025	GSM7911924
TC0100014340.hg.1	5.80795	6.40599	8.45764	9.18048	3.72053	3.90332	11.5275	10.0073	4.94185	4.79713	8.04275	5.23584	5.07454	10.5941	4.97254	3.68153	3.36883	5.23573	4.83684	4.50206	7.94888	4.20634	3.32271	6.44173	3.14193	3.41433	4.55022	6.14075	3.92197	6.5436	4.74803	5.36692	4.00333	4.46588	6.07197	4.68536	4.74391	5.51469	5.11172	5.17384	3.55612	5.17142
TC0700007993.hg.1	5.56787	4.66109	6.06256	7.51547	4.85912	3.25343	7.20475	6.70634	4.90921	5.26493	5.70789	6.69352	5.13076	3.92619	5.86459	4.14891	3.56715	3.91188	6.19578	4.58271	6.85491	4.59125	3.54111	4.32669	4.8338	4.8181	5.65674	6.81299	5.1415	6.76038	5.78336	4.80222	5.10562	4.40187	5.71311	4.82793	6.44483	5.35796	4.2602	5.58578	3.3328	6.86526
