gse	gene	in_matrix_ids
GSE93157	TACSTD2	0
GSE93157	CLDN4	0
GSE93157	CD274	1
GSE93157	PDCD1	1
GSE93157	CD8A	1
GSE93157	GZMB	1
GSE93157	IFNG	1
GSE93157	CXCL9	1
GSE93157	STAT1	1
GSE93157	HLA-DRA	1
