accession	score	n_samples	pdat	gdstype	suppfile	title	hits
GSE291670	16	6	2025/03/31	Expression profiling by high throughput sequencing	MTX, TSV	Neoadjuvant anlotinib combined with PD-1 blockade therapy remodeling the microenvironment in advanced non-small cell lung cancer	\bresponse\b;post-?treatment;\bpatients?\b;\bcohort\b;\bMPR\b|major pathologic;pathologic(al)? (complete )?response|\bpCR\b;neoadjuvant;resistan
GSE295969	16	18	2025/05/31	Expression profiling by high throughput sequencing	TXT	Blood immunomap for prediction of responses to anti-PD-1 immunotherapy in metastatic non-small cell lung cancer	\bresponder;non-?responder;\bresponse\b;biops;\bcohort\b;overall survival|\bOS\b
GSE306542	15	2	2026/04/02	Expression profiling by high throughput sequencing	MTX, TSV	Circulating cell populations as response predictors and targets to improve immunotherapy in metastatic lung cancer	\bresponder;non-?responder;\bresponse\b;baseline;\bpatients?\b;\bcohort\b;resistan;\bin vitro\b
GSE310370	14	4	2026/04/01	Non-coding RNA profiling by array	CEL	Expression data of microRNAs captured by OAA from plasma of NSCLC patients treated with nivolumab	\bresponder;\bresponse\b;pre-?treatment;\bpatients?\b;clinical;overall survival|\bOS\b;peripheral blood|PBMC|plasma;resistan
GSE318850	14	1	2026/02/13	Expression profiling by high throughput sequencing	QS	A lymph node-tumor spatiotemporal atlas of exhausted T cell clone evolution	\bresponder;non-?responder;\bresponse\b;pathologic(al)? (complete )?response|\bpCR\b
GSE207715	13	282	2024/07/28	Non-coding RNA profiling by array	TXT	 Extracellular vesicles miR-574-5p and miR-181a-5p as prognostic markers in NSCLC patients treated with nivolumab	\bresponse\b;baseline;\bpatients?\b;\bcohort\b;clinical;overall survival|\bOS\b;pathologic(al)? (complete )?response|\bpCR\b;peripheral blood|PBMC|plasma
GSE305086	13	173	2026/08/03	Expression profiling by array	CEL, CSV	Blood gene expression under immunotherapy as potential biomarker for immune checkpoint blockade in non-small-cell lung cancer	baseline;\bpatients?\b;clinical;progression-?free|PFS;pathologic(al)? (complete )?response|\bpCR\b;RECIST
GSE249568	12	94	2024/09/27	Expression profiling by array	DCC	Gene expression from paired biopsies from a patient with METex14 skiping non-small cell lung cancer before and after treatment with neoadjuvant tepotinib (42 days)	\bresponse\b;post-?treatment;biops;\bpatients?\b;pathologic(al)? (complete )?response|\bpCR\b;neoadjuvant
GSE250509	12	94	2024/09/27	Other	XLSX	Protein expression from paired biopsies from a patient with METex14 skiping non-small cell lung cancer before and after treatment with neoadjuvant tepotinib (42 days)	\bresponse\b;post-?treatment;biops;\bpatients?\b;pathologic(al)? (complete )?response|\bpCR\b;neoadjuvant
GSE309446	10	32	2025/12/17	Other	TSV, XLSX	A phase II study of sitravatinib combined with tislelizumab plus docetaxel for acquired resistance to PD-(L)1 in patients with advanced/metastatic non-small cell lung cancer	\bpatients?\b;clinical;progression-?free|PFS;overall survival|\bOS\b;resistan;\bORR\b
GSE206127	9	213	2025/06/14	Non-coding RNA profiling by high throughput sequencing	CSV	Machine Learning-based Exceptional Response Prediction of Nivolumab Monotherapy with Circulating MicroRNAs in Non-Small Cell Lung Cancer	\bresponder;\bresponse\b;\bpatients?\b;clinical
GSE329813	9	127	2026/06/29	Other	CSV	Spatial Transcriptomics Unveils Immune Microenvironment Heterogeneity and Response-related Subtypes in NSCLC Treated with Neoadjuvant Chemoimmunotherapy	\bresponse\b;\bpatients?\b;pathologic(al)? (complete )?response|\bpCR\b;neoadjuvant
GSE241934	8	88	2024/05/17	Expression profiling by high throughput sequencing; Other	CSV, MTX, TSV, TXT	Neoadjuvant sintilimab plus chemotherapy in early-stage EGFR-mutant NSCLC: phase 2 trial interim results (NEOTIDE/CTONG2104)	\bpatients?\b;\bcohort\b;clinical;neoadjuvant;resistan
GSE271689	8	586	2024/08/22	Expression profiling by high throughput sequencing	DCC	Enhancing Immunotherapy Outcomes: Spatial Multi-Omics Predictive Models for Non-Small Cell Lung Cancer	\bresponse\b;\bpatients?\b;\bcohort\b;clinical;resistan
GSE283829	8	27	2025/01/17	Expression profiling by high throughput sequencing	TXT	In situ detection of PD1–PD-L1 interactions as a functional predictor for response to immune checkpoint inhibition in NSCLC.	\bresponse\b;biops;\bpatients?\b;clinical;resistan
GSE285888	8	1	2025/05/19	Expression profiling by high throughput sequencing	CSV, TXT	Single-Cell RNA Sequencing of Baseline PBMCs Predicts ICI efficacy and irAE Severity in NSCLC Patients	\bresponse\b;baseline;\bpatients?\b;clinical;peripheral blood|PBMC|plasma;resistan
GSE292098	8	315	2025/12/31	Other	DCC, PKC, XLSX	Enhancing Immunotherapy Outcomes: Spatial Multi-Omics Predictive Models for Non-Small Cell Lung Cancer [GeoMx DSP]	\bresponse\b;\bpatients?\b;\bcohort\b;clinical;resistan
GSE317309	8	64	2026/05/01	Expression profiling by high throughput sequencing	CSV, MTX, TSV, TXT	Combination of a CCL21-gene modified dendritic cell vaccine and pembrolizumab induces immune responses in non-small cell lung cancer	\bresponse\b;post-?treatment;biops;\bpatients?\b;resistan
GSE225620	7	43	2024/07/05	Expression profiling by high throughput sequencing	TXT	Blood-based Genomic and Cellular Determinants of Response to Neoadjuvant PD-1 Blockade in Patients with Non-Small-Cell Lung Cancer	\bresponse\b;\bpatients?\b;overall survival|\bOS\b;neoadjuvant
GSE237087	7	68	2024/02/28	Methylation profiling by high throughput sequencing	TXT	Cell-free DNA 5-hydroxymethylcytosine for immunotherapy response prediction in lung cancer	\bresponse\b;\bpatients?\b;progression-?free|PFS;peripheral blood|PBMC|plasma
GSE243934	7	23	2024/04/10	Expression profiling by high throughput sequencing	TXT	Effect of carboplatin-paclitaxel or -gemcitabine combinations on lung cancer cells spheroids	\bresponse\b;\bpatients?\b;clinical;overall survival|\bOS\b;pathologic(al)? (complete )?response|\bpCR\b;resistan;cell lines?
GSE243013	6	243	2025/01/28	Expression profiling by high throughput sequencing	CSV, MTX, TAR	A single-cell atlas of immune heterogeneity  in anti-PD1-treated non-small cell lung cancer	\bresponse\b;\bpatients?\b;neoadjuvant
GSE253013	6	89	2024/01/31	Expression profiling by high throughput sequencing	RDS	Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma	\bresponse\b;\bpatients?\b;clinical;resistan
GSE260770	6	50	2024/05/01	Expression profiling by high throughput sequencing	TXT	The activity and safety of sintilimab on high-risk ground glass opacity lesions in multiple primary lung cancer patients	\bpatients?\b;clinical;overall survival|\bOS\b;neoadjuvant
GSE270711	6	6	2024/09/30	Expression profiling by high throughput sequencing	TXT	Identification of a novel signature based on immune microenvironment to predict prognosis，immunotherapeutic efficacy and immunogenicity in lung adenocarcinoma	\bresponse\b;\bpatients?\b;\bcohort\b
GSE292299	6	18	2026/06/09	Other	CSV, H5, TAR	Conserved principles of spatial biology define tumor heterogeneity and immunotherapy sensitivity	pre-?treatment;biops;\bpatients?\b
GSE315510	6	30	2026/03/25	Expression profiling by high throughput sequencing	MTX, TSV	Mitochondrial potential as a biomarker of T cell fitness and function in cancer immunotherapy	\bresponse\b;\bpatients?\b;clinical;peripheral blood|PBMC|plasma
GSE337519	6	1	2026/07/29	Expression profiling by high throughput sequencing	MTX, TSV	Single-cell transcriptomic landscape of neoadjuvant chemo-immunotherapy response in lung cancer	\bresponse\b;\bpatients?\b;neoadjuvant
GSE190905	5	16	2025/02/05	Expression profiling by high throughput sequencing; Other	CSV	Single-cell RNA and TCR sequencing reveals distinct systematic immune response induced by SABR with or without prior anti-PD-1 therapy	\bresponse\b;\bpatients?\b;peripheral blood|PBMC|plasma
GSE233203	5	7	2025/08/27	Expression profiling by high throughput sequencing	MTX, TSV	The single-cell level molecular characteristics according to combination immunotherapy response of non-small cell lung cancer patients.	\bresponse\b;\bpatients?\b;resistan
GSE242860	5		2024/03/30	Expression profiling by array; Third-party reanalysis	TXT	Soluble immune-checkpoint factors as a complementary biomarker for PD-1 blockade reflect exhaustion of antitumor immunity	\bpatients?\b;\bcohort\b;peripheral blood|PBMC|plasma
GSE247754	5	2	2025/06/16	Expression profiling by high throughput sequencing	CSV, MTX, TSV	Homeostatic Dysregulation of Systemic CD8+ T Cell Compartment in Lung Cancer Patients	\bpatients?\b;clinical;peripheral blood|PBMC|plasma;resistan
GSE248249	5	42	2024/01/11	Expression profiling by array	CEL, CHP	Clinical and molecular features of acquired resistance to immunotherapy in non-small cell lung cancer	\bresponder;\bresponse\b;\bpatients?\b;clinical;resistan;\bmice\b|\bmouse\b|murine|xenograft;\bin vitro\b
GSE267026	5	24	2026/02/05	Expression profiling by high throughput sequencing; Other	CSV, MTX, TAR, TSV	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[S1-S3]	\bresponse\b;\bpatients?\b;clinical;neoadjuvant;peripheral blood|PBMC|plasma;\bmice\b|\bmouse\b|murine|xenograft
GSE267027	5	9	2026/02/05	Expression profiling by high throughput sequencing; Other	CSV, MTX, TSV	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[P5]	\bresponse\b;\bpatients?\b;clinical;neoadjuvant;peripheral blood|PBMC|plasma;\bmice\b|\bmouse\b|murine|xenograft
GSE271543	5	5	2025/05/13	Expression profiling by high throughput sequencing	MTX, TSV	UCPVax, a CD4 helper peptide vaccine induces polyfunctional Th1 cells, antibody response and epitope spreading to improve antitumor immunity  [scRNA-seq]	\bresponse\b;\bpatients?\b;peripheral blood|PBMC|plasma
GSE271545	5	10	2025/05/13	Other	TXT	UCPVax, a CD4 helper peptide vaccine induces polyfunctional Th1 cells, antibody response and epitope spreading to improve antitumor immunity  [TCR-seq]	\bresponse\b;\bpatients?\b;peripheral blood|PBMC|plasma
GSE273409	5	36	2025/08/27	Expression profiling by high throughput sequencing	CSV	DNAPKCs as a therapeutic target in small cell lung cancer	\bresponse\b;progression-?free|PFS;overall survival|\bOS\b
GSE278119	5	44	2025/12/03	Expression profiling by high throughput sequencing; Other	CSV, MTX, TSV	Clonally expanded effector CD4+ cytotoxic T lymphocytes are associated with severe neurological adverse events after immune checkpoint inhibitor therapy	\bpatients?\b;\bcohort\b;peripheral blood|PBMC|plasma
GSE287938	5	4	2025/06/12	Expression profiling by high throughput sequencing	XLS	Repurposing MDM2 Inhibitor RG7388 For TP53-Mutant NSCLC: A p53-Independent Pyroptotic Mechanism via ROS/p-p38/NOXA/Caspase-3/GSDME Axis	\bpatients?\b;clinical;overall survival|\bOS\b;resistan
GSE288083	5	4	2025/04/08	Expression profiling by high throughput sequencing	TXT	TIE-2 expressing monocytic myeloid-derived suppressor cells are involved in resistance to anti-PD-1 mediates by angiopoietin 2 in melanoma patients	\bresponse\b;\bpatients?\b;resistan;\bORR\b;knock-?down|knock-?out|overexpress|shRNA|siRNA|CRISPR
GSE295601	5	18	2026/02/05	Other; Expression profiling by high throughput sequencing	CSV, MTX, TSV	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment. [P6]	\bresponse\b;\bpatients?\b;clinical;neoadjuvant;peripheral blood|PBMC|plasma;\bmice\b|\bmouse\b|murine|xenograft
GSE295977	5	2	2026/02/05	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	H5, MTX, TSV	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[multiome]	\bresponse\b;\bpatients?\b;clinical;neoadjuvant;peripheral blood|PBMC|plasma;\bmice\b|\bmouse\b|murine|xenograft
GSE299684	5	15	2026/05/15	Expression profiling by high throughput sequencing	MTX, TSV	Single-cell RNAseq analysis of relapsed SCLC patient specimens	biops;\bpatients?\b;overall survival|\bOS\b
GSE300685	5	8	2025/06/30	Expression profiling by high throughput sequencing	H5	Tumor-infiltrating natural killer cell profiling for therapeutic stratification in smokers with resectable non-small cell lung cancer	\bpatients?\b;clinical;neoadjuvant
GSE308745	5	87	2026/02/05	Expression profiling by high throughput sequencing; Other	CSV, MTX, TSV	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[PB cohort2]	\bresponse\b;\bpatients?\b;clinical;neoadjuvant;peripheral blood|PBMC|plasma;\bmice\b|\bmouse\b|murine|xenograft
GSE312336	5	9	2026/02/05	Expression profiling by high throughput sequencing; Other	CSV, MTX, TSV	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[renal cancer]	\bresponse\b;\bpatients?\b;clinical;neoadjuvant;peripheral blood|PBMC|plasma;\bmice\b|\bmouse\b|murine|xenograft
GSE218989	4	355	2024/02/14	Expression profiling by high throughput sequencing	TXT	Systematic dissection of tumor-normal single-cell ecosystems across a thousand tumors of 30 cancer types	\bresponse\b;\bcohort\b
GSE227427	4	22	2024/02/27	Other	CSV	Tumor lineage-specific immune response in brain metastatic disease: opportunities for targeted immunotherapy regimen?	\bresponse\b;\bpatients?\b
GSE244416	4	25	2025/05/07	Non-coding RNA profiling by high throughput sequencing	XLSX	Small RNA Landscape of Platelet Dust: Platelet-Derived Extracellular Vesicles from Patients with Non-Small-Cell Lung Cancer	\bpatients?\b;clinical;peripheral blood|PBMC|plasma
GSE253564	4	32	2024/01/18	Expression profiling by high throughput sequencing	TXT	Features associated with enhanced proliferation define lung tumors that respond to dual immune checkpoint and radiation therapy	\bresponse\b;\bpatients?\b
GSE266035	4	9	2025/02/20	Expression profiling by high throughput sequencing; Other	CSV, MTX, TSV	Divergent gene expression and kinetics of circulating tumor-infiltrating lymphocytes with highly homologous T-cell receptor sequences during immunotherapy	\bresponse\b;\bpatients?\b
GSE273436	4	8	2024/08/12	Expression profiling by high throughput sequencing	CSV	Voluntary exercise sensitizes cancer immunotherapy via collagen degradation-orchestrated inflammatory tumor immune microenvironment	\bresponder;\bpatients?\b;clinical;\bmice\b|\bmouse\b|murine|xenograft
GSE273831	4	16	2024/08/07	Non-coding RNA profiling by high throughput sequencing	CSV	Voluntary exercise sensitizes cancer immunotherapy via collagen degradation-orchestrated inflammatory tumor immune microenvironment	\bresponder;\bpatients?\b;clinical;\bmice\b|\bmouse\b|murine|xenograft
GSE274934	4	23	2025/01/30	Expression profiling by high throughput sequencing; Other; Genome binding/occupancy profiling by high throughput sequencing	BED, CSV, H5, TSV	Single-cell multi-omics reveals tumor microenvironment factors underlying poor immunotherapy responses in ALK-positive lung cancer	\bpatients?\b;clinical;resistan
GSE280232	4	42	2024/10/24	Expression profiling by high throughput sequencing; Other	CSV, MTX, TSV	Divergent clinical and immunologic outcomes based on STK11 co-mutation status in resectable KRAS-mutant lung cancers following neoadjuvant immune checkpoint blockade	clinical;neoadjuvant;resistan
GSE292700	4	12	2026/05/07	Expression profiling by high throughput sequencing; Other	CSV, MTX, TSV	Molecular architecture of the tumor microenvironment caused by BRCA1 and BRCA2 somatic mutations in human lung adenocarcinoma	\bresponse\b;\bpatients?\b
GSE293914	4	1	2026/08/12	Expression profiling by high throughput sequencing	MTX, TSV	CCL20 Released by Drug-Tolerant Persisters Impairs Immunotherapy in EGFR-Mutated Lung Adenocarcinoma	\bresponse\b;\bpatients?\b;clinical;peripheral blood|PBMC|plasma;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE297846	4	3	2025/07/17	Expression profiling by high throughput sequencing	TXT	Dasatinib Remodels the Tumor Microenvironment and Sensitizes Small Cell Lung Cancer to Immunotherapy [shYES1]	\bresponse\b;pre-?treatment;\bpatients?\b;progression-?free|PFS;peripheral blood|PBMC|plasma;\bmice\b|\bmouse\b|murine|xenograft;co-?culture
GSE311200	4	41	2026/07/01	Expression profiling by high throughput sequencing	XLSX	Comprehensive analysis of the correlation between circulating biomarkers and tumor-immune microenvironment in advanced or recurrence non-small cell lung cancer in various treatment options, i.e., immunotherapy, EGFR TKI, and chemotherapy	pre-?treatment;\bcohort\b
GSE315010	4	44	2025/12/29	Expression profiling by high throughput sequencing	CSV	Abrogation of Oncogenic RAS Signaling by a RAS(ON) Inhibitor Doublet Primes Immune-refractory KRASG12C-mutant NSCLC for Immune Checkpoint Blockade	\bpatients?\b;clinical;resistan
GSE202417	3	28	2025/05/06	Expression profiling by array	CEL	Potential of Bezafibrate for Combination with Nivolumab in Treatment of Advanced Non-Small Cell Lung Cancer	\bresponse\b;\bpatients?\b;peripheral blood|PBMC|plasma;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE237818	3	6	2024/07/31	Expression profiling by high throughput sequencing	XLSX	Enhancing Tumor Targeting of Antitumor Drugs through Anlotinib-Mediated Modulation of Extracellular Matrix and RhoA/ROCK Signaling Pathway	\bpatients?\b;resistan
GSE240361	3	5	2024/03/18	Expression profiling by high throughput sequencing; Other	CSV, TXT	Neoantigen-targeted DC vaccine generates durable T cell responses exhibiting the full spectrum of differentiation states in NSCLC patients	\bpatients?\b;clinical
GSE242780	3	6	2024/08/31	Expression profiling by high throughput sequencing	MTX, TSV	Single-cell RNA sequencing analysis of peripheral blood mononuclear cells in PD-1-induced renal toxicity in patients with lung cancer	\bpatients?\b;peripheral blood|PBMC|plasma
GSE253718	3	6	2026/01/01	Expression profiling by high throughput sequencing	MTX, TSV	Single-cell transcriptome reveals drug-resistance signature and immunosuppressive microenvironment in lung adenocarcinoma harboring EGFR mutation	\bpatients?\b;resistan
GSE261551	3	1	2024/03/14	Expression profiling by high throughput sequencing	CSV	Case Report: Molecular Profiling Facilitates the Diagnosis of a Challenging Case of Lung Cancer with Choriocarcinoma Features	\bpatients?\b;clinical
GSE267108	3	16	2024/05/17	Expression profiling by high throughput sequencing		Single-cell sequencing analysis of PD-L1 immune escape signal axis in lung adenocarcinoma	\bpatients?\b;resistan
GSE269551	3	8	2025/02/26	Expression profiling by high throughput sequencing	TXT	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner	\bresponse\b;\bpatients?\b;clinical;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE269618	3	8	2025/02/26	Expression profiling by high throughput sequencing	TXT	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner [H1975 and HCC44]	\bresponse\b;\bpatients?\b;clinical;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE269686	3	8	2025/02/26	Genome binding/occupancy profiling by high throughput sequencing	BROADPEAK	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner II	\bresponse\b;\bpatients?\b;clinical;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE269711	3	6	2024/10/31	Expression profiling by high throughput sequencing	TXT	Transcriptome changes associated with targeting mTORC2 in lung squamous cell carcinoma	\bpatients?\b;overall survival|\bOS\b
GSE269930	3	4	2025/02/26	Expression profiling by high throughput sequencing	TXT	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner [H1792_RNA-seq]	\bresponse\b;\bpatients?\b;clinical;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE272174	3	9	2024/11/14	Expression profiling by high throughput sequencing	MTX, TSV	Characteristics of a CCL21-gene modified dendritic cell vaccine utilized for a clinical trial in non-small cell lung cancer	\bpatients?\b;clinical
GSE278868	3	6	2025/02/26	Expression profiling by high throughput sequencing	TXT	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner [RNA-Seq]	\bresponse\b;\bpatients?\b;clinical;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE278869	3	12	2025/02/26	Genome binding/occupancy profiling by high throughput sequencing	NARROWPEAK	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner [CUT&RUN]	\bresponse\b;\bpatients?\b;clinical;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE288649	3	1	2025/02/26	Genome binding/occupancy profiling by high throughput sequencing	BW	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner [ChIP-seq3]	\bresponse\b;\bpatients?\b;clinical;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE302113	3	38	2025/09/08	Genome binding/occupancy profiling by high throughput sequencing	TSV	Clonal lineage tracing of innate immune cells in human cancer	\bpatients?\b;peripheral blood|PBMC|plasma
GSE307029	3	80	2026/05/15	Methylation profiling by genome tiling array	CSV, IDAT	Multi-omics reveals heterogeneity in  advanced small cell lung cancers	\bpatients?\b;overall survival|\bOS\b
GSE309652	3	72	2025/09/30	Expression profiling by array	RCC	Clinically relevant metabolic subtypes of lung cancer for immunotherapy	\bresponse\b;clinical
GSE313827	3	18	2026/02/20	Expression profiling by high throughput sequencing	TSV	Dysregulation of the Hippo Pathway in Cancer Associated Fibroblasts is Associated with anti-PD-L1 atezolizumab Resistance	\bpatients?\b;resistan
GSE328294	3	6	2026/06/05	Expression profiling by high throughput sequencing	XLSX	IBI351, a novel KRASG12C inhibitor, enhances αPD-1 efficacy in KRASG12C mutant lung cancer	\bresponse\b;\bpatients?\b;clinical;\bin vitro\b
GSE194070	2	16	2024/08/15	Expression profiling by high throughput sequencing	TXT	Tumor-intrinsic CD74 expression mediates immune evasion in lung cancer with COPD	\bpatients?\b
GSE230489	2	38	2025/02/07	Expression profiling by high throughput sequencing	TSV	RNA-sequencing of cutaneous melanoma and non-small cell lung cancer biopsies	biops
GSE249741	2	6	2024/08/22	Other	CSV	Predicting Antigen-Specificities of Orphan T Cell Receptors from Cancer Patients with TCRpcDist	\bpatients?\b
GSE255144	2	6	2024/12/31	Expression profiling by high throughput sequencing	TXT	PD-L1 and IFN-γ modulate Non-Small Cell Lung Cancer (NSCLC) Cell Plasticity responsible for ICI-Resistance	\bresponse\b;baseline;\bpatients?\b;clinical;resistan;cell lines?;\bin vitro\b
GSE255330	2	65	2025/07/07	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	H5, RDS, TSV	Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumors [dataset 1]	\bresponse\b;\bpatients?\b;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE261345	2	121	2024/04/09	Other	DCC, PKC, PNG, XLSX	Spatially preserved multi-region transcriptomic subtyping and biomarkers of outcome with chemoimmunotherapy in extensive-stage small cell lung cancer [CANTABRICO_DSP cohort]	\bcohort\b
