accession	pdat	n_samples	gdstype	title	matrix_status	char_keys	resp_hits	n_supp_files	supp_names	tissue_guess	why	previously_closed
GSE253718	2026/01/01	6	Expression profiling by high throughput sequencing	Single-cell transcriptome reveals drug-resistance signature and immunosuppressive microenvironment in lung adenocarcinoma harboring EGFR mutation	OK	cell type;group;pathology;tissue	resistan;respon	2	GSE253718_RAW.tar;filelist.txt	unknown	response-like metadata: resistan,respon; has processed supp	no
GSE267026	2026/02/05	24	Expression profiling by high throughput sequencing; Other	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[S1-S3]	OK	disease;tissue	respon	2	GSE267026_RAW.tar;filelist.txt	mechanistic/cell-line	blood/fluid assay; cell-line/mechanistic; response-like metadata: respon; has processed supp	no
GSE267027	2026/02/05	9	Expression profiling by high throughput sequencing; Other	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[P5]	OK	antibodies/tags;cell type;tissue	respon	12	GSE267027_P5_PBMC1_TCR_filtered_contig_annotations.csv.gz;GSE267027_P5_PBMC1_barcodes.tsv.gz;GSE267027_P5_PBMC1_features.tsv.gz;GSE267027_P5_PBMC1_matrix.mtx.gz;GSE267027_P5_PBMC2_TCR_filtered_contig_annotations.csv.gz;GSE267027_P5_PBMC2_barcodes.tsv.gz;GSE267027_P5_PBMC2_features.tsv.gz;GSE267027_P5_PBMC2_matrix.mtx.gz;GSE267027_P5_TIL_TCR_filtered_contig_annotations.csv.gz;GSE267027_P5_TIL_barcodes.tsv.gz;GSE267027_P5_TIL_features.tsv.gz;GSE267027_P5_TIL_matrix.mtx.gz	mechanistic/cell-line	blood/fluid assay; cell-line/mechanistic; response-like metadata: respon; has processed supp	no
GSE282437	2026/06/23	69	Other	PLA2G2D in tumour-draining lymph nodes regulates anti-tumour immunity	OK	cell type;disease state;tissue	efficacy;resistan;respon	3	GSE282437_SampleInfo.txt.gz;GSE282437_counts_Q3norm.txt.gz;GSE282437_counts_raw.txt.gz	mechanistic/cell-line	cell-line/mechanistic; response-like metadata: efficacy,resistan,respon; has processed supp	no
GSE287798	2026/04/05	4	Genome binding/occupancy profiling by high throughput sequencing	Epigenetic modulation of polyamine biosynthetic pathways rectifies T cell dysfunction to enhance anti-tumor immunity in lung cancer [ATAC-seq]	OK	cell type;treatment	respon	2	GSE287798_RAW.tar;filelist.txt	unknown	chromatin assay, not gene expression; response-like metadata: respon; has processed supp	no
GSE287799	2026/04/05	6	Expression profiling by high throughput sequencing	Epigenetic modulation of polyamine biosynthetic pathways rectifies T cell dysfunction to enhance anti-tumor immunity in lung cancer [RNA-seq]	OK	cell type;treatment	respon	1	GSE287799_JQ1_CD3.reverse.readcount.txt.gz	unknown	chromatin assay, not gene expression; response-like metadata: respon; has processed supp	no
GSE287930	2026/04/06	2	Expression profiling by high throughput sequencing	Epigenetic modulation of polyamine biosynthetic pathways rectifies T cell dysfunction to enhance anti-tumor immunity in lung cancer	OK	cell type	respon	2	GSE287930_RAW.tar;filelist.txt	unknown	response-like metadata: respon; has processed supp; n=2 too small for group test	no
GSE288117	2026/03/06	12	Expression profiling by high throughput sequencing	Effect of PA200 depletion on gene expression in lung cancer cell lines A549 and NCI-H1299	OK	cell line;genotype	respon	2	GSE288117_raw_counts_A549_PA200_WT-KO.xlsx;GSE288117_raw_counts_H1299_PA200_WT-KO.xlsx	mechanistic/cell-line	cell-line/mechanistic; response-like metadata: respon; has processed supp	no
GSE292299	2026/06/09	18	Other	Conserved principles of spatial biology define tumor heterogeneity and immunotherapy sensitivity	NO_SINGLE_MATRIX			3	GSE292299_RAW.tar;GSE292299_sample_metadata.csv.gz;filelist.txt	unknown	no response-like series-matrix field; has processed supp	no
GSE292421	2026/05/22	51	Expression profiling by high throughput sequencing	A pan-cancer immune and genomic feature-based classification of tumor microenvironment and resistance to immunotherapy	OK	age;cancer type;ethnicity;sex;tissue;tme subtype;tumor grade	efficacy;outcome;pathologic;resistan;respon	3	GSE292421_COUNTS.csv.gz;GSE292421_FPKM.csv.gz;GSE292421_count_clean.txt.gz	unknown	response-like metadata: efficacy,outcome,pathologic,resistan,respon; has processed supp	yes
