gse	file	bytes	sha256	url
GSE261345	GSE261345_CANTABRICO_DSP_normalizedcounts.xlsx	4050424	11e9da1e2260d49a7bed40ec5da7ff443ca9422496cb3b7c80b5f091e477149e	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261345/suppl/GSE261345_CANTABRICO_DSP_normalizedcounts.xlsx
GSE261345	GSE261345_CANTABRICO_DSP_rawcounts.xlsx	4042148	c8dce20c4c9c5798cb0094b7aa8482ff4d1458b89111fdea19c1ab2dbd889697	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261345/suppl/GSE261345_CANTABRICO_DSP_rawcounts.xlsx
GSE261348	GSE261348_IMfirst_DSP_normalizedcounts.xlsx	5377687	00c305aef2a2b4f98a01922a07fa0d47769bf7e80722a740be98161bb1a2776d	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261348/suppl/GSE261348_IMfirst_DSP_normalizedcounts.xlsx
GSE261348	GSE261348_IMfirst_DSP_rawcounts.xlsx	5371667	d89d52e93fe3f797bc4695d629c69fe885b83a30cd0429051c45fd99b5036a95	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261348/suppl/GSE261348_IMfirst_DSP_rawcounts.xlsx
GSE233203	GSE233203_RAW.tar	544634880	c93b56fe673495fcd9271bd6a4502a590a4630826808fb47ffdd33490b4031a5	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233203/suppl/GSE233203_RAW.tar
GSE309652	GSE309652_RAW.tar	686080	d48afd082e23a2b98470ead365a270b0465763a6f8fc92885a9a94ebcd0d2fdc	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309652/suppl/GSE309652_RAW.tar
GSE309652	filelist.txt	4778	b6b9294facf97c5c04a41e42760fe24947a0eefa740e94d27d42ec917e0eaa52	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309652/suppl/filelist.txt
GSE253564	GSE253564_Pre-treatment_Samples_Pubs_FPKMs.txt.gz	2110059	f60ae0651e662030abc4d799a299452e0979ae37bb1b2b3143aa4adf0ef0e377	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE253nnn/GSE253564/suppl/GSE253564_Pre-treatment_Samples_Pubs_FPKMs.txt.gz
GSE292421	GSE292421_FPKM.csv.gz	2984986	c28625cafe15c5d692922498ec2bf2fdf1866cfec402d8b151c7c8a2f40610fb	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292421/suppl/GSE292421_FPKM.csv.gz
GSE292421	GSE292421_COUNTS.csv.gz	978879	6dc604633fd8a9e05fb2d679f88284deab3977bc001fae0a206def4d9a27ee88	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292421/suppl/GSE292421_COUNTS.csv.gz
