gse	file	size	url
GSE253718	GSE253718_RAW.tar	760M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE253nnn/GSE253718/suppl/GSE253718_RAW.tar
GSE253718	filelist.txt	1.4K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE253nnn/GSE253718/suppl/filelist.txt
GSE267026	GSE267026_RAW.tar	177M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267026/suppl/GSE267026_RAW.tar
GSE267026	filelist.txt	4.8K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267026/suppl/filelist.txt
GSE267027	GSE267027_P5_PBMC1_TCR_filtered_contig_annotations.csv.gz	1.5M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267027/suppl/GSE267027_P5_PBMC1_TCR_filtered_contig_annotations.csv.gz
GSE267027	GSE267027_P5_PBMC1_barcodes.tsv.gz	35K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267027/suppl/GSE267027_P5_PBMC1_barcodes.tsv.gz
GSE267027	GSE267027_P5_PBMC1_features.tsv.gz	289K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267027/suppl/GSE267027_P5_PBMC1_features.tsv.gz
GSE267027	GSE267027_P5_PBMC1_matrix.mtx.gz	48M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267027/suppl/GSE267027_P5_PBMC1_matrix.mtx.gz
GSE267027	GSE267027_P5_PBMC2_TCR_filtered_contig_annotations.csv.gz	1.4M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267027/suppl/GSE267027_P5_PBMC2_TCR_filtered_contig_annotations.csv.gz
GSE267027	GSE267027_P5_PBMC2_barcodes.tsv.gz	32K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267027/suppl/GSE267027_P5_PBMC2_barcodes.tsv.gz
GSE267027	GSE267027_P5_PBMC2_features.tsv.gz	289K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267027/suppl/GSE267027_P5_PBMC2_features.tsv.gz
GSE267027	GSE267027_P5_PBMC2_matrix.mtx.gz	44M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267027/suppl/GSE267027_P5_PBMC2_matrix.mtx.gz
GSE267027	GSE267027_P5_TIL_TCR_filtered_contig_annotations.csv.gz	564K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267027/suppl/GSE267027_P5_TIL_TCR_filtered_contig_annotations.csv.gz
GSE267027	GSE267027_P5_TIL_barcodes.tsv.gz	27K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267027/suppl/GSE267027_P5_TIL_barcodes.tsv.gz
GSE267027	GSE267027_P5_TIL_features.tsv.gz	289K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267027/suppl/GSE267027_P5_TIL_features.tsv.gz
GSE267027	GSE267027_P5_TIL_matrix.mtx.gz	39M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267027/suppl/GSE267027_P5_TIL_matrix.mtx.gz
GSE282437	GSE282437_SampleInfo.txt.gz	1.1K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE282nnn/GSE282437/suppl/GSE282437_SampleInfo.txt.gz
GSE282437	GSE282437_counts_Q3norm.txt.gz	1.4M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE282nnn/GSE282437/suppl/GSE282437_counts_Q3norm.txt.gz
GSE282437	GSE282437_counts_raw.txt.gz	653K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE282nnn/GSE282437/suppl/GSE282437_counts_raw.txt.gz
GSE287798	GSE287798_RAW.tar	559M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE287nnn/GSE287798/suppl/GSE287798_RAW.tar
GSE287798	filelist.txt	387	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE287nnn/GSE287798/suppl/filelist.txt
GSE287799	GSE287799_JQ1_CD3.reverse.readcount.txt.gz	518K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE287nnn/GSE287799/suppl/GSE287799_JQ1_CD3.reverse.readcount.txt.gz
GSE287930	GSE287930_RAW.tar	175M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE287nnn/GSE287930/suppl/GSE287930_RAW.tar
GSE287930	filelist.txt	221	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE287nnn/GSE287930/suppl/filelist.txt
GSE288117	GSE288117_raw_counts_A549_PA200_WT-KO.xlsx	2.4M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288117/suppl/GSE288117_raw_counts_A549_PA200_WT-KO.xlsx
GSE288117	GSE288117_raw_counts_H1299_PA200_WT-KO.xlsx	2.4M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288117/suppl/GSE288117_raw_counts_H1299_PA200_WT-KO.xlsx
GSE292299	GSE292299_RAW.tar	3.1G	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292299/suppl/GSE292299_RAW.tar
GSE292299	GSE292299_sample_metadata.csv.gz	1.0K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292299/suppl/GSE292299_sample_metadata.csv.gz
GSE292299	filelist.txt	4.5K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292299/suppl/filelist.txt
GSE292421	GSE292421_COUNTS.csv.gz	956K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292421/suppl/GSE292421_COUNTS.csv.gz
GSE292421	GSE292421_FPKM.csv.gz	2.8M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292421/suppl/GSE292421_FPKM.csv.gz
GSE292421	GSE292421_count_clean.txt.gz	2.2M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292421/suppl/GSE292421_count_clean.txt.gz
GSE292700	GSE292700_RAW.tar	828M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292700/suppl/GSE292700_RAW.tar
GSE292700	filelist.txt	1.9K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292700/suppl/filelist.txt
