gse	file	size	url
GSE233203	GSE233203_RAW.tar	519M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233203/suppl/GSE233203_RAW.tar
GSE233203	filelist.txt	1.6K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233203/suppl/filelist.txt
GSE253564	GSE253564_Pre-treatment_Samples_Pubs_FPKMs.txt.gz	2.0M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE253nnn/GSE253564/suppl/GSE253564_Pre-treatment_Samples_Pubs_FPKMs.txt.gz
GSE309652	GSE309652_RAW.tar	670K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309652/suppl/GSE309652_RAW.tar
GSE309652	filelist.txt	4.7K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309652/suppl/filelist.txt
GSE248249	GSE248249_RAW.tar	945M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE248nnn/GSE248249/suppl/GSE248249_RAW.tar
GSE248249	filelist.txt	7.0K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE248nnn/GSE248249/suppl/filelist.txt
GSE285029	GSE285029_WTS_expr_count_235_032820.txt.gz	10M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285029/suppl/GSE285029_WTS_expr_count_235_032820.txt.gz
GSE292421	GSE292421_COUNTS.csv.gz	956K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292421/suppl/GSE292421_COUNTS.csv.gz
GSE292421	GSE292421_FPKM.csv.gz	2.8M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292421/suppl/GSE292421_FPKM.csv.gz
GSE292421	GSE292421_count_clean.txt.gz	2.2M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292421/suppl/GSE292421_count_clean.txt.gz
GSE266219	GSE266219_Merged_p12_CD8_sorted_and_PBMC_extracted.rds.gz	294M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266219/suppl/GSE266219_Merged_p12_CD8_sorted_and_PBMC_extracted.rds.gz
GSE266219	GSE266219_Merged_p13_CD8_sorted_and_PBMC_extracted.rds.gz	111M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266219/suppl/GSE266219_Merged_p13_CD8_sorted_and_PBMC_extracted.rds.gz
GSE266219	GSE266219_Merged_p25_CD8_sorted_and_PBMC_extracted.rds.gz	87M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266219/suppl/GSE266219_Merged_p25_CD8_sorted_and_PBMC_extracted.rds.gz
GSE266219	GSE266219_Merged_p27_CD8_sorted_and_PBMC_extracted.rds.gz	92M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266219/suppl/GSE266219_Merged_p27_CD8_sorted_and_PBMC_extracted.rds.gz
GSE266219	GSE266219_Merged_p38_CD8_sorted_and_PBMC_extracted.rds.gz	91M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266219/suppl/GSE266219_Merged_p38_CD8_sorted_and_PBMC_extracted.rds.gz
GSE266219	GSE266219_Merged_p3_CD8_sorted_and_PBMC_extracted.rds.gz	32M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266219/suppl/GSE266219_Merged_p3_CD8_sorted_and_PBMC_extracted.rds.gz
GSE266219	GSE266219_Merged_p4_CD8_sorted_and_PBMC_extracted.rds.gz	155M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266219/suppl/GSE266219_Merged_p4_CD8_sorted_and_PBMC_extracted.rds.gz
GSE266219	GSE266219_Merged_p69_CD8_sorted_and_PBMC_extracted.rds.gz	214M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266219/suppl/GSE266219_Merged_p69_CD8_sorted_and_PBMC_extracted.rds.gz
GSE266219	GSE266219_Merged_p6_CD8_sorted_and_PBMC_extracted.rds.gz	84M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266219/suppl/GSE266219_Merged_p6_CD8_sorted_and_PBMC_extracted.rds.gz
GSE266219	GSE266219_Merged_p7_CD8_sorted_and_PBMC_extracted.rds.gz	110M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266219/suppl/GSE266219_Merged_p7_CD8_sorted_and_PBMC_extracted.rds.gz
GSE265899	GSE265899_Q3Norm.csv.gz	4.4M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE265nnn/GSE265899/suppl/GSE265899_Q3Norm.csv.gz
GSE280232	GSE280232_RAW.tar	1.2G	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE280nnn/GSE280232/suppl/GSE280232_RAW.tar
GSE280232	filelist.txt	6.9K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE280nnn/GSE280232/suppl/filelist.txt
GSE241934	GSE241934_IIT_Matrix.mtx.gz	444M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241934/suppl/GSE241934_IIT_Matrix.mtx.gz
GSE241934	GSE241934_IIT_Meta.txt.gz	1.9M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241934/suppl/GSE241934_IIT_Meta.txt.gz
GSE241934	GSE241934_IIT_barcodes.tsv.gz	372K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241934/suppl/GSE241934_IIT_barcodes.tsv.gz
GSE241934	GSE241934_IIT_features.tsv.gz	195K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241934/suppl/GSE241934_IIT_features.tsv.gz
GSE241934	GSE241934_RAW.tar	115M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241934/suppl/GSE241934_RAW.tar
GSE241934	GSE241934_RWC_barcodes.tsv.gz	1.0M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241934/suppl/GSE241934_RWC_barcodes.tsv.gz
GSE241934	GSE241934_RWC_features.tsv.gz	195K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241934/suppl/GSE241934_RWC_features.tsv.gz
GSE241934	GSE241934_Real_Matrix.mtx.gz	1.2G	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241934/suppl/GSE241934_Real_Matrix.mtx.gz
GSE241934	GSE241934_Real_Meta.txt.gz	5.4M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241934/suppl/GSE241934_Real_Meta.txt.gz
GSE241934	filelist.txt	14K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241934/suppl/filelist.txt
GSE243013	GSE243013_NMF_all_group_5.csv.gz	1.1K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE243nnn/GSE243013/suppl/GSE243013_NMF_all_group_5.csv.gz
GSE243013	GSE243013_NSCLC_immune_scRNA_counts.mtx.gz	6.6G	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE243nnn/GSE243013/suppl/GSE243013_NSCLC_immune_scRNA_counts.mtx.gz
GSE243013	GSE243013_NSCLC_immune_scRNA_metadata.csv.gz	39M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE243nnn/GSE243013/suppl/GSE243013_NSCLC_immune_scRNA_metadata.csv.gz
GSE243013	GSE243013_RAW.tar	516M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE243nnn/GSE243013/suppl/GSE243013_RAW.tar
GSE243013	GSE243013_T_with_TCR_annotation.csv.gz	15M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE243nnn/GSE243013/suppl/GSE243013_T_with_TCR_annotation.csv.gz
GSE243013	GSE243013_UMAP_info.tar.gz	21M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE243nnn/GSE243013/suppl/GSE243013_UMAP_info.tar.gz
GSE243013	GSE243013_barcodes.csv.gz	6.4M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE243nnn/GSE243013/suppl/GSE243013_barcodes.csv.gz
GSE243013	GSE243013_genes.csv.gz	112K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE243nnn/GSE243013/suppl/GSE243013_genes.csv.gz
GSE243013	filelist.txt	15K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE243nnn/GSE243013/suppl/filelist.txt
