accession	title	gdstype	n_samples	pdat	suppfile	ftplink	summary
GSE110768	Manassantin A inhibits tumour growth under hypoxia through the activation of chaperone-mediated autophagy by modulating Hsp90 activity	Expression profiling by array	12	2024/01/22	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110768/	Background: Chaperon-mediated autophagy (CMA) has taken on a new emphasis in cancer biology. However, the roles of CMA in hypoxic tumours are poorly understood. We investigated the anti-tumour effects of the natural product ManA through the activation of CMA in tumour progression under hypoxia.  Methods: The effect of ManA on CMA activation was assessed in mouse xenograft models and cells. The gene expressions of HIF-1α, HSP90AA1, and transcription factor EB (TFEB) were analysed using The Cancer Genome Atlas (TCGA) datasets to assess the clinical relevance of CMA.  Results: ManA activates photoswitchable CMA reporter activity and inhibits Hsp90 chaperone function by disrupting the Hsp90/F1F0-ATP synthase complex. Hsp90 inhibition enhances the interaction between CMA substrates and LAMP-2A and TFEB nuclear localisation, suggesting CMA activation by ManA. ManA-activated CMA retards tumour growth and displays cooperative anti-tumour activity with anti-PD-1 antibody. TCGA datasets show that a combined expression of HSP90AA1High/HIF1AHigh or TFEBLow/HIF1AHigh is strongly correlated with poor prognosis in patients with lung cancer.  Conclusions: ManA-induced CMA activation by modulating Hsp90 under hypoxia induces HIF-1α degradation and reduces tumour growth. Thus, inducing CMA activity by targeting Hsp90 may be a promising therapeutic strategy against hypoxic tumours. 
GSE190905	Single-cell RNA and TCR sequencing reveals distinct systematic immune response induced by SABR with or without prior anti-PD-1 therapy	Expression profiling by high throughput sequencing; Other	16	2025/02/05	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190905/	Previous studies have demonstrated that stereotactic body radiation therapy (SBRT) could activate systemic immune response, however, these researches showed limitations in comprehensively characterizing changes of T cell profile and T cell receptor (TCR). In the present study, we applied scRNA-seq and scTCR-seq to observe the dynamics of T cell and TCR repertoire from peripheral blood mononuclear cells (PBMCs) in early stage non-small-cell lung cancer (NSCLC) patients receiving SBRT with or without prior anti-PD-1 therapy, demonstrating the distinct systemic immune response between SBRT and ISBRT group. An enrichment of CD8-TE, CD8-EM, and CD4-TE clusters with increased cytotoxic and exhausted score were observed after treatment in SBRT group, while a decrease of those were presented in ISBRT group. Moreover, gene expression analysis revealed T cell mediated cytotoxicity signaling and T cell proliferation signaling were enriched in SBRT group while decreased in SBRT group. Analysis of TCR repertoire indicated a substantial alteration of TCR repertoire after treatment. The proportions of the large clone of TCR were increased after treatment in SBRT group while an opposite alteration existed in ISBRT group. After treatment, both SBRT and ISBRT group generated numerous new TCR clones which were mainly enriched in CD8 TE. Single clones and large clones were the mainly types of new TCRs in SBRT group, whereas in ISBRT group single clones accounted for the majority of new TCRs. These findings suggested that systemic immunity was activated in distinct pattern between the SBRT and ISBRT group, and provide evidence for future development of new treatment regimen.
GSE194070	Tumor-intrinsic CD74 expression mediates immune evasion in lung cancer with COPD	Expression profiling by high throughput sequencing	16	2024/08/15	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE194nnn/GSE194070/	To better elucidate the complex interaction between COPD and NSCLC, we comprehensively characterized immune cell dynamics and transcriptome profiles of malignant cells in tumor tissues from NSCLC patients with COPD using single-cell RNA sequencing (scRNA-seq). We observed increased fractions of exhausted CD8+ T cells, CCL18+ tumor-associated macrophages (TAMs), and LAMP3+ dendritic cells (DCs) in the immune component of NSCLC with COPD compared with the findings in NSCLC without COPD. Remarkably, a critical cluster of malignant cells from NSCLC with COPD samples, characterized by high expression of CD74, significantly exhibited an epithelial-immune dual signature and was associated with poor prognosis. Interestingly, we found that CD74 facilitated phosphorylation of MAPK/STAT3 to mediate PD-L1 expression and further suppressed CD8+ T cell function, triggering LC progression. Our study provides a comprehensive profiling of the multi-cellular ecosystem of NSCLC with coexisting COPD and reveals that CD74+ cancer cells are potential targets for immunotherapy.
GSE202417	Potential of Bezafibrate for Combination with Nivolumab in Treatment of Advanced Non-Small Cell Lung Cancer	Expression profiling by array	28	2025/05/06	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202417/	Background. Novel combination therapies with PD-1/PD-L1 inhibitors are needed to overcome resistance to these drugs. Bezafibrate, a ligand of PGC-1a/PPAR complexes, has shown a synergistic antitumor effect with PD-1 blockade in mice that is mediated by activation of mitochondria in T cells. We have therefore now performed a phase I trial of bezafibrate with nivolumab in previously treated patients with advanced non-small cell lung cancer. The primary end point was the percentage of patients who experience dose-limiting toxicity, and this combination regimen was found to be well tolerated. Preplanned comprehensive analysis of plasma metabolites and gene expression in peripheral cytotoxic T cells indicated that bezafibrate promoted T cell function through upregulation of mitochondrial metabolism including fatty acid oxidation and may thereby have prolonged the duration of response. This combination strategy targeting T cell metabolism thus has the potential to maintain antitumor activity of immune checkpoint inhibitors and warrants further validation.
GSE206127	Machine Learning-based Exceptional Response Prediction of Nivolumab Monotherapy with Circulating MicroRNAs in Non-Small Cell Lung Cancer	Non-coding RNA profiling by high throughput sequencing	213	2025/06/14	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE206nnn/GSE206127/	Detecting cancer patients with exceptional response to immune check-point inhibition therapy is necessary to improve the treatment.  This study demonstrated machine learning models that utilize both microRNA expression and clinical information achieved much higher sensitivity and accuracy in identifying Exceptional-responder to nivolumab monotherapy when comparing to conventional method only using companion PD-L1 testing.
GSE207715	 Extracellular vesicles miR-574-5p and miR-181a-5p as prognostic markers in NSCLC patients treated with nivolumab	Non-coding RNA profiling by array	282	2024/07/28	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207715/	Plasma from 245 patients with advanced NSCLC who received nivolumab as second-line therapy was collected and analyzed. EV-miRnome was profiled on 174/245 patients by microarray platform and selected EV-miRs were validated by qPCR. A prognostic model combining EV-miR and clinical variables was built using stepwise Cox regression analysis and tested on an independent patient cohort (71/245). EV-PD-L1 gene copy number was assessed by digital PCR. For 54 patients with disease control, EV-miR changes at best response versus baseline were investigated by microarray and validated by qPCR.  EV-miRNome profiling at baseline identified two EV-miR (miR-181a-5p, miR-574-5p) that, combined with performance status, are capable of discriminating patients unlikely from those that are likely to benefit from immunotherapy (median overall survival of 4 months or higher than 9 months, respectively).  EV-PD-L1 digital evaluation reported higher baseline copy number in patients at increased mortality risk, without improving the prognostic score. Best response EV-miRNome profiling selected six deregulated EV-miRs (miR19a-3p, miR-20a-5p, miR-142-3p, miR-1260a, miR-1260b, miR-5100) in responding patients. Their longitudinal monitoring highlighted a significant downmodulation already in the first treatment cycles, which lasted more than six months.  Grantee:  Simona Coco Grantor:  Italian Ministry of Health Grant ID:  CO-2016-02361470 Grant Title:  Exosomal miRNA signature as prognostic marker in advanced non-small cell lung cancer (NSCLC) patients treated with Nivolumab
GSE218225	CRISPR screen of radiation resistant genes in NSCLC	Other	6	2024/07/12	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE218nnn/GSE218225/	Radiotherapy is an important treatment for non-small cell lung cancer (NSCLC). It not only kills tumor cells directly, but also promotes the efficacy of immunotherapy. However, resistance to radiotherapy is still an unavoidable clinical challenge. In this study, we used radiation-sensitive H460 cell line to stably express Cas9 and CRISPR GeCKO v2 library (A and B). Then a single 4GY irradiation was given, and after the cells resumed proliferation, the total genome was extracted and second-generation sequencing was performed. Genes directly associated with resistance to radiotherapy were identified in comparison to controls without any treatment.
GSE218989	Systematic dissection of tumor-normal single-cell ecosystems across a thousand tumors of 30 cancer types	Expression profiling by high throughput sequencing	355	2024/02/14	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE218nnn/GSE218989/	The complexity of the tumor microenvironment poses significant challenges in cancer therapy. Here, to comprehensively investigate the tumor-normal ecosystems, we perform an integrative analysis of 4.9 million single-cell transcriptomes from 1,070 tumor and 493 normal samples in combination with pan-cancer 137 spatial transcriptomics, 8,887 TCGA, and 1,261 checkpoint inhibitor-treated bulk tumors. We define a myriad of cell states constituting the tumor-normal ecosystems and also identify hallmark gene signatures across different cell types and organs. Our atlas characterizes distinctions between inflammatory fibroblasts marked by AKR1C1 or WNT5A in terms of cellular interactions and spatial co-localization patterns. Co-occurrence analysis reveals interferon-enriched community states including tertiary lymphoid structure (TLS) components, which exhibit differential rewiring between tumor, adjacent normal, and healthy normal tissues. The favorable response of interferon-enriched community states to immunotherapy is validated using immunotherapy-treated cancers (n=1,261) including our lung cancer cohort (n=497). Deconvolution of spatial transcriptomes discriminates TLS-enriched from non-enriched cell types among immunotherapy-favorable components. Our systematic dissection of tumor-normal ecosystems provides a deeper understanding of inter- and intra-tumoral heterogeneity.
GSE225620	Blood-based Genomic and Cellular Determinants of Response to Neoadjuvant PD-1 Blockade in Patients with Non-Small-Cell Lung Cancer	Expression profiling by high throughput sequencing	43	2024/07/05	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE225nnn/GSE225620/	The integrated analyses employed in the current study identified blood-based molecular and cellular signatures that are associated with the responsiveness and overall survival of PD-1/PD-L1 blockade therapy plus chemotherapy.
GSE227427	Tumor lineage-specific immune response in brain metastatic disease: opportunities for targeted immunotherapy regimen?	Other	22	2024/02/27	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE227nnn/GSE227427/	Metastases in the brain are the most severe and devastating complication of cancer. The incidence of brain metastasis is increasing. Therefore, the need of finding specific druggable targets for brain metastasis is demanding. The aim of this study was to compare the brain (immune) response to brain metastases of the most common tumor lineages, viz., lung adenocarcinoma and breast cancer. Targeted gene expression profiles of 11 brain metastasis of lung adenocarcinoma (BM-LUAD) were compared to 11 brain metastasis of breast cancer (BCBM) using NanoString nCounter PanCancer IO 360™ Panel. The most promising results were validated spatially using the novel GeoMx™ Digital Spatial Profiler (DSP) Technology. Additionally, Immune cell profiles and expression of drug targets were validated by multiplex immunohistochemistry. We found more active immune response in BM-LUAD as compared to BCBM. In the BM-LUAD, 138 genes were upregulated as compared to BCBM (adj. p ≤ 0.05). Conversely, in BCBM 28 genes were upregulated (adj. p ≤ 0.05). Additionally, genes related to CD45+ cells, T cells and cytotoxic T cells showed to be expressed higher in BM-LUAD compared to BCBM (adj. p = 0.01, adj. p = 0.023, adj. p = 0.023, respectively). The spatial quantification of the immune cells using the GeoMx DSP technique revealed the significantly higher quantification of CD14 and CD163 in tumor regions of BM-LUAD as compared to BCBM. Importantly, the immune checkpoint VISTA and IDO1 were identified as highly expressed in the BM-LUAD. Multiplex immunohistochemistry confirmed the finding and showed that VISTA is expressed  mainly in BM-LUAD tumor cells, CD3+ cells, and to less levels in some microglial cells in BM-LUAD. This is the first report on differences in the brain immune response between metastatic tumor of different lineages. We found a far more extensive infiltration of immune cells in BM-LUAD as compared to BCBM. In addition, we found higher expression of VISTA and IDO1 in BM-LUAD. Taken together, targeted immune therapy should be considered to treat patients with BM-LUAD.
GSE230489	RNA-sequencing of cutaneous melanoma and non-small cell lung cancer biopsies	Expression profiling by high throughput sequencing	38	2025/02/07	TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230489/	We used a proteogenomic approach combining RNA-sequencing and mass spectrometry to study the MHC I-immunopeptidome of cutaneous melanoma and non-small cell lung cancer (NSCLC) samples. The RNA-sequencing of each sample was used to construct sample-specific databases for the mass spectrometry-based identification of MHC I-associated peptides (MAPs). MAPs were then filtered based on their RNA expression in the respective cancer types from The Cancer Genome Atlas (TCGA-SKCM for melanoma MAPs, or TCGA-LUSC and TCGA-LUAD for NSCLC MAPs) vs. benign tissues (from the Genotype-Tissue Expression (GTEx) Project, medullary thymic epithelial cells, purified blood and bone marrow cells, and normal melanocytes for melanoma or bronchial brushing samples for NSCLC). MAPs were classified as mutated tumor-specific antigens (mTSAs, derived from non-synonymous mutations expressed in the sample of origin), or unmutated tumor antigens: aberrantly expressed tumor-specific antigens (aeTSAs, no/low expression in benign tissues and at least two times higher expression in TCGA), tumor-associated antigens (TAAs, significant expression in benign tissues and at least two times higher expression in TCGA), lineage-associated antigens (LSAs, specific expression to cancer and normal tissue of origin, i.e., lung and bronchial brushing samples for NSCLC or skin and melanocytes for melanoma). The tumor antigens described here represent attractive targets for immunotherapy of melanoma and NSCLC.
GSE233203	The single-cell level molecular characteristics according to combination immunotherapy response of non-small cell lung cancer patients.	Expression profiling by high throughput sequencing	7	2025/08/27	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233203/	Non-small cell lung cancer patients finally acquire EGFR-TKI resistance. For these patients, combination immunotherapy, atezolizumab plus bevacizumab and carboplatin/paclitaxel (ABCP), was proposed as a therapy based on targetting both cancer and stromal cells. Despite of relatively good therapeutic outcome, precise mechanism was not fully understood. To dissect tumor microenvironment and regulatory mechanism involved in ABCP response, we performed scRNA-seq analysis from patients to receive ABCP.
