accession	uid	queries	title	taxon	gdstype	n_samples	gpl	pubmed	pdat
GSE318315	200318315	brute_token	MERTK inhibition cooperates with immunomodulatory cyclophosphamide to induce CXCL9-positive monocyte-macrophage programming and durable anti-tumor immunity in triple negative breast cancer	Mus musculus	Expression profiling by high throughput sequencing	6	GPL24247	41676642	2026/03/11
GSE279172	200279172	brute_token,sting1	Basal IFNλ2/3 expression regulates tight junction formation in human epithelial cells	Homo sapiens	Expression profiling by high throughput sequencing	18	GPL24676	40890487	2025/06/02
GSE206629	200206629	brute_token	Increased Type I Interferon Signaling and Brain Endothelial Barrier Dysfunction in an Experimental Model of Alzheimer’s Disease	Mus musculus	Expression profiling by high throughput sequencing	10	GPL21103	36182964	2022/06/25
GSE115081	200115081	brute_token,dna_repair	Probiotic Bacillus subtilis CW14 Reduces the Epithelial Barrier Disruption and Toxicity of Ochratoxin A to Caco-2 cells	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL20795	30763683	2019/12/31
GSE55399	200055399	brute_token,dna_repair	Efficacy of carboplatin alone and in combination with ABT888 in intracranial murine models of BRCA-mutated and BRCA-wild-type triple negative breast cancer	Homo sapiens	Expression profiling by array	34	GPL7504	25824335	2015/05/12
GSE10893	200010893	brute_token,dna_repair	Basal-like Breast Cancer DNA copy number losses identify genes involved in genomic instability, response to therapy, and patient survival	Homo sapiens	Expression profiling by array; Genome variation profiling by genome tiling array; Genome variation profiling by SNP array	504	GPL885	22048815	2011/11/06
GSE3165	200003165	brute_token	Identification of conserved gene expression features across human and murine mammary tumors	Mus musculus; Homo sapiens	Expression profiling by array	354	GPL885	17493263,18782450	2007/05/01
GSE310539	200310539	cldn4_text	AP-1 mediated chromatin changes govern alveolar type 2 cell transition in lung injury-repair [multiome]	Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	8	GPL24247		2026/07/01
GSE309751	200309751	cldn4_text	AP-1 mediated chromatin changes govern alveolar type 2 cell transition in lung injury-repair	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	14	GPL24247		2026/07/01
GSE330007	200330007	cldn4_text	Transcriptomic Analysis Reveals Molecular Signatures Distinguishing Vocal Fold Leukoplakia from Benign Lesions: Synergistic Dysregulation of Chronic Inflammation, Immune Dysfunction, and Epithelial Barrier Disruption	Homo sapiens	Expression profiling by high throughput sequencing	19	GPL29480		2026/05/10
GSE309894	200309894	cldn4_text	Clinical Characteristics and Spatial transcriptome analysis of Early Resistance to Alectinib in ALK-Positive non-small cell lung cancer: A Retrospective OLCSG Study	Homo sapiens	Other	34	GPL24676	41529251	2026/01/08
GSE279689	200279689	cldn4_text	Gonadotropins regulate cell adhesion and spermiation through a cross-talk between oxytocin and relaxin pathways in Senegalese sole	Solea senegalensis	Expression profiling by high throughput sequencing	15	GPL35005	40530338	2025/06/25
GSE282371	200282371	cldn4_text	Combined Th2 and Th17/22 cytokines models atopic dermatitis pathophysiology in vitro	Homo sapiens	Expression profiling by high throughput sequencing	26	GPL18573	40409379	2025/06/24
GSE244820	200244820	cldn4_text	Activation of alveolar epithelial ER stress by b-coronavirus infection disrupts surfactant homeostasis in mice: implications for COVID-19 respiratory failure	Mus musculus	Expression profiling by high throughput sequencing	10	GPL24247	38860845	2024/06/27
GSE268909	200268909	cldn4_text	Effects of hyperglycemia on airway epithelial barrier function in WT and CF 16HBE cells	Homo sapiens	Expression profiling by high throughput sequencing	26	GPL24676	39443580	2024/06/03
