cancer_group	location	n_slices	n_cell_lines	n_models	n_up	n_down	n_tie	n_tested	sign_p_two_sided	sign_p_greater
Mammary	mean	29	7	29	18	11	0	29	0.26493089646101	0.132465448230505
Melanoma	mean	14	4	14	13	1	0	14	0.0018310546875	0.00091552734375
Colorectal	mean	10	2	10	8	2	0	10	0.109375	0.0546875
Gastric	mean	5	1	5	5	0	0	5	0.0625	0.03125
Liver	mean	2	1	2	1	1	0	2	1.0	0.75
Lung	mean	2	1	2	2	0	0	2	0.5	0.25
Sarcoma	mean	2	1	2	2	0	0	2	0.5	0.25
Mammary	median	29	7	29	16	12	1	28	0.5715881884098053	0.28579409420490265
Melanoma	median	14	4	14	8	2	4	10	0.109375	0.0546875
Colorectal	median	10	2	10	7	2	1	9	0.1796875	0.08984375
Gastric	median	5	1	5	4	1	0	5	0.375	0.1875
Liver	median	2	1	2	1	1	0	2	1.0	0.75
Lung	median	2	1	2	2	0	0	2	0.5	0.25
Sarcoma	median	2	1	2	2	0	0	2	0.5	0.25
