model	cell_line	gse_id	cancer_type	cancer_group	independent_key	n_baseline	n_icb	n_responder	n_nonresponder	median_baseline	median_icb	mean_baseline	mean_icb	delta_median	delta_mean	dir_median	dir_mean	treatments	tismo_pvalue
4T1_GSE130472_old_antiCTLA4(n=15)	4T1	GSE130472	Mammary carcinoma	Mammary	4T1_GSE130472_old	7	8	0	8	2.52574704290325	1.952722276979635	2.514297489980687	2.101033994252919	-0.5730247659236147	-0.4132634957277683	-1	-1	antiCTLA4; old;;isotype; old;	0.25528274159276
4T1_GSE130472_old_antiPDL1(n=15)	4T1	GSE130472	Mammary carcinoma	Mammary	4T1_GSE130472_old	7	8	0	8	2.52574704290325	1.934024474690875	2.514297489980687	1.9181712442543726	-0.5917225682123748	-0.5961262457263146	-1	-1	antiPDL1; old;;isotype; old;	0.364372932141465
4T1_GSE130472_young_antiCTLA4(n=19)	4T1	GSE130472	Mammary carcinoma	Mammary	4T1_GSE130472_young	7	12	12	0	2.0041692956078	2.042084475065975	1.828002337047947	2.022329043801921	0.03791517945817491	0.1943267067539738	1	1	antiCTLA4; young;;isotype; young;	0.482356121607691
4T1_GSE130472_young_antiPDL1(n=17)	4T1	GSE130472	Mammary carcinoma	Mammary	4T1_GSE130472_young	7	10	10	0	2.0041692956078	1.46919348992629	1.828002337047947	1.513979847296362	-0.5349758056815102	-0.3140224897515851	-1	-1	antiPDL1; young;;isotype; young;	0.482356121607691
4T1_GSE132529_antiPD1(n=6)	4T1	GSE132529	Mammary carcinoma	Mammary	4T1_GSE132529	3	3	0	3	4.71476550712754	4.50430625408492	4.60635116464027	4.618043517048983	-0.21045925304261992	0.011692352408712914	-1	1	antiPD1;vehicle	0.999994158740348
4T1_GSE137818_Brca1_KO_antiPD1(n=10)	4T1	GSE137818	Mammary carcinoma	Mammary	4T1_GSE137818_Brca1_KO	5	5	0	5	4.13196896960058	4.13036998337883	4.13363209798346	4.004876780464524	-0.0015989862217500317	-0.12875531751893554	-1	-1	antiPD1;no_treatment	0.843155009346725
4T1_GSE137818_Brca2_KO_antiPD1(n=8)	4T1	GSE137818	Mammary carcinoma	Mammary	4T1_GSE137818_Brca2_KO	5	3	3	0	3.92360076832232	4.25409640102182	4.16174288745599	4.219715199100553	0.3304956326994999	0.05797231164456296	1	1	antiPD1;no_treatment	0.990658392275117
E0771_GSE174053_high.fat.diet_antiPD1(n=16)	E0771	GSE174053	Mammary adenocarcinoma	Mammary	E0771_GSE174053_high.fat.diet	8	8	0	8	0.20331010716772252	0.42800483053675253	0.5992002718011491	0.6090158168355533	0.22469472336903	0.009815545034404183	1	1	antiPD1; high.fat.diet;;isotype; high.fat.diet;	0.458870947942633
EMT6_GSE107801_antiPDL1(n=20)	EMT6	GSE107801	Mammary carcinoma	Mammary	EMT6_GSE107801	10	10	10	0	0.1007223640994256	0.1503856554008045	0.14814397911812333	0.19311695139532664	0.049663291301378906	0.044972972277203316	1	1	antiPDL1;;isotype	0.0223871957549608
EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)	EMT6	GSE107801	Mammary carcinoma	Mammary	EMT6_GSE107801_antiTGFb_trap	10	10	10	0	0.07247072518300346	0.30734664094950903	0.09675844901627804	0.7434342386994304	0.23487591576650557	0.6466757896831523	1	1	M7824 (anti_PDL1_TGFb_Trap);anti_PDL1(mut)_TGFb_Trap_control	0.0223871957549608
