unit	cell_line	cancer_group	n_slices	n_baseline	n_icb	delta_median	delta_mean
402230_GSE148856	402230	Sarcoma	1	4	4	0.32515281045090444	0.23804778373791413
402230_GSE148856_radiation	402230	Sarcoma	1	4	4	0.2589354026985835	0.18562829636519473
4T1_GSE130472_old	4T1	Mammary	2	7	16	-0.5730247659236147	-0.5046948707270413
4T1_GSE130472_young	4T1	Mammary	2	7	22	-0.16116955084198992	-0.036741109839462105
4T1_GSE132529	4T1	Mammary	1	3	3	-0.21045925304261992	0.011692352408712914
4T1_GSE137818_Brca1_KO	4T1	Mammary	1	5	5	-0.0015989862217500317	-0.12875531751893554
4T1_GSE137818_Brca2_KO	4T1	Mammary	1	5	3	0.3304956326994999	0.05797231164456296
B16_GSE109485_intra&extracranial	B16	Melanoma	1	3	3	0.0077528188424745	0.0035001252860444665
B16_GSE109485_intracranial	B16	Melanoma	1	3	3	0.0231154673072444	0.016657279809116098
B16_GSE149825	B16	Melanoma	1	3	3	0.0	0.002762999666898011
B16_GSE149825_birinapant	B16	Melanoma	1	3	3	2.7967174485066515	2.5083650840519156
B16_GSE150401	B16	Melanoma	1	4	4	0.0	0.0574797835081895
B16_GSE150401_MDK_knockdown	B16	Melanoma	1	4	4	0.1621063958169895	0.21215404398300575
B16_GSE151829	B16	Melanoma	1	3	6	0.20577400863729997	0.2057913145666739
B16_GSE151829_Aire_KO	B16	Melanoma	1	5	6	-0.04606814170892004	0.40818126284507483
B16_GSE152925	B16	Melanoma	1	6	6	0.0	0.013112900419935384
B16_GSE152925_Man2a1_KO	B16	Melanoma	1	3	3	0.0	0.020458133410393733
B16_GSE152925_swainsonine	B16	Melanoma	1	3	3	-0.0622149948141085	-0.013115540614165838
BNL-MEA_GSE148947	BNL-MEA	Liver	1	3	3	-0.10248291843767549	-0.05201996387775577
BNL-MEA_GSE148947_regorafenib_5	BNL-MEA	Liver	1	3	3	0.015507368279815699	0.032338412145901566
CT26_ERP114266	CT26	Colorectal	2	10	10	0.05739372431617251	0.36522556280887497
CT26_GSE139475	CT26	Colorectal	1	5	9	-0.44895868245946	-0.3166630333827094
CT26_GSE153239_FcS	CT26	Colorectal	1	5	5	0.30609865466332603	0.15507255575346612
CT26_GSE153239_FcS_antiGARP:TGFb_FcD	CT26	Colorectal	1	5	5	0.24665377659055598	0.3581193772674359
CT26_GSE153239_FcS_antiGARP:TGFb_WT	CT26	Colorectal	1	5	5	0.045762225124862	0.27647734220176834
CT26_GSE153239_FcS_antiTGFb	CT26	Colorectal	1	5	5	0.013217346453805012	0.28511384108170107
D3UV2_GSE159344	D3UV2	Melanoma	1	3	3	0.09309238566132802	0.8488536926945518
D4M.3A.3_GSE159344	D4M.3A.3	Melanoma	1	3	3	0.191002897726662	0.1613987199705567
E0771_GSE174053_high.fat.diet	E0771	Mammary	1	8	8	0.22469472336903	0.009815545034404183
EMT6_GSE107801	EMT6	Mammary	1	10	10	0.049663291301378906	0.044972972277203316
EMT6_GSE107801_antiTGFb_trap	EMT6	Mammary	1	10	10	0.23487591576650557	0.6466757896831523
KPB25L_GSE124821	KPB25L	Mammary	3	15	12	-0.12454343026679471	-0.023644393239396155
KPB25L_GSE124821_UV	KPB25L	Mammary	3	14	13	0.0010516522269496953	-0.20599976737907522
LLC_GSE155972	LLC	Lung	1	10	6	0.21893488156085375	0.13259432798655757
LLC_GSE155972_Setdb1_KO	LLC	Lung	1	10	7	0.1212711364998045	0.7246291585359348
MC38_GSE172162	MC38	Colorectal	1	4	4	0.03181089454898895	0.02013010653810022
MC38_GSE172162_exercise	MC38	Colorectal	1	4	4	0.0	-0.012811111085799826
MC38_GSE93017	MC38	Colorectal	1	3	3	0.14928913405771	0.09954429880361666
T11_GSE124821	T11	Mammary	3	13	13	-0.046894386001454194	-0.005216768291354923
T11_GSE124821_Apobec	T11	Mammary	3	12	12	0.3297966386960692	0.22547663826926098
T11_GSE124821_UV	T11	Mammary	3	12	12	0.092929230190158	0.06792690711466942
YTN16_GSE146027	YTN16	Gastric	4	15	19	3.57580112231376	1.98234558453566
YTN16_GSE146027_anti_IL17	YTN16	Gastric	1	4	4	0.21137814740885008	0.14262664707550998
YUMM1.7_GSE103725_BRAF.inhibitor	YUMM1.7	Melanoma	1	3	4	0.016770809698213845	0.05829669496273836
p53-2225L_GSE124821	p53-2225L	Mammary	2	14	8	-0.22179887263410958	-0.08127484545272479
p53-2336R_GSE124821	p53-2336R	Mammary	2	11	10	0.1922220572325399	1.0626252727137686
