mouse,gsm,genotype,sex,treatment,cohort,restorable,lkb1_restored
CM0875,GSM5419465,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Male,Tamoxifen,NonRestored,FALSE,FALSE
CM0879,GSM5419466,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Male,Tamoxifen,Restored,TRUE,TRUE
CM0884,GSM5419467,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Male,Tamoxifen,Restored,TRUE,TRUE
ZR1932,GSM5419468,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Male,Vehicle,NonRestored,FALSE,FALSE
ZR1966,GSM5419469,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Female,Vehicle,NonRestored,TRUE,FALSE
ZR1969,GSM5419470,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Female,Tamoxifen,Restored,TRUE,TRUE
