protein,on_deposited_panel,class,role
CLDN4,False,requested_absent,CLDN4/TROP2 not on GPL29263 68-plex used here
TROP2,False,requested_absent,CLDN4/TROP2 not on GPL29263 68-plex used here
TACSTD2,False,requested_absent,CLDN4/TROP2 not on GPL29263 68-plex used here
Claudin-4,False,requested_absent,CLDN4/TROP2 not on GPL29263 68-plex used here
Trop-2,False,requested_absent,CLDN4/TROP2 not on GPL29263 68-plex used here
Ms IgG1,True,isotype_control,isotype control
CD11c,True,immune_myeloid,immune_myeloid
S6,True,housekeeper,housekeeper / loading
CD4,True,immune_T,immune neighborhood
Ki-67,True,other,other
PD-1,True,immune_checkpoint,prespecified T / PD-1
Rb IgG,True,isotype_control,isotype control
Histone H3,True,housekeeper,housekeeper / loading
PD-L1,True,immune_checkpoint,immune neighborhood
HLA-DR,True,immune_antigen_presentation,immune neighborhood
Beta-2-microglobulin,True,other,other
CD3,True,immune_T,prespecified T / PD-1
PanCk,True,barrier_epithelial,closest barrier / epithelial proxy (CLDN4/TROP2 absent)
Ms IgG2a,True,isotype_control,isotype control
CD68,True,immune_myeloid,immune neighborhood
CTLA4,True,immune_checkpoint,immune_checkpoint
CD20,True,immune_B,immune neighborhood
SMA,True,other,other
CD56,True,immune_NK,immune neighborhood
CD45,True,immune_leukocyte,immune neighborhood
CD8,True,immune_T,prespecified T / PD-1
GAPDH,True,housekeeper,housekeeper / loading
Fibronectin,True,other,other
GZMB,True,immune_cytotoxic,immune neighborhood
NF1,True,other,other
Cleaved Caspase 9,True,other,other
CD95/Fas,True,other,other
PARP,True,other,other
BIM,True,other,other
p53,True,other,other
BAD,True,other,other
BCL6,True,other,other
GZMA,True,immune_cytotoxic,immune_cytotoxic
BCLXL,True,other,other
CD27,True,other,other
PD-L2,True,immune_checkpoint,immune_checkpoint
CD40,True,other,other
CD127,True,other,other
CD25,True,other,other
CD80,True,other,other
ICOS,True,other,other
CD44,True,other,other
GITR,True,other,other
IDO1,True,immune_checkpoint,immune_checkpoint
LAG3,True,immune_checkpoint,immune_checkpoint
OX40L,True,other,other
Tim-3,True,immune_checkpoint,immune_checkpoint
VISTA,True,immune_checkpoint,immune_checkpoint
B7-H3,True,other,other
ARG1,True,other,other
STING,True,other,other
4-1BB,True,other,other
EpCAM,True,barrier_epithelial,closest barrier / epithelial proxy (CLDN4/TROP2 absent)
S100B,True,other,other
ER-alpha,True,other,other
PTEN,True,other,other
MART1,True,other,other
PR,True,other,other
Bcl-2,True,other,other
NY-ESO-1,True,other,other
Her2,True,other,other
FAP-alpha,True,other,other
FOXP3,True,immune_Treg,immune neighborhood
CD163,True,immune_myeloid,immune_myeloid
CD14,True,immune_myeloid,immune_myeloid
CD66b,True,immune_myeloid,immune_myeloid
CD45RO,True,immune_memory,immune_memory
CD34,True,other,other
