protein,n_aoi,qc_median,qc_min,qc_max,median_sn_vs_mean_igg,frac_aoi_sn_gt_2,frac_aoi_sn_gt_3
EpCAM,96,354.66499999999996,1.84,13192.5,8.598751377944609,0.7604166666666666,0.7291666666666666
PanCk,96,1543.58,18.61,89110.2,34.60273511828878,0.9895833333333334,0.9479166666666666
CD8,96,270.95,4.07,1562.99,4.421577123641252,0.9791666666666666,0.8645833333333334
CD3,96,172.82,0.71,8796.51,3.0286232303002714,0.6979166666666666,0.5208333333333334
PD-1,96,68.43,4.75,474.53,1.1020614909233977,0.0,0.0
CD45,96,985.13,2.47,28455.02,17.11285699866692,0.9791666666666666,0.9791666666666666
CD4,96,272.38,1.26,4365.88,4.443905254440565,0.9479166666666666,0.7395833333333334
GZMB,96,338.28,4.44,2187.04,5.791704300081312,0.9583333333333334,0.8854166666666666
CD20,96,60.435,0.63,1427.25,1.088891687572749,0.03125,0.010416666666666666
FOXP3,96,9.254999999999999,0.75,412.54,0.14420071136295903,0.0,0.0
CD68,96,726.2650000000001,1.5,10983.45,10.787507421770579,0.9791666666666666,0.9791666666666666
HLA-DR,96,932.7049999999999,2.13,15257.04,16.20039073077606,0.9791666666666666,0.9375
PD-L1,96,9.56,0.66,412.54,0.15875802191238933,0.0,0.0
CD56,96,144.68,1.94,1925.62,2.4348107084196906,0.8541666666666666,0.20833333333333334
Ms IgG1,96,74.765,3.86,548.83,1.2927643482433155,0.0,0.0
Rb IgG,96,85.3,0.74,552.18,1.3991776197847243,0.0,0.0
Ms IgG2a,96,18.060000000000002,3.82,412.54,0.3075327063975692,0.0,0.0
Histone H3,96,7727.719999999999,13.07,125433.43,150.21315370468727,1.0,0.9895833333333334
GAPDH,96,4910.395,23.35,59502.23,78.44501297417062,0.9895833333333334,0.9895833333333334
S6,96,2853.1000000000004,14.57,20534.52,50.433887051294974,1.0,1.0
