x,y,covariate,n,partial_rho,p
EpCAM,CD8,PanCk,47,-0.18642002235846153,0.20960598800932537
EpCAM,CD8,nuclei,47,-0.20046367783905122,0.1766751413277479
EpCAM,CD8,Histone H3,47,-0.19104980304143887,0.19830722547423746
EpCAM,CD3,PanCk,47,-0.07019292149749926,0.639184452002946
EpCAM,CD3,nuclei,47,-0.0791884741249777,0.5967345343575284
EpCAM,CD3,Histone H3,47,-0.08378302202728093,0.575543185599081
EpCAM,PD-1,PanCk,47,-0.12804613385943123,0.3910357090948576
EpCAM,PD-1,nuclei,47,-0.09727837281789678,0.5153730227233433
EpCAM,PD-1,Histone H3,47,-0.09204346033528449,0.538333642750798
EpCAM,CD45,PanCk,47,-0.3965508110139894,0.005788113776335179
EpCAM,CD45,nuclei,47,-0.42240770893672375,0.003099394937385141
EpCAM,CD45,Histone H3,47,-0.45172577635309935,0.0014360659517788756
EpCAM,CD4,PanCk,47,-0.17654489945773252,0.2351915902189822
EpCAM,CD4,nuclei,47,-0.22494675728477392,0.1284636305265936
EpCAM,CD4,Histone H3,47,-0.23320131102474484,0.11467253170410217
