stratum,protein,n_responder,n_nonresponder,responder_median,nonresponder_median,U,p
tumour_patient,EpCAM,15,24,9.924467535,9.406661875833333,207.0,0.44427803130186916
tumour_patient,PanCk,15,24,12.54263397,12.93115294,145.0,0.3192845395254462
tumour_patient,CD8,15,24,7.773257542,7.842716369,144.0,0.3054591107087664
tumour_patient,CD3,15,24,6.623557762,6.9385576485,148.0,0.36317771461056314
tumour_patient,PD-1,15,24,5.943595505,5.956444491,167.0,0.718216129533986
tumour_patient,CD45,15,24,9.270269412,9.465574777,145.0,0.3192845395254462
stroma_patient,EpCAM,16,24,8.442084681499999,6.6378085979999994,269.0,0.034686197455278026
stroma_patient,PanCk,16,24,9.4854314005,9.2383458915,203.0,0.7719059342445048
stroma_patient,CD8,16,24,7.888621162,8.035911658749999,136.0,0.12546385649977737
stroma_patient,CD3,16,24,7.814394568,7.94003625825,165.0,0.4644073387193247
stroma_patient,PD-1,16,24,5.8579771585,5.749879961083334,209.0,0.648727957492339
stroma_patient,CD45,16,24,10.329253510000001,10.4798765985,149.0,0.24066150619506876
