stratum,x,y,n,rho,p,rho_ci95_lo,rho_ci95_hi,q_bh_within_barrier,normalization
tumour_qc_area_1e5,EpCAM,CD8,47,0.1825855689176688,0.21929884242337236,-0.11036812093200798,0.446349170650602,0.5031200841414604,area_1e5
tumour_qc_area_1e5,EpCAM,CD3,47,0.04625346901017576,0.757531188632985,-0.24415633972332662,0.32904969087012037,0.757531188632985,area_1e5
tumour_qc_area_1e5,EpCAM,PD-1,47,0.18917668825161885,0.20282547552097283,-0.10361926768854154,0.45179937828682626,0.5031200841414604,area_1e5
tumour_qc_area_1e5,EpCAM,CD45,47,-0.12777520814061055,0.39204717456369015,-0.40025552421082117,0.16546290044728565,0.5031200841414604,area_1e5
tumour_qc_area_1e5,EpCAM,CD4,47,0.125,0.4024960673131683,-0.16820466114923954,0.3978844118751417,0.5031200841414604,area_1e5
tumour_qc_area_1e5,PanCk,CD8,47,0.392113783533765,0.006412221823367295,0.11826370986070865,0.6105332863525981,0.016030554558418238,area_1e5
tumour_qc_area_1e5,PanCk,CD3,47,0.17437557816836263,0.2410865254499528,-0.11873697298266325,0.4395328362790921,0.3117766296139512,area_1e5
tumour_qc_area_1e5,PanCk,PD-1,47,0.452358926919519,0.0014113339393662615,0.1898547113943066,0.6545040458643226,0.007056669696831308,area_1e5
tumour_qc_area_1e5,PanCk,CD45,47,0.03411193339500462,0.8199350439821326,-0.2555582798942277,0.3181620880117491,0.8199350439821325,area_1e5
tumour_qc_area_1e5,PanCk,CD4,47,0.17136910268270122,0.24942130369116094,-0.12179124087990188,0.4370290509335886,0.3117766296139512,area_1e5
tumour_qc_per_nucleus,EpCAM,CD8,47,0.2279139685476411,0.12336972763627903,-0.06340249365370432,0.48343995982659543,0.2056162127271317,per_nucleus
tumour_qc_per_nucleus,EpCAM,CD3,47,0.08903792784458836,0.5517363082508528,-0.20332771686506915,0.36682547505440716,0.6896703853135661,per_nucleus
tumour_qc_per_nucleus,EpCAM,PD-1,47,0.28584643848288627,0.0514450511977175,-0.0014384491092339744,0.5295452084568695,0.2056162127271317,per_nucleus
tumour_qc_per_nucleus,EpCAM,CD45,47,-0.04451896392229418,0.7663630717633482,-0.3274989086699752,0.24579011925975314,0.7663630717633482,per_nucleus
tumour_qc_per_nucleus,EpCAM,CD4,47,0.247109158186864,0.09402089312872675,-0.043117325652589675,0.4988750252197794,0.2056162127271317,per_nucleus
tumour_qc_per_nucleus,PanCk,CD8,47,0.3734967622571693,0.009711266412221652,0.0967017851581707,0.5966674814469934,0.024278166030554132,per_nucleus
tumour_qc_per_nucleus,PanCk,CD3,47,0.21207215541165592,0.15240737435687654,-0.07996450109741798,0.47058057043191703,0.19050921794609568,per_nucleus
tumour_qc_per_nucleus,PanCk,PD-1,47,0.4219472710453284,0.0031354025173321986,0.15336338630540075,0.6324772830549759,0.015677012586660995,per_nucleus
tumour_qc_per_nucleus,PanCk,CD45,47,0.17079093432007403,0.25104618078549823,-0.12237796428538125,0.43654708127583103,0.25104618078549823,per_nucleus
tumour_qc_per_nucleus,PanCk,CD4,47,0.2702358926919519,0.06619475477388244,-0.018355344697781193,0.5172617543466784,0.11032459128980406,per_nucleus
