n	rho	p	contrast	q
13	0.38461538461538464	0.19441291997748633	CLDN4 vs Slingshot PT	0.38882583995497266
7	0.39285714285714296	0.3833168704269727	CLDN4 vs DPT	0.5475955291813895
13	0.5549450549450549	0.04900449559833095	CLDN4 vs AT2 score	0.15184125766404477
13	0.6703296703296703	0.012166220319952023	CLDN4 vs barrier/keratin (no CLDN4)	0.12166220319952023
13	-0.2802197802197803	0.35376363563367896	CLDN4 vs IFN	0.5475955291813895
13	0.532967032967033	0.06073650306561791	CLDN4 vs TACSTD2 (comparator)	0.15184125766404477
13	0.5659340659340659	0.04379259223545486	barrier/keratin vs Slingshot PT	0.15184125766404477
13	-0.08241758241758242	0.788950927847518	IFN vs Slingshot PT	0.8766121420527977
13	-0.02785785523140639	0.9280183536004223	SFTPC vs Slingshot PT (control)	0.9280183536004223
13	0.1043956043956044	0.7343037452877025	AT2 score vs Slingshot PT (control)	0.8766121420527977
