n	rho	p	contrast
8	0.30952380952380953	0.4556448907375822	primary-only CLDN4 vs Slingshot PT
5	0.3	0.623837664781073	met-only CLDN4 vs Slingshot PT
8	0.5952380952380953	0.11952980613879269	primary-only CLDN4 vs barrier/keratin
5	0.7999999999999999	0.10408803866182788	met-only CLDN4 vs barrier/keratin
8	-0.9285714285714287	0.0008629681828999767	primary-only CLDN4 vs IFN
5	0.09999999999999999	0.8728885715695384	met-only CLDN4 vs IFN
7	0.39285714285714296	0.3833168704269727	tumor-donor CLDN4 vs DPT
14	0.4593406593406593	0.09846837616829024	all-tissues (include normal) CLDN4 vs Slingshot PT
