from	to	connectivity
0	1	0.0
0	2	0.061922148376643775
0	3	0.0
0	4	0.07819121183215735
0	5	0.012617001124630703
0	6	0.48938911112617806
0	7	0.593299919807538
0	8	0.051681177683583455
0	9	0.05211547329436987
0	10	0.25740560755952535
0	11	0.0014558078220727735
0	12	0.1730448421315491
0	13	0.00676777326808831
0	14	0.011701398720811348
0	15	0.2944261031670815
0	16	0.12232792515930763
0	17	0.12128866792162021
0	18	0.06890823691144461
0	19	0.055372690375267986
1	2	0.0
1	3	0.0
1	4	0.0
1	5	0.0
1	6	0.0
1	7	0.0
1	8	0.0
1	9	0.0
1	10	0.0
1	11	0.0
1	12	0.0
1	13	0.0
1	14	0.0
1	15	0.0
1	16	0.0
1	17	0.0
1	18	0.0
1	19	0.0
2	3	0.0
2	4	0.0
2	5	0.0013462308892285863
2	6	0.0058519832531773236
2	7	0.04587954870491022
2	8	0.0
2	9	0.009638560652292063
2	10	0.05919941768375511
2	11	0.0
2	12	0.03221878420288639
2	13	0.0
2	14	0.0
2	15	0.004344654233419528
2	16	0.0
2	17	0.0
2	18	0.0
2	19	0.0034136568976867723
3	4	0.05215372731190028
3	5	0.0
3	6	0.0
3	7	0.0
3	8	0.0
3	9	0.0
3	10	0.0
3	11	0.0
3	12	0.0
3	13	0.0
3	14	0.0
3	15	0.05545823345011986
3	16	0.0
3	17	0.0
3	18	0.0
3	19	0.0
4	5	0.0
4	6	0.0
4	7	0.0
4	8	0.0
4	9	0.0
4	10	0.0
4	11	0.0
4	12	0.00905631628500822
4	13	0.012473997549707752
4	14	0.0
4	15	0.14166274140367405
4	16	0.0014789213749829939
4	17	0.007138114975932679
4	18	0.0
4	19	0.0
5	6	0.0
5	7	0.008763963088878097
5	8	0.04598375694781717
5	9	0.316681019177948
5	10	0.0
5	11	0.0
5	12	0.026259065434840738
5	13	0.0
5	14	0.0055119264709925135
5	15	0.12172170956775133
5	16	0.0
5	17	0.0
5	18	0.0
5	19	0.006086085478387567
6	7	0.0
6	8	0.0
6	9	0.0
6	10	0.004096388277224127
6	11	0.2459275356572935
6	12	0.04280495615526334
6	13	0.0
6	14	0.0
6	15	0.0
6	16	0.0
6	17	0.014057716228112317
6	18	0.0
6	19	0.0
7	8	0.0
7	9	0.010457838307736887
7	10	0.012043381535038932
7	11	0.0
7	12	0.13633378535451374
7	13	0.0
7	14	0.011740403383214054
7	15	0.0377115987460815
7	16	0.0
7	17	0.0
7	18	0.0
7	19	0.0
8	9	0.15735173379696707
8	10	0.0
8	11	0.0
8	12	0.05340710964742348
8	13	0.0
8	14	0.07609520711342442
8	15	0.09820728840125392
8	16	0.0
8	17	0.005315031598591848
8	18	0.009765244496395868
8	19	0.0
9	10	0.020240977369813333
9	11	0.0
9	12	0.0029375950302631703
9	13	0.0
9	14	0.3946354078391278
9	15	0.015845209557177102
9	16	0.0
9	17	0.0
9	18	0.0
9	19	0.0
10	11	0.0
10	12	0.06765944682606141
10	13	0.0
10	14	0.0
10	15	0.0
10	16	0.0
10	17	0.0
10	18	0.0
10	19	0.0
11	12	0.0
11	13	0.0
11	14	0.0
11	15	0.0
11	16	0.0
11	17	0.0
11	18	0.0
11	19	0.04173315756608618
12	13	0.008323185919078983
12	14	0.0
12	15	0.561436722905146
12	16	0.0
12	17	0.07481653468220076
12	18	0.10664963652243578
12	19	0.14877694830353683
13	14	0.0
13	15	0.1304753974473802
13	16	0.0
13	17	0.0
13	18	0.0
13	19	0.0005511633532723434
14	15	0.5158662092624356
14	16	0.0
14	17	0.021661260854638476
14	18	0.0
14	19	0.0
15	16	0.0
15	17	0.0469655519439207
15	18	0.03462223048722172
15	19	0.01683553515450067
16	17	0.0
16	18	0.0
16	19	0.0
17	18	0.027241789074816523
17	19	0.010250418082998564
18	19	0.030342009685230025
