lineage_id	start_cluster	end_cluster	path	n_clusters	n_cells	n_tumor_cells	n_normal_cells	n_donors	mean_CLDN4	mean_barrier	mean_IFN	mean_AT2	mean_sling_pt	donor_n	donor_rho_CLDN4_vs_PT	donor_p_CLDN4_vs_PT	donor_rho_barrier_vs_PT	donor_p_barrier_vs_PT	donor_rho_IFN_vs_PT	donor_p_IFN_vs_PT	engine
Lineage1	4	5	4>15>0>8>9>5	6	1174	1050	124	13	0.4685405605747103	0.7494233895954187	0.43791271706975937	0.34896480400815466	35.54019107365079	12	-0.44055944055944063	0.1517350357167303	-0.4685314685314686	0.12445479118883407	-0.5734265734265735	0.05126558978649151	R_slingshot
Lineage2	4	1	4>15>0>8>1	5	929	862	67	13	0.5802549990244907	0.8259659004245645	0.4235406454645271	0.4174040675719322	32.100842665048425	10	0.10303030303030303	0.7769984634438898	-0.2727272727272727	0.4458383415427516	-0.34545454545454546	0.3282265114713672	R_slingshot
Lineage3	4	11	4>15>0>6>11	5	866	669	197	13	1.0842763932623984	1.0769050699516016	0.4256838517026618	0.5387688236192064	33.727907775971154	9	0.7333333333333334	0.024554150071469705	0.39999999999999997	0.286105101908313	-0.15	0.7000942309691418	R_slingshot
Lineage4	4	2	4>15>0>2	4	843	621	222	13	0.8015351168908541	0.9202174312479648	0.3802130570940689	1.4099654928998733	31.377997463288054	9	0.6833333333333333	0.04244227208707231	0.31666666666666665	0.406397014486386	-0.15	0.7000942309691418	R_slingshot
Lineage5	4	10	4>15>0>10	4	781	764	17	13	0.8875109015674201	1.023281281727326	0.42028902640909216	0.9147468660753404	29.451570262543868	10	0.6484848484848483	0.04254012768448949	0.23636363636363633	0.5108853175152003	-0.38181818181818183	0.2762553333854362	R_slingshot
Lineage6	4	7	4>15>0>7	4	726	710	16	13	0.8971796316548812	1.1086476226794792	0.45655816902794494	0.7316268038781167	28.45904633657814	9	0.6	0.08762282904140249	0.0	1.0	-0.38333333333333336	0.3084952723803716	R_slingshot
Lineage7	4	16	4>15>0>16	4	844	611	233	13	1.048395375681432	1.2873567005775364	0.40952862522860556	0.5030351742089831	31.453571861101544	9	0.7166666666666667	0.02981803569584528	0.25	0.5164895523012261	-0.41666666666666663	0.26458604674749636	R_slingshot
Lineage8	4	17	4>15>0>17	4	897	881	16	13	0.869592724469726	1.1539652815475554	0.4556995877075724	0.4313210819853765	32.026375883140794	9	0.5333333333333333	0.13922686754397814	0.5166666666666667	0.15439012098622507	-0.049999999999999996	0.8983528043506303	R_slingshot
Lineage9	4	18	4>15>12>18	4	680	675	5	13	0.8675753124934785	1.0343009388567332	0.41353656933531324	0.3414246608503163	31.585944228158244	7	0.594618725379069	0.15908999370118473	0.42857142857142866	0.3373683110858243	-0.5357142857142858	0.21521745567801298	R_slingshot
Lineage10	4	19	4>15>0>19	4	962	946	16	13	0.9435419177562928	1.255079010230433	0.44748619863970124	0.800988609083539	32.438324133258355	10	0.6969696969696969	0.02509667588225185	0.5272727272727272	0.11730806555020232	-0.17575757575757575	0.6271883447764846	R_slingshot
Lineage11	4	3	4>15>3	3	393	385	8	13	0.34089867167800436	0.8791274428114838	0.5324699640219279	0.11450648079669709	25.90334827084157	5	-0.05129891760425771	0.934712848108234	0.3	0.623837664781073	-0.09999999999999999	0.8728885715695384	R_slingshot
Lineage12	4	13	4>15>13	3	661	657	4	13	0.5041665237357504	1.1474336997891879	0.4933697780386642	0.7345613871996474	30.0693150594471	6	-0.17393131069573453	0.7417339277316278	0.2571428571428572	0.6227871720116619	-0.028571428571428574	0.9571545189504373	R_slingshot
Lineage13	4	14	4>15>14	3	378	374	4	13	0.34876384440237884	0.8580158786779201	0.5016918611390997	0.115403876822225	23.578830008745072	5	0.20519567041703085	0.7405819415910722	0.6	0.28475697986529386	-0.49999999999999994	0.3910022189557703	R_slingshot
