gsm	donor	site	tissue	file	n_cells	n_epithelial	n_genes
GSM3516662	LX653	PRIMARY_TUMOUR	PRIMARY	GSM3516662_MSK_LX653_PRIMARY_TUMOUR_dense.csv.gz	392	145	16145
GSM3516663	LX661	PRIMARY_TUMOUR	PRIMARY	GSM3516663_MSK_LX661_PRIMARY_TUMOUR_dense.csv.gz	4566	117	18471
GSM3516664	LX666	METASTASIS	METASTASIS	GSM3516664_MSK_LX666_METASTASIS_dense.csv.gz	1316	786	17625
GSM3516665	LX675	PRIMARY_TUMOUR	PRIMARY	GSM3516665_MSK_LX675_PRIMARY_TUMOUR_dense.csv.gz	3435	618	19856
GSM3516666	LX675	NORMAL	NORMAL	GSM3516666_MSK_LX675_NORMAL_dense.csv.gz	3061	191	18158
GSM3516667	LX676	PRIMARY_TUMOUR	PRIMARY	GSM3516667_MSK_LX676_PRIMARY_TUMOUR_dense.csv.gz	4014	147	18082
GSM3516668	LX255B	METASTASIS	METASTASIS	GSM3516668_MSK_LX255B_METASTASIS_dense.csv.gz	3886	228	16287
GSM3516669	LX679	PRIMARY_TUMOUR	PRIMARY	GSM3516669_MSK_LX679_PRIMARY_TUMOUR_dense.csv.gz	2017	497	17390
GSM3516670	LX680	PRIMARY_TUMOUR	PRIMARY	GSM3516670_MSK_LX680_PRIMARY_TUMOUR_dense.csv.gz	941	258	18661
GSM3516671	LX681	METASTASIS	METASTASIS	GSM3516671_MSK_LX681_METASTASIS_dense.csv.gz	1630	1207	18444
GSM3516672	LX682	PRIMARY_TUMOUR	PRIMARY	GSM3516672_MSK_LX682_PRIMARY_TUMOUR_dense.csv.gz	4092	421	19451
GSM3516673	LX682	NORMAL	NORMAL	GSM3516673_MSK_LX682_NORMAL_dense.csv.gz	4061	199	18804
GSM3516674	LX684	PRIMARY_TUMOUR	PRIMARY	GSM3516674_MSK_LX684_PRIMARY_TUMOUR_dense.csv.gz	378	173	16173
GSM3516675	LX684	NORMAL	NORMAL	GSM3516675_MSK_LX684_NORMAL_dense.csv.gz	2475	142	17713
GSM3516676	LX685	NORMAL	NORMAL	GSM3516676_MSK_LX685_NORMAL_dense.csv.gz	3124	269	17904
GSM3516677	LX699	METASTASIS	METASTASIS	GSM3516677_MSK_LX699_METASTASIS_dense.csv.gz	2671	46	17400
GSM3516678	LX701	METASTASIS	METASTASIS	GSM3516678_MSK_LX701_METASTASIS_dense.csv.gz	788	90	15684
