cohort	patient_id	n_cells	n_mal	n_tnk	median_ok	tertile_ok	q4q1_ok	median_n_high	median_n_low	tertile_n_high	tertile_n_low	q4q1_n_high	q4q1_n_low
GSE131907	BRONCHO_11	3178	203	809	True	True	True	101.0	102.0	68	68	51	51
GSE131907	BRONCHO_58	2813	460	1546	True	True	True	230.0	230.0	154	154	115	128
GSE131907	EBUS_06	2303	1186	611	True	True	True	593.0	593.0	396	396	297	342
GSE131907	EBUS_10	5144	367	1530	True	True	True	183.0	184.0	123	123	92	92
GSE131907	EBUS_12	3115	257	328	True	True	True	128.0	129.0	86	86	65	65
GSE131907	EBUS_13	3550	376	1150	False	True	True			376	375	376	375
GSE131907	EBUS_15	1105	256	479	True	True	True	121.0	135.0	86	135	64	135
GSE131907	EBUS_19	2112	217	1427	True	True	True	108.0	109.0	73	73	55	55
GSE131907	EBUS_28	5182	4640	232	True	True	True	2320.0	2320.0	1547	1547	1160	1160
GSE131907	EBUS_49	1775	114	1126	True	True	True	56.0	58.0	38	58	29	58
GSE131907	EBUS_51	3275	1285	1143	True	True	True	642.0	643.0	429	429	322	322
GSE131907	NS_02	2313	181	977	True	True	True	90.0	91.0	61	75	46	75
GSE131907	NS_03	2990	2713	145	True	True	True	1356.0	1357.0	905	905	679	679
GSE131907	NS_04	1904	1229	131	True	True	True	614.0	615.0	410	410	308	308
GSE131907	NS_06	1070	83	383	True	True	True	41.0	42.0	28	33	21	33
GSE131907	NS_07	5730	5108	166	True	True	True	2554.0	2554.0	1703	1703	1277	1277
GSE131907	NS_12	3182	2811	22	True	True	True	1405.0	1406.0	937	937	703	703
GSE131907	NS_13	4845	1352	1780	True	True	True	676.0	676.0	451	451	338	373
GSE131907	NS_16	1317	79	385	False	True	True			79	70	79	70
GSE131907	NS_17	2409	1112	410	True	True	True	556.0	556.0	371	371	278	278
GSE131907	NS_19	3300	755	370	True	True	True	377.0	378.0	252	252	189	248
GSE189357	TD1	15216	2186	9915	True	True	True	1093.0	1093.0	729	959	547	959
GSE189357	TD2	18064	1207	11334	True	True	True	430.0	777.0	403	777	302	777
GSE189357	TD3	12658	664	6525	True	True	True	319.0	345.0	222	345	166	345
GSE189357	TD4	11756	491	7096	True	True	True	149.0	342.0	491	342	123	342
GSE189357	TD5	19079	1736	11055	True	True	True	640.0	1096.0	579	1096	434	1096
GSE189357	TD6	8999	1211	3392	True	True	True	605.0	606.0	404	442	303	442
GSE189357	TD7	3507	849	1851	True	True	True	311.0	538.0	283	538	213	538
GSE189357	TD8	15521	1019	7257	True	True	True	462.0	557.0	340	557	255	557
GSE189357	TD9	17573	4889	4345	True	True	True	2444.0	2445.0	1630	1630	1223	1223
