resource	url	role
OncoSG publication	https://doi.org/10.1038/s41588-019-0569-6	Defines GIS031 and controlled EGA raw accessions
OncoSG public study	https://www.cbioportal.org/study/summary?id=luad_oncosg_2020	Open processed RNA z-scores and sample purity
OncoSG EGA study	https://ega-archive.org/studies/EGAS00001002941	Controlled raw study metadata
OncoSG RNA raw	https://ega-archive.org/datasets/EGAD00001004421	Controlled RNA FASTQ accession
GSE76628	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76628	Processed mouse array and study metadata
GSE110390	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110390	Open 21-gene processed durvalumab NSCLC/UC matrices
GSE131933	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131933	Open durvalumab NSCLC single-cell count matrices
GSE248378	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE248378	Open post-treatment bulk RNA FPKM matrix
GSE253564	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253564	Open pretreatment bulk RNA FPKM matrix
NCT02904954 publication	https://doi.org/10.1038/s41467-023-44195-x	Links GSE248378 to the neoadjuvant durvalumab ± SBRT trial
NCT02904954 companion	https://doi.org/10.1016/j.xcrm.2024.101467	Links GSE253564 pretreatment data to the same trial
PACIFIC	https://clinicaltrials.gov/study/NCT02125461	Canonical PACIFIC trial identifier
PACIFIC data statement	https://pmc.ncbi.nlm.nih.gov/articles/PMC8412232/	States underlying data require AstraZeneca data-sharing request
NeoCOAST	https://clinicaltrials.gov/study/NCT03794544	Canonical NeoCOAST trial identifier
NeoCOAST RNA supplement	https://doi.org/10.1158/2159-8290.24473992	Open aggregate differential-expression results, not sample-level matrix
ESTIMATE	https://doi.org/10.1038/ncomms3612	Canonical immune signature and ssGSEA method
GSE190731	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190731	Open xenograft durvalumab NSCLC array with TACSTD2 probes
GPL570 annotation	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL570/annot/GPL570.annot.gz	Maps 202285/202286/202287/227128 probes to TACSTD2
GEO esearch durvalumab expression	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=gds	Complete 44-series census, 2026-08-16
OncoSG public portal	https://src.gisapps.org/OncoSG_public/study/summary?id=GIS031	HTTP 403 from this environment; counts not retrieved
cBioPortal OncoSG gastric	https://www.cbioportal.org/study/summary?id=stad_oncosg_2018	Documented OncoSG study with no RNA
