interaction_name	direction	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	median_prob_q1	median_prob_q4	delta_median	mwu_u	p	r_rb
MDK_NCL	outgoing	MK	Secreted Signaling	MDK	NCL	MDK	NCL	other	6	6	12	0.3634506504132549	0.7959533195387585	0.43250266912550356	34.0	0.008658008658008658	0.8888888888888888
CD99_CD99	incoming	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	other	6	5	11	0.6304578005680883	0.28518230751899726	-0.34527549304909105	5.0	0.08225108225108226	-0.6666666666666667
CD99_CD99	outgoing	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	other	6	5	11	0.6304578005680883	0.28518230751899726	-0.34527549304909105	5.0	0.08225108225108226	-0.6666666666666667
AREG_EGFR	incoming	EGF	Secreted Signaling	AREG	EGFR	AREG	EGFR	other	3	3	6	0.012067341542840677	0.13283085382719834	0.12076351228435767	9.0	0.1	1.0
THBS3_CD47	outgoing	THBS	ECM-Receptor	THBS3	CD47	THBS3	CD47	other	3	3	6	0.0014357264471962473	0.07183039184542526	0.07039466539822901	9.0	0.1	1.0
JAG1_NOTCH1	outgoing	NOTCH	Cell-Cell Contact	JAG1	NOTCH1	JAG1	NOTCH1	other	3	3	6	0.0012173188679381526	0.01649181550245371	0.015274496634515558	9.0	0.1	1.0
MDK_ITGA4_ITGB1	outgoing	MK	Secreted Signaling	MDK	ITGA4_ITGB1	MDK	ITGA4|ITGB1	other	6	4	10	0.2327561858543421	0.5446194397937795	0.31186325393943737	20.0	0.11428571428571428	0.6666666666666667
LAMC1_CD44	outgoing	LAMININ	ECM-Receptor	LAMC1	CD44	LAMC1	CD44	other	4	4	8	0.04855939283381652	0.11955016533408076	0.07099077250026424	14.0	0.11428571428571428	0.75
HLA-E_KLRK1	outgoing	MHC-I	Cell-Cell Contact	HLA-E	KLRK1	HLA-E	KLRK1	inhibitory	6	4	10	0.40565600442463423	0.16790767785084718	-0.23774832657378706	5.0	0.17142857142857143	-0.5833333333333333
MIF_CD74_CD44	outgoing	MIF	Secreted Signaling	MIF	CD74_CD44	MIF	CD44|CD74	other	6	6	12	0.866488654662593	0.790418221005627	-0.07607043365696597	10.0	0.24025974025974026	-0.4444444444444444
MIF_CD74_CXCR4	outgoing	MIF	Secreted Signaling	MIF	CD74_CXCR4	MIF	CD74|CXCR4	other	6	6	12	0.8909483000018468	0.8515829061741058	-0.03936539382774096	10.0	0.24025974025974026	-0.4444444444444444
LGALS9_P4HB	outgoing	GALECTIN	Secreted Signaling	LGALS9	P4HB	LGALS9	P4HB	inhibitory	6	3	9	0.11575907906021837	0.33852776976149157	0.2227686907012732	13.0	0.38095238095238093	0.4444444444444444
NECTIN2_TIGIT	outgoing	NECTIN	Cell-Cell Contact	NECTIN2	TIGIT	NECTIN2	TIGIT	barrier|inhibitory	6	3	9	0.10310405848874264	0.1651867370543013	0.06208267856555867	13.0	0.38095238095238093	0.4444444444444444
SIRPG_CD47	incoming	SIRP	Cell-Cell Contact	SIRPG	CD47	SIRPG	CD47	other	5	3	8	0.17744314986219686	0.08953501776150426	-0.08790813210069261	4.0	0.39285714285714285	-0.4666666666666667
CD99_CD99L2	incoming	CD99	Cell-Cell Contact	CD99	CD99L2	CD99	CD99L2	other	3	3	6	0.027795344647192164	0.059620530217192116	0.031825185569999956	7.0	0.4	0.5555555555555556
LAMA5_CD44	outgoing	LAMININ	ECM-Receptor	LAMA5	CD44	LAMA5	CD44	other	5	4	9	0.08322463670244752	0.1576210389818951	0.07439640227944759	14.0	0.4126984126984127	0.3999999999999999
ITGAV_ITGB1_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	ITGAV_ITGB1	ADGRE5	ITGAV|ITGB1	ADGRE5	other	4	4	8	0.18397222364281945	0.0868258325505912	-0.09714639109222825	5.0	0.4857142857142857	-0.375
HLA-E_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD8A	HLA-E	CD8A	inhibitory	6	3	9	0.4796135879048605	0.26964422425941925	-0.20996936364544128	6.0	0.5476190476190476	-0.33333333333333337
CD46_JAG1	incoming	CD46	Cell-Cell Contact	CD46	JAG1	CD46	JAG1	other	5	5	10	0.008484887074092094	0.04287287193808239	0.03438798486399029	16.0	0.5476190476190477	0.28
CDH1_KLRG1	outgoing	CDH1	Cell-Cell Contact	CDH1	KLRG1	CDH1	KLRG1	barrier|inhibitory	5	3	8	0.025202731444602763	0.034765836311564484	0.00956310486696172	10.0	0.5714285714285714	0.33333333333333326
SEMA4D_PLXNB2	incoming	SEMA4	Cell-Cell Contact	SEMA4D	PLXNB2	SEMA4D	PLXNB2	other	6	4	10	0.06867788212480007	0.15143698960916893	0.08275910748436886	15.0	0.6095238095238095	0.25
PPIA_BSG	incoming	CypA	Secreted Signaling	PPIA	BSG	PPIA	BSG	other	6	6	12	0.8016352356990712	0.8245989157156339	0.022963680016562682	21.0	0.6991341991341992	0.16666666666666674
JAM1_ITGAL_ITGB2	outgoing	JAM	Cell-Cell Contact	F11R	ITGAL_ITGB2	F11R	ITGAL|ITGB2	barrier	6	3	9	0.30999739302130885	0.46603287743451216	0.1560354844132033	11.0	0.7142857142857142	0.22222222222222232
HLA-B_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-B	CD8A	HLA-B	CD8A	other	6	3	9	0.6273964145292006	0.6782525713987028	0.05085615686950218	7.0	0.7142857142857142	-0.2222222222222222
MIF_CD74_CD44	incoming	MIF	Secreted Signaling	MIF	CD74_CD44	MIF	CD44|CD74	other	6	3	9	0.7776829614089544	0.7711234718622316	-0.006559489546722808	7.0	0.7142857142857142	-0.2222222222222222
CD55_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	CD55	ADGRE5	CD55	ADGRE5	other	6	4	10	0.28613130975286094	0.1597630207042019	-0.12636828904865904	10.0	0.7619047619047619	-0.16666666666666663
SEMA4D_PLXNB1	incoming	SEMA4	Cell-Cell Contact	SEMA4D	PLXNB1	SEMA4D	PLXNB1	other	6	4	10	0.007018800509770027	0.03876824400853717	0.03174944349876714	14.0	0.7619047619047619	0.16666666666666674
CD96_NECTIN1	incoming	CD96	Cell-Cell Contact	CD96	NECTIN1	CD96	NECTIN1	other	3	5	8	0.016607945874917134	0.002789795642164166	-0.013818150232752967	6.0	0.7857142857142857	-0.19999999999999996
GZMA_PARD3	incoming	PARs	Secreted Signaling	GZMA	PARD3	GZMA	PARD3	other	6	5	11	0.1284157901579104	0.06307919493732808	-0.06533659522058233	17.0	0.7922077922077921	0.1333333333333333
PPIA_BSG	outgoing	CypA	Secreted Signaling	PPIA	BSG	PPIA	BSG	other	6	6	12	0.7375030072754272	0.6926804289005919	-0.044822578374835276	20.0	0.8181818181818182	0.11111111111111116
LGALS9_P4HB	incoming	GALECTIN	Secreted Signaling	LGALS9	P4HB	LGALS9	P4HB	inhibitory	4	3	7	0.19072240111862027	0.0986829725279942	-0.09203942859062607	5.0	0.8571428571428571	-0.16666666666666663
CD96_PVR	incoming	CD96	Cell-Cell Contact	CD96	PVR	CD96	PVR	other	3	4	7	0.02137925161760921	0.06712620283033817	0.04574695121272896	7.0	0.8571428571428571	0.16666666666666674
APP_SORL1	outgoing	APP	Cell-Cell Contact	APP	SORL1	APP	SORL1	other	4	4	8	0.21528393988052097	0.20248421056343308	-0.012799729317087893	9.0	0.8857142857142857	0.125
LGALS9_CD44	outgoing	GALECTIN	Secreted Signaling	LGALS9	CD44	LGALS9	CD44	inhibitory	6	3	9	0.23447410154576454	0.3291797137267322	0.09470561218096768	10.0	0.9047619047619047	0.11111111111111116
LPAR2_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	LPAR2	ADGRE5	LPAR2	ADGRE5	other	4	5	9	0.018341560058850827	0.013535243352625674	-0.004806316706225153	11.0	0.9047619047619049	0.10000000000000009
CDH1_ITGAE_ITGB7	outgoing	CDH1	Cell-Cell Contact	CDH1	ITGAE_ITGB7	CDH1	ITGAE|ITGB7	barrier|inhibitory	6	4	10	0.06515952512588676	0.059320921495817414	-0.005838603630069342	13.0	0.9142857142857143	0.08333333333333326
APP_CD74	outgoing	APP	Cell-Cell Contact	APP	CD74	APP	CD74	other	6	6	12	0.4283025752566748	0.49665154584052296	0.06834897058384815	19.0	0.9372294372294373	0.05555555555555558
HLA-C_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-C	CD8A	HLA-C	CD8A	other	6	3	9	0.5808993769579622	0.7515330519666132	0.170633675008651	9.0	1.0	0.0
HLA-A_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-A	CD8A	HLA-A	CD8A	other	6	3	9	0.6017454642323947	0.7716956049636149	0.16995014073122017	9.0	1.0	0.0
CD6_ALCAM	incoming	CD6	Cell-Cell Contact	CD6	ALCAM	CD6	ALCAM	other	6	4	10	0.041846888583403505	0.10510805637872843	0.06326116779532492	12.0	1.0	0.0
PVR_TIGIT	outgoing	PVR	Cell-Cell Contact	PVR	TIGIT	PVR	TIGIT	barrier|inhibitory	3	3	6	0.03671428017542916	0.06689199628712848	0.030177716111699324	5.0	1.0	0.11111111111111116
