patient	quartile_cldn4_pct	n_malignant	n_tnk	n_other	mean_CLDN4_mal	pct_CLDN4_mal
P0031	Q2	319	5182	5429	0.9488405585289001	59.24764890282132
P1006	Q3	1282	2998	1810	1.338077425956726	74.18096723868955
P1015	Q1	291	473	431	0.7684376239776611	41.580756013745706
P1016	Q4	5336	763	825	1.4550707340240479	82.64617691154422
P1017	Q3	2186	2370	1710	1.446833848953247	64.31838975297347
P1018	Q3	1180	2546	1303	1.4567127227783203	67.03389830508475
P1025	Q4	980	128	114	1.694045066833496	92.85714285714286
P1027	Q3	1318	2619	663	2.1198792457580566	78.07283763277694
P1030	Q3	603	140	118	1.6170852184295654	61.69154228855721
P1037	Q4	3671	611	701	0.9543756246566772	86.05284663579407
P1056	Q2	2386	1354	1363	0.8104878067970276	49.70662196144174
P1062	Q1	188	1934	935	0.9858523607254028	45.21276595744681
P1063	Q1	131	3144	1022	0.7369170188903809	35.11450381679389
P1072	Q2	406	586	281	0.9359386563301086	58.86699507389162
P1076	Q2	849	2089	4037	0.9238031506538391	59.36395759717315
P1079	Q2	543	501	233	0.9667482972145081	51.38121546961326
P1084	Q4	196	2350	988	2.256213903427124	86.73469387755102
P1089	Q4	1063	272	274	2.1514415740966797	87.77046095954844
P1090	Q1	566	247	163	0.6880064606666565	38.16254416961131
P1115	Q4	3769	271	357	1.622982144355774	88.8829928362961
P1119	Q1	1222	621	543	0.5610693097114563	36.08837970540098
P4001	Q1	27	1801	480	0.7331695556640625	48.148148148148145
