interaction_name	direction	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	median_prob_q1	median_prob_q4	delta_median	mwu_u	p	r_rb	sig_p05	note
MDK_NCL	outgoing	MK	Secreted Signaling	MDK	NCL	MDK	NCL	other	6	6	12	0.3634506504132549	0.7959533195387585	0.4325026691255035	34.0	0.0086580086580086	0.8888888888888888	True	1 pair(s) p<0.05 of 41 detect-gated rows; table is top 15 by p (n=6 vs 6 is thin)
CD99_CD99	incoming	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	other	6	5	11	0.6304578005680883	0.2851823075189972	-0.345275493049091	5.0	0.0822510822510822	-0.6666666666666667	False	1 pair(s) p<0.05 of 41 detect-gated rows; table is top 15 by p (n=6 vs 6 is thin)
CD99_CD99	outgoing	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	other	6	5	11	0.6304578005680883	0.2851823075189972	-0.345275493049091	5.0	0.0822510822510822	-0.6666666666666667	False	1 pair(s) p<0.05 of 41 detect-gated rows; table is top 15 by p (n=6 vs 6 is thin)
AREG_EGFR	incoming	EGF	Secreted Signaling	AREG	EGFR	AREG	EGFR	other	3	3	6	0.0120673415428406	0.1328308538271983	0.1207635122843576	9.0	0.1	1.0	False	1 pair(s) p<0.05 of 41 detect-gated rows; table is top 15 by p (n=6 vs 6 is thin)
THBS3_CD47	outgoing	THBS	ECM-Receptor	THBS3	CD47	THBS3	CD47	other	3	3	6	0.0014357264471962	0.0718303918454252	0.070394665398229	9.0	0.1	1.0	False	1 pair(s) p<0.05 of 41 detect-gated rows; table is top 15 by p (n=6 vs 6 is thin)
JAG1_NOTCH1	outgoing	NOTCH	Cell-Cell Contact	JAG1	NOTCH1	JAG1	NOTCH1	other	3	3	6	0.0012173188679381	0.0164918155024537	0.0152744966345155	9.0	0.1	1.0	False	1 pair(s) p<0.05 of 41 detect-gated rows; table is top 15 by p (n=6 vs 6 is thin)
MDK_ITGA4_ITGB1	outgoing	MK	Secreted Signaling	MDK	ITGA4_ITGB1	MDK	ITGA4|ITGB1	other	6	4	10	0.2327561858543421	0.5446194397937795	0.3118632539394373	20.0	0.1142857142857142	0.6666666666666667	False	1 pair(s) p<0.05 of 41 detect-gated rows; table is top 15 by p (n=6 vs 6 is thin)
LAMC1_CD44	outgoing	LAMININ	ECM-Receptor	LAMC1	CD44	LAMC1	CD44	other	4	4	8	0.0485593928338165	0.1195501653340807	0.0709907725002642	14.0	0.1142857142857142	0.75	False	1 pair(s) p<0.05 of 41 detect-gated rows; table is top 15 by p (n=6 vs 6 is thin)
HLA-E_KLRK1	outgoing	MHC-I	Cell-Cell Contact	HLA-E	KLRK1	HLA-E	KLRK1	inhibitory	6	4	10	0.4056560044246342	0.1679076778508471	-0.237748326573787	5.0	0.1714285714285714	-0.5833333333333333	False	1 pair(s) p<0.05 of 41 detect-gated rows; table is top 15 by p (n=6 vs 6 is thin)
MIF_CD74_CD44	outgoing	MIF	Secreted Signaling	MIF	CD74_CD44	MIF	CD44|CD74	other	6	6	12	0.866488654662593	0.790418221005627	-0.0760704336569659	10.0	0.2402597402597402	-0.4444444444444444	False	1 pair(s) p<0.05 of 41 detect-gated rows; table is top 15 by p (n=6 vs 6 is thin)
MIF_CD74_CXCR4	outgoing	MIF	Secreted Signaling	MIF	CD74_CXCR4	MIF	CD74|CXCR4	other	6	6	12	0.8909483000018468	0.8515829061741058	-0.0393653938277409	10.0	0.2402597402597402	-0.4444444444444444	False	1 pair(s) p<0.05 of 41 detect-gated rows; table is top 15 by p (n=6 vs 6 is thin)
LGALS9_P4HB	outgoing	GALECTIN	Secreted Signaling	LGALS9	P4HB	LGALS9	P4HB	inhibitory	6	3	9	0.1157590790602183	0.3385277697614915	0.2227686907012732	13.0	0.3809523809523809	0.4444444444444444	False	1 pair(s) p<0.05 of 41 detect-gated rows; table is top 15 by p (n=6 vs 6 is thin)
NECTIN2_TIGIT	outgoing	NECTIN	Cell-Cell Contact	NECTIN2	TIGIT	NECTIN2	TIGIT	barrier|inhibitory	6	3	9	0.1031040584887426	0.1651867370543013	0.0620826785655586	13.0	0.3809523809523809	0.4444444444444444	False	1 pair(s) p<0.05 of 41 detect-gated rows; table is top 15 by p (n=6 vs 6 is thin)
SIRPG_CD47	incoming	SIRP	Cell-Cell Contact	SIRPG	CD47	SIRPG	CD47	other	5	3	8	0.1774431498621968	0.0895350177615042	-0.0879081321006926	4.0	0.3928571428571428	-0.4666666666666667	False	1 pair(s) p<0.05 of 41 detect-gated rows; table is top 15 by p (n=6 vs 6 is thin)
CD99_CD99L2	incoming	CD99	Cell-Cell Contact	CD99	CD99L2	CD99	CD99L2	other	3	3	6	0.0277953446471921	0.0596205302171921	0.0318251855699999	7.0	0.4	0.5555555555555556	False	1 pair(s) p<0.05 of 41 detect-gated rows; table is top 15 by p (n=6 vs 6 is thin)
