gene	feature	covariate	n_unadjusted	unadj_rho	unadj_p	n_partial	partial_rho	partial_p
CLDN4	CD8A	none (unadjusted)	442	-0.21902110384004267	3.3489187131883584e-06	442		
CLDN4	CD8A	ESTIMATEScore (ssGSEA impurity axis)	442	-0.21902110384004267	3.3489187131883584e-06	442	-0.051325397585842876	0.28215843259664064
CLDN4	CD8A	ESTIMATE TumorPurity (Yoshihara cosine)	442	-0.21902110384004267	3.3489187131883584e-06	442	-0.05132539758584286	0.28215843259664075
CLDN4	CD8A	ESTIMATE ImmuneScore	442	-0.21902110384004267	3.3489187131883584e-06	442	-0.02071014008996823	0.6644880728958051
CLDN4	GEP18	none (unadjusted)	442	-0.19361041864219208	4.172101806014365e-05	442		
CLDN4	GEP18	ESTIMATEScore (ssGSEA impurity axis)	442	-0.19361041864219208	4.172101806014365e-05	442	0.022508649078005885	0.6373552540113432
CLDN4	GEP18	ESTIMATE TumorPurity (Yoshihara cosine)	442	-0.19361041864219208	4.172101806014365e-05	442	0.022508649078005875	0.6373552540113432
TACSTD2	CD8A	none (unadjusted)	442	-0.22719754525860025	1.3910196837496416e-06	442		
TACSTD2	CD8A	ESTIMATEScore (ssGSEA impurity axis)	442	-0.22719754525860025	1.3910196837496416e-06	442	-0.08514401261914088	0.07406780552782805
TACSTD2	CD8A	ESTIMATE TumorPurity (Yoshihara cosine)	442	-0.22719754525860025	1.3910196837496416e-06	442	-0.08514401261914088	0.07406780552782805
TACSTD2	CD8A	ESTIMATE ImmuneScore	442	-0.22719754525860025	1.3910196837496416e-06	442	-0.07300764629959416	0.1258058079675628
TACSTD2	GEP18	none (unadjusted)	442	-0.2162662749604987	4.4692665160807585e-06	442		
TACSTD2	GEP18	ESTIMATEScore (ssGSEA impurity axis)	442	-0.2162662749604987	4.4692665160807585e-06	442	-0.04638733990112039	0.33110396559620514
TACSTD2	GEP18	ESTIMATE TumorPurity (Yoshihara cosine)	442	-0.2162662749604987	4.4692665160807585e-06	442	-0.04638733990112044	0.33110396559620475
CLDN4	TACSTD2	none (unadjusted)	442	0.5493012658650044	3.3327171882765845e-36	442		
CLDN4	TACSTD2	ESTIMATEScore (ssGSEA impurity axis)	442	0.5493012658650044	3.3327171882765845e-36	442	0.5212495492865847	4.3429398102782987e-32
CLDN4	ESTIMATEScore	none (unadjusted)	442	-0.25248001614259175	7.429124108314322e-08	442		
CLDN4	ImmuneScore	none (unadjusted)	442	-0.2534407060271582	6.603538268374911e-08	442		
CLDN4	TumorPurity	none (unadjusted)	442	0.25248001614259175	7.429124108314322e-08	442		
TACSTD2	ESTIMATEScore	none (unadjusted)	442	-0.23294646790450685	7.351668222337573e-07	442		
TACSTD2	ImmuneScore	none (unadjusted)	442	-0.22763084936220412	1.3265076491917668e-06	442		
TACSTD2	TumorPurity	none (unadjusted)	442	0.23294646790450685	7.351668222337573e-07	442		
CD8A	ESTIMATEScore	none (unadjusted)	442	0.733861525162244	6.612582582884715e-76	442		
CD8A	ImmuneScore	none (unadjusted)	442	0.8188123313225273	4.054496253162805e-108	442		
CD8A	TumorPurity	none (unadjusted)	442	-0.733861525162244	6.612582582884715e-76	442		
