contrast	n	rho	p	n_q1	n_q4	q4_delta	q4_r	q4_p	q4_usable
L vs TIME-L (lung pair)	13	0.3681318681318681	0.21585718064938147	4	3	0.32505040045370315	0.33333333333333326	0.6285714285714286	True
LB vs TIME-B (brain-met pair)	8	0.4047619047619048	0.3198886412288163	2	2	0.14271162260779313	0.5	0.6666666666666666	True
tumor-core CLDN4 vs tumor-core T/NK (same ROI)	34	-0.11871657754010695	0.5036809801357324	9	9	-0.11278424285552457	-0.16049382716049387	0.5962416305866567	True
tumor+mLN CLDN4 vs TIME T/NK	16	0.2058823529411765	0.4442846410521442	4	4	0.2682366462472494	0.5	0.34285714285714286	True
