roi	compartment	patient	rep	is_tumor	is_time	is_mln	is_control
L01	L	01		True	False	False	False
L02	L	02		True	False	False	False
L04	L	04		True	False	False	False
L05	L	05		True	False	False	False
L07	L	07		True	False	False	False
L09	L	09		True	False	False	False
L11	L	11		True	False	False	False
L12	L	12		True	False	False	False
L13	L	13		True	False	False	False
L14	L	14		True	False	False	False
L15	L	15		True	False	False	False
L16	L	16		True	False	False	False
L17	L	17		True	False	False	False
L19	L	19		True	False	False	False
L20	L	20		True	False	False	False
L03	L	03		True	False	False	False
L22	L	22		True	False	False	False
L21	L	21		True	False	False	False
L18	L	18		True	False	False	False
L24	L	24		True	False	False	False
L26	L	26		True	False	False	False
L40	L	40		True	False	False	False
L29	L	29		True	False	False	False
L34	L	34		True	False	False	False
L32	L	32		True	False	False	False
L43	L	43		True	False	False	False
L30	L	30		True	False	False	False
L35	L	35		True	False	False	False
L37	L	37		True	False	False	False
L44	L	44		True	False	False	False
TIME-L05	TIME-L	05		False	True	False	False
TIME-L12a	TIME-L	12	a	False	True	False	False
TIME-L15	TIME-L	15		False	True	False	False
TIME-L19	TIME-L	19		False	True	False	False
TIME-L12b	TIME-L	12	b	False	True	False	False
TIME-L18	TIME-L	18		False	True	False	False
TIME-L24a	TIME-L	24	a	False	True	False	False
TIME-L24b	TIME-L	24	b	False	True	False	False
TIME-L26	TIME-L	26		False	True	False	False
TIME-L29	TIME-L	29		False	True	False	False
TIME-L32	TIME-L	32		False	True	False	False
TIME-L43	TIME-L	43		False	True	False	False
TIME-L30	TIME-L	30		False	True	False	False
TIME-L35	TIME-L	35		False	True	False	False
TIME-L40	TIME-L	40		False	True	False	False
mLN01	mLN	01		False	False	True	False
mLN02	mLN	02		False	False	True	False
mLN03	mLN	03		False	False	True	False
mLN04	mLN	04		False	False	True	False
mLN05	mLN	05		False	False	True	False
mLN06	mLN	06		False	False	True	False
mLN07	mLN	07		False	False	True	False
mLN09	mLN	09		False	False	True	False
mLN10	mLN	10		False	False	True	False
mLN11	mLN	11		False	False	True	False
mLN12	mLN	12		False	False	True	False
mLN14	mLN	14		False	False	True	False
mLN20	mLN	20		False	False	True	False
LB01	LB	01		True	False	False	False
LB02	LB	02		True	False	False	False
LB04	LB	04		True	False	False	False
LB05	LB	05		True	False	False	False
LB06	LB	06		True	False	False	False
LB07	LB	07		True	False	False	False
LB08	LB	08		True	False	False	False
LB09	LB	09		True	False	False	False
LB10	LB	10		True	False	False	False
LB13	LB	13		True	False	False	False
LB14	LB	14		True	False	False	False
LB16	LB	16		True	False	False	False
LB17	LB	17		True	False	False	False
LB19	LB	19		True	False	False	False
LB20	LB	20		True	False	False	False
LB15	LB	15		True	False	False	False
LB03	LB	03		True	False	False	False
LB21	LB	21		True	False	False	False
LB18	LB	18		True	False	False	False
LB24	LB	24		True	False	False	False
LB12	LB	12		True	False	False	False
LB34	LB	34		True	False	False	False
LB31	LB	31		True	False	False	False
LB35	LB	35		True	False	False	False
LB37	LB	37		True	False	False	False
LB40	LB	40		True	False	False	False
LB44	LB	44		True	False	False	False
TBME01	TBME	01		False	False	False	False
TBME02	TBME	02		False	False	False	False
TBME03	TBME	03		False	False	False	False
TBME04	TBME	04		False	False	False	False
TBME05	TBME	05		False	False	False	False
TBME06	TBME	06		False	False	False	False
TBME07	TBME	07		False	False	False	False
TBME09	TBME	09		False	False	False	False
TBME10	TBME	10		False	False	False	False
TBME13	TBME	13		False	False	False	False
TBME15a	TBME	15	a	False	False	False	False
TBME16	TBME	16		False	False	False	False
TBME17	TBME	17		False	False	False	False
TBME18	TBME	18		False	False	False	False
TBME20	TBME	20		False	False	False	False
TBME11	TBME	11		False	False	False	False
TBME15b	TBME	15	b	False	False	False	False
TBME22	TBME	22		False	False	False	False
TBME19	TBME	19		False	False	False	False
TBME27	TBME	27		False	False	False	False
TIME-B05	TIME-B	05		False	True	False	False
TIME-B14	TIME-B	14		False	True	False	False
TIME-B20	TIME-B	20		False	True	False	False
TIME-B15	TIME-B	15		False	True	False	False
TIME-B19	TIME-B	19		False	True	False	False
TIME-B12	TIME-B	12		False	True	False	False
TIME-B31	TIME-B	31		False	True	False	False
TIME-B35	TIME-B	35		False	True	False	False
BC03	BC	03		False	False	False	True
BC04	BC	04		False	False	False	True
BC06	BC	06		False	False	False	True
BC07	BC	07		False	False	False	True
BC08	BC	08		False	False	False	True
BC09	BC	09		False	False	False	True
BC10	BC	10		False	False	False	True
