file	patient	n_cells	n_malignant_built	n_genes	libsize
GSM3516662_MSK_LX653_PRIMARY_TUMOUR_dense.csv.gz	LX653	392	145	16143	2016792.0
GSM3516663_MSK_LX661_PRIMARY_TUMOUR_dense.csv.gz	LX661	4566	117	18465	1029399.0
GSM3516664_MSK_LX666_METASTASIS_dense.csv.gz	LX666	1316	786	17620	21807106.0
GSM3516665_MSK_LX675_PRIMARY_TUMOUR_dense.csv.gz	LX675	3435	618	19848	7639844.0
GSM3516667_MSK_LX676_PRIMARY_TUMOUR_dense.csv.gz	LX676	4014	147	18077	1125713.0
GSM3516668_MSK_LX255B_METASTASIS_dense.csv.gz	LX255B	3886	228	16282	875902.0
GSM3516669_MSK_LX679_PRIMARY_TUMOUR_dense.csv.gz	LX679	2017	497	17384	2954316.0
GSM3516670_MSK_LX680_PRIMARY_TUMOUR_dense.csv.gz	LX680	941	258	18655	6147903.0
GSM3516671_MSK_LX681_METASTASIS_dense.csv.gz	LX681	1630	1207	18440	19376320.0
GSM3516672_MSK_LX682_PRIMARY_TUMOUR_dense.csv.gz	LX682	4092	421	19444	4379677.0
GSM3516674_MSK_LX684_PRIMARY_TUMOUR_dense.csv.gz	LX684	378	173	16170	1511890.0
GSM3516677_MSK_LX699_METASTASIS_dense.csv.gz	LX699	2671	46	17396	366899.0
GSM3516678_MSK_LX701_METASTASIS_dense.csv.gz	LX701	788	90	15681	1634709.0
