term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	contrast	accession	anchor	rank_metric	n_genes_ranked	n_q4	n_q1	n_total	headline	fdr	direction
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.3555483715184788	1.2918841630096434	0.015984015984015984	198	0.8801560278567373	PLA2G4A,CFB,PTGS2,VAMP8,BATF2,LGALS3BP,LY6E,NFKBIA,ICAM1,UPP1,METTL7B,USP18,TNFSF10,CASP7,SRI,SECTM1,IFITM3,PLSCR1,STAT3,ST3GAL5,NAMPT,IRF7,IRF9,RIPK1,ZNFX1	119	GSE166449_CLDN4_Q4_vs_Q1	GSE166449	CLDN4	welch_t_Q4_minus_Q1	19669	6	6	22	True	0.023976023976023976	UP_in_CLDN4_Q4
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.376147858116892	1.087026988029259	0.34465534465534464	21	0.7647542592690441	CALR,CANX,PDIA3,TAPBP,HLA-G,ERAP1,HLA-E,TAPBPL,B2M,HLA-C,HLA-B,HLA-A	12	GSE166449_CLDN4_Q4_vs_Q1	GSE166449	CLDN4	welch_t_Q4_minus_Q1	19669	6	6	22	True	0.34465534465534464	UP_in_CLDN4_Q4
KEGG_TIGHT_JUNCTION	0.4713454704092842	1.7034337559315487	0.000999000999000999	165	1.2623331579002375	CLDN4,MARVELD3,CRB3,CTTN,F11R,ERBB2,CCND1,CGN,LLGL2,TJP3,SCRIB,MYH14,MARVELD2,CLDN3,OCLN,PARD6B,EZR,SLC9A3R1,CLDN7,TJP1,CLDN10,NEDD4L,RAC1,ARPC1A,AMOTL2	76	GSE166449_CLDN4_Q4_vs_Q1	GSE166449	CLDN4	welch_t_Q4_minus_Q1	19669	6	6	22	True	0.002997002997002997	UP_in_CLDN4_Q4
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.4386010989704374	1.5268804988565194	0.003996003996003996	95	1.0471968945925467	BATF2,LGALS3BP,LY6E,USP18,IFITM3,PLSCR1,NCOA7,IRF7,IRF9,OAS1,IFI35,PSME2,TRIM5,RNF31,TRIM21,IFI27,MOV10,ISG20,CCRL2,IL4R,TXNIP,PARP9,IL7,TRAFD1,GMPR	63	GSE166449_CLDN4_Q4_vs_Q1	GSE166449	CLDN4	welch_t_Q4_minus_Q1	19669	6	6	22	False		UP_in_CLDN4_Q4
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.35557358911462605	1.2920727171038606	0.01098901098901099	198	0.8801560278567373	PLA2G4A,CFB,PTGS2,VAMP8,BATF2,LGALS3BP,LY6E,NFKBIA,ICAM1,UPP1,METTL7B,USP18,TNFSF10,CASP7,SRI,SECTM1,IFITM3,PLSCR1,STAT3,ST3GAL5,NAMPT,IRF7,IRF9,RIPK1,ZNFX1	119	GSE166449_CLDN4_Q4_vs_Q1	GSE166449	CLDN4	welch_t_Q4_minus_Q1_drop_CLDN4	19668	6	6	22	True	0.016483516483516484	UP_in_CLDN4_Q4
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.3761759781115662	1.0682192103769264	0.35764235764235763	21	0.7647542592690441	CALR,CANX,PDIA3,TAPBP,HLA-G,ERAP1,HLA-E,TAPBPL,B2M,HLA-C,HLA-B,HLA-A	12	GSE166449_CLDN4_Q4_vs_Q1	GSE166449	CLDN4	welch_t_Q4_minus_Q1_drop_CLDN4	19668	6	6	22	True	0.3576423576423576	UP_in_CLDN4_Q4
KEGG_TIGHT_JUNCTION	0.46462513378815323	1.685808823691996	0.000999000999000999	164	1.2243662995538922	MARVELD3,CRB3,CTTN,F11R,ERBB2,CCND1,CGN,LLGL2,TJP3,SCRIB,MYH14,MARVELD2,CLDN3,OCLN,PARD6B,EZR,SLC9A3R1,CLDN7,TJP1,CLDN10,NEDD4L,RAC1,ARPC1A,AMOTL2,MICALL2	86	GSE166449_CLDN4_Q4_vs_Q1	GSE166449	CLDN4	welch_t_Q4_minus_Q1_drop_CLDN4	19668	6	6	22	True	0.002997002997002997	UP_in_CLDN4_Q4
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.4386308205809436	1.5318256893712894	0.000999000999000999	95	1.0471968945925467	BATF2,LGALS3BP,LY6E,USP18,IFITM3,PLSCR1,NCOA7,IRF7,IRF9,OAS1,IFI35,PSME2,TRIM5,RNF31,TRIM21,IFI27,MOV10,ISG20,CCRL2,IL4R,TXNIP,PARP9,IL7,TRAFD1,GMPR	63	GSE166449_CLDN4_Q4_vs_Q1	GSE166449	CLDN4	welch_t_Q4_minus_Q1_drop_CLDN4	19668	6	6	22	False		UP_in_CLDN4_Q4
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.19478237228541512	0.7468712621604073	0.949050949050949	198	0.07361115856786953	CFB,PLA2G4A,PTGS2,BATF2,LGALS3BP,LY6E,VAMP8,NFKBIA,IFI27,TNFSF10,USP18,ICAM1,STAT3,CASP7,METTL7B,RIPK1,IFITM3,LATS2,IL7,UPP1,IRF7,NAMPT,SRI,OGFR,IRF9	43	GSE166449_CLDN4_Q4_vs_Q1	GSE166449	CLDN4	spearman_vs_CLDN4	19786	6	6	22	True	0.949050949050949	UP_in_CLDN4_Q4
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.28348948982748534	0.8137271906473639	0.6173826173826173	21	0.030704933521558283	PDIA3,CANX,CALR	3	GSE166449_CLDN4_Q4_vs_Q1	GSE166449	CLDN4	spearman_vs_CLDN4	19786	6	6	22	True	0.926073926073926	UP_in_CLDN4_Q4
KEGG_TIGHT_JUNCTION	0.45831669144192033	1.7421563497598291	0.000999000999000999	165	0.1867279055728212	CLDN4,MARVELD3,CTTN,LLGL2,CLDN3,F11R,TJP3,SCRIB,CRB3,MYH14,MARVELD2,ERBB2,CGN,CLDN7,PARD6B,NEDD4L,CCND1,CLDN10,SLC9A3R1,MICALL2,TJP2,CLDN9,OCLN,PRKAB1,DLG3	62	GSE166449_CLDN4_Q4_vs_Q1	GSE166449	CLDN4	spearman_vs_CLDN4	19786	6	6	22	True	0.002997002997002997	UP_in_CLDN4_Q4
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.2621103746903667	0.9669047364557046	0.5404595404595405	95	0.10171271398034765	BATF2,LGALS3BP,LY6E,NCOA7,IFI27,USP18,MVB12A,IFITM3,GMPR,CCRL2,IL7,IRF7,OGFR,IRF9,PLSCR1,TRIM5,MOV10,CD47,ISG20,RNF31,TRIM21,PNPT1,TRAFD1,OAS1	24	GSE166449_CLDN4_Q4_vs_Q1	GSE166449	CLDN4	spearman_vs_CLDN4	19786	6	6	22	False		UP_in_CLDN4_Q4
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.6584650717167306	2.368493256966368	0.000999000999000999	198	2.944137068102723	CD274,STAT1,CD40,FCGR1A,HLA-DQA1,CASP4,FAS,GPR18,IL18BP,IL15RA,SLAMF7,PSMB10,SP110,IL2RB,NMI,PARP12,OASL,TAP1,NLRC5,IRF1,GZMA,PML,SAMD9L,IFIH1,IL10RA	148	GSE166449_CD274_Q4_vs_Q1	GSE166449	CD274	welch_t_Q4_minus_Q1	19061	6	6	22	True	0.0014985014985014985	UP_in_CD274_Q4
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.766595246431478	2.208326385253163	0.000999000999000999	21	3.2957245032190476	PSMB10,TAP1,NLRC5,IRF1,PSMB9,HLA-F,PSMB8,TAP2,HLA-C,HLA-B,HLA-A,HLA-E,B2M,TAPBP,TAPBPL	15	GSE166449_CD274_Q4_vs_Q1	GSE166449	CD274	welch_t_Q4_minus_Q1	19061	6	6	22	True	0.0014985014985014985	UP_in_CD274_Q4
