Supplementary Table 1. Characteristics of patients from OAK and POPLAR studies.
,,N (%),N (%)
Arm,,Atezolizumab (n=405),Docetaxel (n=401)
Gender,Male,266 (65.7),242 (60.3)
,Female,139 (34.3),159 (39.7)
Histology,Non-squamous,296 (73.1),281 (70.1)
,Squamous,109 (26.9),120 (29.9)
PD-L1 Status,<1%,77 (19.0%),78 (19.5)
,1-50%,49 (12.1%),46 (11.5)
,≥50%,35 (8.6%),37 (9.2)
,NA,244 (60.3),240 (59.8)
TMB Status,Low,144 (35.6),149 (37.2)
,High,45 (11.1),47 (11.7)
,NA,216 (53.3),205 (51.1)
Response (RECIST),CR,5 (1.2),0 (0.0)
,PR,56 (13.8),58 (14.5)
,SD,151 (37.3),193 (48.1)
,PD,193 (47.7),150 (37.4)
Benefit,DCB,83 (20.5),79 (19.7)
,NDB,322 (79.5),322 (80.3)
