Supplementary Table 2. Multivariate analysis of progression-free and overall survival of patients from OAK and POPLAR studies.
,,PFS,OS
Subgroup,No,HR,CI,p-value,HR,CI,p-value
Presence of TLS,405,0.62,(0.49-0.79),<0.001,0.61,(0.46-0.81),<0.001
PD-L1 High (≥50%),,0.82,(0.65-1.04),0.096,0.90,(0.69-1.17),0.4
TACSTD2 High,,1.31,(1.06-1.61),0.013,1.26,(1.19-1.60),0.04
Non-squamous,,0.77,(0.64-0.92),0.02,0.73,(0.60-0.88),0.04
Abbreviations: CI: confidence interval; HR: hazard ratio; OS: overall survival; PFS: progression-free survival.
