Supplementary Table 4. Characteristics of patients from the BIP study analyzed by plasma proteomics.
,,N (%)
Age,<65,42 (56.8)
,>65,32 (43.2)
Gender,Male,45 (60.8)
,Female,29 (39.2)
PS,0-1,60 (81.1)
,≥2,14 (18.9)
Response (RECIST),PR,12 (16.2)
,SD,23 (31.1)
,PD,39 (52.7)
Benefit,DCB,19 (25.7)
,NDB,55 (74.3)
