rank,gene,spearman_rho_vs_TACSTD2
1,KDM5B,0.7616
2,FZD6,0.7441
3,CNN3,0.7434
4,LAMC2,0.74
5,RNF24,0.7338
6,NEK10,0.7304
7,DNAH11,0.724
8,MYADM,0.7091
9,CTGF,0.7066
10,STK38L,0.7066
11,B4GALNT3,0.7027
12,SMURF2,0.6909
13,C9orf50,0.6843
14,TNFRSF11B,0.6842
15,DACT1,0.6775
16,RUNX1,0.6721
17,AFAP1,0.6718
18,CTHRC1,0.6705
19,KIF5A,0.6637
20,COL16A1,0.6633
21,QSOX1,0.6618
22,C8orf4,0.6595
23,CLCN4,0.6587
24,EPHB3,0.6561
25,KRT6C,0.6531
