gene,n_tumor,n_normal,median_tumor,median_normal,median_delta_unpaired,mannwhitney_U,mannwhitney_p,n_paired,median_paired_delta,wilcoxon_W,wilcoxon_p
TACSTD2,36,9,10.1454,8.2786,1.8667,227.0,0.0672198074421221,9,3.5793,4.0,0.02734375
CLDN4,36,9,12.4978,7.5779,4.92,302.0,7.547156634080646e-05,9,4.1176,0.0,0.00390625
