subset,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_rho_ci95_lo,spearman_rho_ci95_hi
all_primary_tumors,36,0.4181,0.011173222124463107,0.4124,0.012449741967365016,0.0926,0.6828
intrahepatic_only,32,0.507,0.0030635773386032874,0.5253,0.00202095289782909,0.2485,0.735
