abundance_rank,gene,median_log2_normcount1,mean_log2_normcount1
1,ATP1A1,15.6098,15.56776388888889
2,HLA-A,14.9718,14.918919444444448
3,HLA-B,14.932,14.950802777777776
4,CD74,14.827200000000001,14.684927777777773
5,AQP1,14.68975,14.008391666666666
6,ITGB1,14.62355,14.442666666666664
7,TM4SF4,14.549,13.55391944444445
8,APP,14.47875,14.442069444444448
9,HLA-C,14.4612,14.419422222222225
10,PTPRF,14.08675,14.02311388888889
11,CD59,13.977450000000001,13.767127777777779
12,CD63,13.92825,13.881150000000003
13,PLXNB2,13.905249999999999,13.90748888888889
14,CLDN1,13.8168,13.482705555555556
15,CDH1,13.774999999999999,13.510933333333336
16,ANPEP,13.705449999999999,13.217263888888889
17,ATP1B1,13.667950000000001,13.77491111111111
18,TM4SF1,13.656600000000001,13.246941666666665
19,APLP2,13.43645,13.483152777777777
20,BSG,13.382,13.441299999999996
21,CD151,13.367750000000001,13.222900000000003
22,CD24,13.36145,13.41079722222222
23,ABCC3,13.331499999999998,13.111066666666666
24,SDC1,13.258600000000001,13.172716666666666
25,SPINT2,13.2104,13.073302777777776
26,LAMP2,13.18205,13.00168333333333
27,ITM2B,13.1212,13.130722222222225
28,ERBB3,13.11645,12.686700000000002
29,TGOLN2,13.0786,13.086141666666666
30,EPCAM,13.0546,12.634577777777778
31,HLA-DRA,12.978850000000001,12.652880555555555
32,RPN1,12.92925,12.854099999999995
33,MMP14,12.91495,12.873880555555559
34,PMEPA1,12.8939,12.52371111111111
35,SCARB2,12.8911,12.849630555555555
36,HLA-E,12.850950000000001,12.970027777777778
37,PTTG1IP,12.85,12.774433333333334
38,F11R,12.77795,12.854880555555555
39,DDR1,12.7771,12.60998611111111
40,ITGB4,12.725999999999999,12.518452777777776
41,TMEM123,12.70875,12.60538888888889
42,LAMP1,12.6882,12.697813888888888
43,ITGB5,12.67925,12.645608333333334
44,FURIN,12.664950000000001,12.505113888888891
45,QSOX1,12.6516,12.646244444444442
