quantity,n,rho,p
spearman_unadjusted_purity_subset,36,0.4124,0.012449741967365016
spearman_partial_given_ABSOLUTE_purity,36,0.4036,0.014649583991029893
spearman_TACSTD2_vs_purity,36,-0.13,0.449675586522945
spearman_CLDN4_vs_purity,36,-0.1137,0.5091049773988846
