sample	CLDN4_log2_MAS5	quartile	site
GSM1672281	9.339110654897242	Q2Q3	MI
GSM1672282	9.676662334857966	Q2Q3	MI
GSM1672283	10.064621524778683	Q2Q3	MI
GSM1672284	9.550306215233626	Q2Q3	MI
GSM1672285	10.079978042530575	Q2Q3	MI
GSM1672286	10.30303866512786	Q4	MI
GSM1672287	10.180829136522894	Q2Q3	MI
GSM1672288	9.430291546278617	Q2Q3	MI
GSM1672289	10.308759944413678	Q4	MI
GSM1672290	10.518328586539505	Q4	MI
GSM1672291	9.959302142190905	Q2Q3	MI
GSM1672292	8.683692945802637	Q1	MI
GSM1672293	9.429387909983726	Q2Q3	MI
GSM1672294	8.659949525713248	Q1	MI
GSM1672295	9.050137059608685	Q1	MI
GSM1672296	10.363937611880855	Q4	MI
GSM1672297	9.338616060132281	Q2Q3	MI
GSM1672298	10.09250610071172	Q2Q3	MI
GSM1672299	10.269325415992778	Q4	MI
GSM1672300	9.835703056246913	Q2Q3	MI
GSM1672301	9.250504502477911	Q2Q3	MI
GSM1672302	9.009657890685741	Q1	MI
GSM1672303	9.963417767599134	Q2Q3	MI
GSM1672304	9.758812833305356	Q2Q3	MI
GSM1672305	8.989706706994214	Q1	MI
GSM1672306	8.845618633250416	Q1	MI
GSM1672307	8.598246087539579	Q1	MI
GSM1672308	10.319762427669248	Q4	MI
GSM1672309	8.063869609458616	Q1	MI
GSM1672310	7.884390341604806	Q1	MI
GSM1672311	8.732994978016688	Q1	MI
GSM1672312	9.132427753737524	Q2Q3	MI
GSM1672313	10.322930870202262	Q4	MI
GSM1672314	8.985372344448638	Q1	MI
GSM1672315	9.80241134990208	Q2Q3	MI
GSM1672316	8.676789252592537	Q1	MI
GSM1672317	11.14968361920577	Q4	MI
GSM1672318	8.873324139282744	Q1	MI
GSM1672319	9.694664329419687	Q2Q3	MI
GSM1672320	10.985913074058205	Q4	MI
GSM1672321	9.762553125386756	Q2Q3	MI
GSM1672322	10.097386938213923	Q2Q3	MI
GSM1672323	8.561959964209466	Q1	MI
GSM1672324	10.824823531239701	Q4	MI
GSM1672325	11.356710553709135	Q4	MI
GSM1672326	9.888227256192733	Q2Q3	MI
GSM1672327	10.492684410164278	Q4	MI
GSM1672328	9.823719112809675	Q2Q3	MI
GSM1672329	10.90876037856418	Q4	MI
GSM1672330	9.62719277718147	Q2Q3	MI
GSM1672331	11.006431278508517	Q4	MI
GSM1672332	9.973998643605771	Q2Q3	MI
GSM1672333	10.810025299332702	Q4	MI
GSM1672334	8.88545844629373	Q1	MI
GSM1672335	8.953637739672965	Q1	MI
GSM1672336	10.198985183575033	Q4	MI
GSM1672337	8.125165465776972	Q1	MI
GSM1672338	10.231881164730089	Q4	MI
GSM1672339	9.112890359979932	Q1	MI
GSM1672340	9.315665850507434	Q2Q3	MI
GSM1672341	9.019081942714132	Q1	MI
GSM1672342	10.09736059964631	Q2Q3	MI
GSM1672343	10.268530304305887	Q4	MI
GSM1672344	10.227351204439099	Q4	MI
GSM1672345	8.345564921267782	Q1	MI
GSM1672346	9.719072180523488	Q2Q3	MI
GSM1672347	9.11279134071596	Q1	MI
GSM1672348	10.38822183208117	Q4	MI
GSM1672349	9.292268710003704	Q2Q3	MI
GSM1672350	9.85872702377863	Q2Q3	MI
GSM1672351	10.013825121204228	Q2Q3	MI
GSM1672352	9.504062193424335	Q2Q3	MI
GSM1672353	10.440900304577902	Q4	MI
GSM1672354	9.38610390784707	Q2Q3	MI
GSM1672355	9.43171488012509	Q2Q3	MI
GSM1672356	9.173832014730069	Q2Q3	MI
GSM1672357	9.988315445911939	Q2Q3	MI
GSM1672358	9.110083919683234	Q1	MI
GSM1672359	10.617531746900195	Q4	MI
GSM1672360	10.721193200131312	Q4	MI
GSM1672361	10.007840218681956	Q2Q3	MI
GSM1672362	10.131844102306921	Q2Q3	MI
GSM1672363	9.15389398210281	Q2Q3	MI
GSM1672364	10.09189813819076	Q2Q3	MI
GSM1672365	8.905013871920488	Q1	MI
GSM1672366	9.125684676824239	Q2Q3	MI
GSM1672367	9.057309461742351	Q1	MI
GSM1672368	9.410368667126397	Q2Q3	MI
GSM1672369	9.963845442998384	Q2Q3	MI
GSM1672370	9.74586084560704	Q2Q3	MI
GSM1672371	10.604849706264881	Q4	MI
GSM1672372	10.892861525218168	Q4	MI
GSM1672373	8.657886482660755	Q1	MI
GSM1672374	10.017671418363697	Q2Q3	MI
GSM1672375	9.572836627186696	Q2Q3	MI
GSM1672376	6.753470828364081	Q1	MI
GSM1672377	10.214355552033728	Q4	MI
GSM1672378	8.853512298298092	Q1	MI
GSM1672379	10.20184211563275	Q4	MI
GSM1672380	8.676870333077938	Q1	MI
GSM1672381	9.782829529832611	Q2Q3	MI
GSM1672382	10.138515002438595	Q2Q3	MI
GSM1672383	8.712974011884572	Q1	MI
GSM1672384	9.978495969172485	Q2Q3	MI
GSM1672385	10.0024212439287	Q2Q3	MI
GSM1672386	10.081070609801923	Q2Q3	MI
GSM1672387	10.38382307235556	Q4	MI
GSM1672388	10.031839022289594	Q2Q3	MI
GSM1672389	8.20060439763326	Q1	MI
GSM1672390	10.657291650043689	Q4	MI
GSM1672391	8.65624250368087	Q1	MI
GSM1672392	10.588171180559169	Q4	MI
GSM1672393	8.49596292525142	Q1	MI
GSM1672394	9.952040838733884	Q2Q3	MI
GSM1672395	10.30322136714289	Q4	MI
GSM1672396	9.598059946310338	Q2Q3	MI
GSM1672397	9.64627788378955	Q2Q3	MI
GSM1672398	10.751594268019605	Q4	MI
GSM1672399	10.40436458189228	Q4	MI
GSM1672400	10.78472480672911	Q4	MI
GSM1672401	8.64174470387673	Q1	MI
GSM1672402	9.05329057583818	Q1	MI
GSM1672403	8.98162150681032	Q1	MI
GSM1672404	7.421475790846857	Q1	MI
GSM1672405	9.262569399883015	Q2Q3	MI
GSM1672406	9.805431119999678	Q2Q3	MI
GSM1672407	10.832977016176493	Q4	MI
GSM1672408	8.633936094328472	Q1	MI
GSM1672409	10.012401064436252	Q2Q3	MI
GSM1672410	8.7604305479086	Q1	MI
GSM1672411	6.430164820311616	Q1	MI
GSM1672412	9.333012192072236	Q2Q3	MI
GSM1672413	10.63531000933312	Q4	MI
GSM1672414	9.209977222254983	Q2Q3	MI
GSM1672415	8.494315597569754	Q1	MI
GSM1672416	9.832529295312783	Q2Q3	MI
GSM1672417	10.286580863024934	Q4	MI
GSM1672418	10.004037835133586	Q2Q3	MI
GSM1672419	8.472284675095704	Q1	MI
GSM1672420	9.819447854266256	Q2Q3	MI
GSM1672421	8.878615001983997	Q1	MI
GSM1672422	9.556686140820627	Q2Q3	MSKCC
GSM1672423	8.026943879134501	Q1	MSKCC
GSM1672424	8.071816288926907	Q1	MSKCC
GSM1672425	9.524737587012376	Q2Q3	MSKCC
GSM1672426	8.830337731102668	Q1	MSKCC
GSM1672427	9.478510780609026	Q2Q3	MSKCC
GSM1672428	11.31419802102742	Q4	MSKCC
GSM1672429	8.335077662441645	Q1	MSKCC
GSM1672430	9.631589974884546	Q2Q3	MSKCC
GSM1672431	10.165999844207459	Q2Q3	MSKCC
GSM1672432	10.114653328193087	Q2Q3	MSKCC
GSM1672433	9.818384052930389	Q2Q3	MSKCC
GSM1672434	6.103212261675549	Q1	MSKCC
GSM1672435	10.267968785045099	Q4	MSKCC
GSM1672436	9.954498779250628	Q2Q3	MSKCC
GSM1672437	9.636222204753063	Q2Q3	MSKCC
GSM1672438	10.061128135118254	Q2Q3	MSKCC
GSM1672439	9.886368762623446	Q2Q3	MSKCC
GSM1672440	8.18677785044965	Q1	MSKCC
GSM1672441	10.254107406624156	Q4	MSKCC
GSM1672442	8.689292170717405	Q1	MSKCC
GSM1672443	8.613767368144478	Q1	MSKCC
GSM1672444	9.629841080245368	Q2Q3	MSKCC
GSM1672445	8.320426008670582	Q1	MSKCC
GSM1672446	10.016265085952064	Q2Q3	MSKCC
GSM1672447	9.98061087625644	Q2Q3	MSKCC
GSM1672448	9.090744949082692	Q1	MSKCC
GSM1672449	7.738308478739408	Q1	MSKCC
GSM1672450	10.269243586490424	Q4	MSKCC
GSM1672451	10.479487249988251	Q4	MSKCC
GSM1672452	11.381975478557301	Q4	MSKCC
GSM1672453	11.343380060811482	Q4	MSKCC
GSM1672454	10.765335831680002	Q4	MSKCC
GSM1672455	8.661090427380984	Q1	MSKCC
GSM1672456	9.24979137193614	Q2Q3	MSKCC
GSM1672457	10.920412408160788	Q4	MSKCC
GSM1672458	9.572810105838455	Q2Q3	MSKCC
GSM1672459	10.088682251717088	Q2Q3	MSKCC
GSM1672460	10.1646052864249	Q2Q3	MSKCC
GSM1672461	10.652154823368265	Q4	MSKCC
GSM1672462	9.685538993751551	Q2Q3	MSKCC
GSM1672463	10.40896655165431	Q4	MSKCC
GSM1672464	9.972462907202141	Q2Q3	MSKCC
GSM1672465	9.663325048340667	Q2Q3	MSKCC
GSM1672466	9.235650481635812	Q2Q3	MSKCC
GSM1672467	8.445846691236552	Q1	MSKCC
GSM1672468	10.617274603289392	Q4	MSKCC
GSM1672469	9.679385089630443	Q2Q3	MSKCC
GSM1672470	9.680392931055952	Q2Q3	MSKCC
GSM1672471	9.553514104085101	Q2Q3	MSKCC
GSM1672472	9.05508445812464	Q1	MSKCC
GSM1672473	9.844599068500587	Q2Q3	MSKCC
GSM1672474	9.676893246302322	Q2Q3	MSKCC
GSM1672475	10.1494931015375	Q2Q3	MSKCC
GSM1672476	10.037299848969367	Q2Q3	MSKCC
GSM1672477	8.933118183845275	Q1	MSKCC
GSM1672478	8.443842827045785	Q1	MSKCC
GSM1672479	9.631784569822415	Q2Q3	MSKCC
GSM1672480	9.170175447591868	Q2Q3	MSKCC
GSM1672481	9.735655866799606	Q2Q3	MSKCC
GSM1672482	9.751287966359481	Q2Q3	MSKCC
GSM1672483	10.07637470620436	Q2Q3	MSKCC
GSM1672484	9.397000718807984	Q2Q3	MSKCC
GSM1672485	10.135144921672167	Q2Q3	MSKCC
GSM1672486	9.40389825226084	Q2Q3	MSKCC
GSM1672487	10.279146244054306	Q4	MSKCC
GSM1672488	10.666419308296026	Q4	MSKCC
GSM1672489	9.960681113512484	Q2Q3	MSKCC
GSM1672490	9.295674817592994	Q2Q3	MSKCC
GSM1672491	10.082282125163836	Q2Q3	MSKCC
GSM1672492	10.429636884801802	Q4	MSKCC
GSM1672493	10.083053769262051	Q2Q3	MSKCC
GSM1672494	9.384077876199315	Q2Q3	MSKCC
GSM1672495	10.306824999058056	Q4	MSKCC
GSM1672496	10.139397866038642	Q2Q3	MSKCC
GSM1672497	9.599455420478492	Q2Q3	MSKCC
GSM1672498	7.661436085077708	Q1	MSKCC
GSM1672499	8.958143773053996	Q1	MSKCC
GSM1672500	9.77432585048683	Q2Q3	MSKCC
GSM1672501	10.251458740285903	Q4	MSKCC
GSM1672502	9.308791792388066	Q2Q3	MSKCC
GSM1672503	11.699780644404214	Q4	MSKCC
GSM1672504	10.810876849733761	Q4	MSKCC
GSM1672505	8.752263553508055	Q1	MSKCC
GSM1672506	9.205377849790702	Q2Q3	MSKCC
GSM1672507	9.88875998893347	Q2Q3	MSKCC
GSM1672508	9.327141670075966	Q2Q3	MSKCC
GSM1672509	9.61561124685674	Q2Q3	MSKCC
GSM1672510	7.512005597297956	Q1	MSKCC
GSM1672511	10.039289215226406	Q2Q3	MSKCC
GSM1672512	9.855348163163674	Q2Q3	MSKCC
GSM1672513	9.693157609084667	Q2Q3	MSKCC
GSM1672514	10.158761144310454	Q2Q3	MSKCC
GSM1672515	9.659341270412387	Q2Q3	MSKCC
GSM1672516	9.461878435418672	Q2Q3	MSKCC
GSM1672517	9.74973704860791	Q2Q3	MSKCC
GSM1672518	9.793029368257727	Q2Q3	MSKCC
GSM1672519	9.361112559524427	Q2Q3	MSKCC
GSM1672520	10.269395551872272	Q4	MSKCC
GSM1672521	9.761346780757723	Q2Q3	MSKCC
GSM1672522	8.179734961139943	Q1	MSKCC
GSM1672523	9.629595227935635	Q2Q3	MSKCC
GSM1672524	7.97972242134243	Q1	MSKCC
GSM1672525	8.86352966194803	Q1	MSKCC
GSM1672526	10.22240852275375	Q4	DFCI
GSM1672527	10.339271027603063	Q4	DFCI
GSM1672528	8.441329926111022	Q1	DFCI
GSM1672529	10.24153037500628	Q4	DFCI
GSM1672530	10.16053956344384	Q2Q3	DFCI
GSM1672531	9.516158983716995	Q2Q3	DFCI
GSM1672532	10.017991480733315	Q2Q3	DFCI
GSM1672533	9.944142483000741	Q2Q3	DFCI
GSM1672534	9.51650767896011	Q2Q3	DFCI
GSM1672535	6.750606504835592	Q1	DFCI
GSM1672536	10.448663537595797	Q4	DFCI
GSM1672537	8.642019191296873	Q1	DFCI
GSM1672538	9.6980378521687	Q2Q3	DFCI
GSM1672539	10.275426158084247	Q4	DFCI
