term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	contrast	accession	anchor	rank_metric	n_genes_ranked	n_q4	n_q1	n_total	headline	fdr	direction
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.4764758511788388	-2.2226326138288326	0.000999000999000999	179	-1.3855533195144327	CFH,TRIM25,CIITA,FPR1,CMKLR1,SAMHD1,PSMB10,IRF2,MT2A,RAPGEF6,UBE2L6,IFIH1,NMI,CD69,IL7,ST8SIA4,APOL6,B2M,MARCH1,SLC25A28,ARID5B,IL15RA,P2RY14,BANK1,IL2RB	73	GSE68465_CLDN4_Q4_vs_Q1	GSE68465	CLDN4	welch_t_Q4_minus_Q1	13101	111	111	443	True	0.000999000999000999	DOWN_in_CLDN4_Q4
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	-0.6071978740011909	-1.8404144172432646	0.000999000999000999	20	-2.1323807928757486	HLA-E,HLA-F,CANX,TAP2,PSMB8,ERAP1,PSMB10,B2M,PSMB9,TAPBPL,ERAP2,PDIA3,IRF1,TAP1	14	GSE68465_CLDN4_Q4_vs_Q1	GSE68465	CLDN4	welch_t_Q4_minus_Q1	13101	111	111	443	True	0.000999000999000999	DOWN_in_CLDN4_Q4
KEGG_TIGHT_JUNCTION	0.3959607051930619	1.7950532359451046	0.000999000999000999	144	0.8071845454191071	CLDN4,CLDN3,ERBB2,OCLN,EZR,CLDN7,F11R,JUN,TJP3,RAC1,ARPC1B,ARPC1A,DLG3,LLGL2,EPB41L4B,PRKCZ,CLDN9,STK11,SCRIB,PARD3,ACTN4,PRKAB1,MYH9,CDK4,CLDN15	59	GSE68465_CLDN4_Q4_vs_Q1	GSE68465	CLDN4	welch_t_Q4_minus_Q1	13101	111	111	443	True	0.000999000999000999	UP_in_CLDN4_Q4
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.4288884344163255	-1.7633086342295492	0.000999000999000999	81	-1.2630963950770575	PARP12,DDX60,CASP8,STAT2,LAMP3,SP110,IL4R,IFIT3,PSMB8,IFI30,RIPK2,OASL,IFITM1,TRIM25,SAMD9,IRF2,UBE2L6,IFIH1,NMI,IL7,B2M,SLC25A28,SELL,PSMB9,TRIM21	40	GSE68465_CLDN4_Q4_vs_Q1	GSE68465	CLDN4	welch_t_Q4_minus_Q1	13101	111	111	443	False		DOWN_in_CLDN4_Q4
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.47646282450913974	-2.2373552383666007	0.000999000999000999	179	-1.3855533195144327	CFH,TRIM25,CIITA,FPR1,CMKLR1,SAMHD1,PSMB10,IRF2,MT2A,RAPGEF6,UBE2L6,IFIH1,NMI,CD69,IL7,ST8SIA4,APOL6,B2M,MARCH1,SLC25A28,ARID5B,IL15RA,P2RY14,BANK1,IL2RB	73	GSE68465_CLDN4_Q4_vs_Q1	GSE68465	CLDN4	welch_t_Q4_minus_Q1_drop_CLDN4	13100	111	111	443	True	0.0014985014985014985	DOWN_in_CLDN4_Q4
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	-0.6071741918720525	-1.8102381369052678	0.001998001998001998	20	-2.1323807928757486	HLA-E,HLA-F,CANX,TAP2,PSMB8,ERAP1,PSMB10,B2M,PSMB9,TAPBPL,ERAP2,PDIA3,IRF1,TAP1	14	GSE68465_CLDN4_Q4_vs_Q1	GSE68465	CLDN4	welch_t_Q4_minus_Q1_drop_CLDN4	13100	111	111	443	True	0.001998001998001998	DOWN_in_CLDN4_Q4
KEGG_TIGHT_JUNCTION	0.3627136658112486	1.6489264385352034	0.000999000999000999	143	0.6140832587350002	CLDN3,ERBB2,OCLN,EZR,CLDN7,F11R,JUN,TJP3,RAC1,ARPC1B,ARPC1A,DLG3,LLGL2,EPB41L4B,PRKCZ,CLDN9,STK11,SCRIB,PARD3,ACTN4,PRKAB1,MYH9,CDK4,CLDN15,MICALL2	58	GSE68465_CLDN4_Q4_vs_Q1	GSE68465	CLDN4	welch_t_Q4_minus_Q1_drop_CLDN4	13100	111	111	443	True	0.0014985014985014985	UP_in_CLDN4_Q4
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.42886730849247345	-1.7624489844653786	0.000999000999000999	81	-1.2630963950770575	PARP12,DDX60,CASP8,STAT2,LAMP3,SP110,IL4R,IFIT3,PSMB8,IFI30,RIPK2,OASL,IFITM1,TRIM25,SAMD9,IRF2,UBE2L6,IFIH1,NMI,IL7,B2M,SLC25A28,SELL,PSMB9,TRIM21	40	GSE68465_CLDN4_Q4_vs_Q1	GSE68465	CLDN4	welch_t_Q4_minus_Q1_drop_CLDN4	13100	111	111	443	False		DOWN_in_CLDN4_Q4
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.46223959497615247	-2.198594237838617	0.000999000999000999	179	-0.05634806867073052	IL2RB,TRIM25,ARID5B,IRF2,CD69,RAPGEF6,P2RY14,NMI,XAF1,B2M,BANK1,IRF8,SLC25A28,PSMB9,MARCH1,CD86,IL15RA,APOL6,IL7,STAT4,PSMB10,TRIM21,LCP2,FGL2,IDO1	64	GSE68465_CLDN4_Q4_vs_Q1	GSE68465	CLDN4	spearman_vs_CLDN4	13101	111	111	443	True	0.000999000999000999	DOWN_in_CLDN4_Q4
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	-0.650606592136494	-1.9943972726315489	0.000999000999000999	20	-0.10635616208949328	ERAP1,TAP2,CANX,PSMB8,B2M,PSMB9,PSMB10,ERAP2,TAP1,TAPBPL,IRF1,PDIA3	12	GSE68465_CLDN4_Q4_vs_Q1	GSE68465	CLDN4	spearman_vs_CLDN4	13101	111	111	443	True	0.000999000999000999	DOWN_in_CLDN4_Q4
