term	query	matrix_symbol	status
HALLMARK_INTERFERON_GAMMA_RESPONSE	ADAR	ADAR	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	APOL6	APOL6	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	ARID5B	ARID5B	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	ARL4A	ARL4A	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	AUTS2	AUTS2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	B2M	B2M	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	BANK1	BANK1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	BATF2		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	BPGM	BPGM	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	BST2	BST2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	BTG1	BTG1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	C1R	C1R	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	C1S	C1S	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CASP1	CASP1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CASP3	CASP3	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CASP4	CASP4	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CASP7	CASP7	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CASP8	CASP8	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CCL2	CCL2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CCL5	CCL5	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CCL7	CCL7	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CD274		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	CD38	CD38	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CD40	CD40	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CD69	CD69	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CD74	CD74	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CD86	CD86	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CDKN1A	CDKN1A	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CFB	CFB	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CFH	CFH	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CIITA	CIITA	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CMKLR1	CMKLR1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CMPK2		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	CMTR1	CMTR1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CSF2RB	CSF2RB	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CXCL10	CXCL10	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CXCL11	CXCL11	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	CXCL9	CXCL9	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	DDX58	DDX58	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	DDX60	DDX60	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	DHX58	DHX58	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	EIF2AK2	EIF2AK2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	EIF4E3		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	EPSTI1		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	FAS	FAS	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	FCGR1A	FCGR1A	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	FGL2	FGL2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	FPR1	FPR1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	GBP4		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	GBP6		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	GCH1	GCH1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	GPR18	GPR18	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	GZMA	GZMA	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	HELZ2		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	HERC6	HERC6	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	HIF1A	HIF1A	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	HLA-A	HLA-A	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	HLA-B	HLA-B	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	HLA-DMA	HLA-DMA	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	HLA-DQA1	HLA-DQA1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	HLA-DRB1	HLA-DRB1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	HLA-G	HLA-G	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	ICAM1	ICAM1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IDO1	IDO1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFI27	IFI27	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFI30	IFI30	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFI35	IFI35	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFI44	IFI44	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFI44L	IFI44L	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFIH1	IFIH1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFIT1	IFIT1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFIT2	IFIT2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFIT3	IFIT3	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFITM2	IFITM2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFITM3	IFITM3	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFNAR2	IFNAR2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IL10RA	IL10RA	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IL15	IL15	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IL15RA	IL15RA	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IL18BP	IL18BP	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IL2RB	IL2RB	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IL4R	IL4R	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IL6	IL6	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IL7	IL7	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IRF1	IRF1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IRF2	IRF2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IRF4	IRF4	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IRF5	IRF5	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IRF7	IRF7	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IRF8	IRF8	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	IRF9	IRF9	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	ISG15	ISG15	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	ISG20	ISG20	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	ISOC1	ISOC1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	ITGB7	ITGB7	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	JAK2	JAK2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	KLRK1		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	LAP3	LAP3	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	LATS2		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	LCP2	LCP2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	LGALS3BP	LGALS3BP	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	LY6E	LY6E	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	LYSMD2		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	MARCHF1	MARCH1	alias
HALLMARK_INTERFERON_GAMMA_RESPONSE	METTL7B		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	MT2A	MT2A	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	MTHFD2	MTHFD2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	MVP	MVP	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	MX1	MX1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	MX2	MX2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	MYD88	MYD88	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	NAMPT	NAMPT	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	NCOA3	NCOA3	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	NFKB1	NFKB1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	NFKBIA	NFKBIA	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	NLRC5		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	NMI	NMI	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	NOD1	NOD1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	NUP93	NUP93	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	OAS2	OAS2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	OAS3	OAS3	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	OASL	OASL	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	OGFR	OGFR	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	P2RY14	P2RY14	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PARP12	PARP12	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PARP14		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	PDE4B	PDE4B	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PELI1	PELI1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PFKP	PFKP	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PIM1	PIM1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PLA2G4A	PLA2G4A	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PLSCR1	PLSCR1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PML	PML	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PNP	PNP	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PNPT1		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	PSMA2	PSMA2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PSMA3	PSMA3	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PSMB10	PSMB10	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PSMB2	PSMB2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PSMB8	PSMB8	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PSMB9	PSMB9	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PSME1	PSME1	direct
