cohort	unit_id	cldn4_pct	frac_tnk	n_malignant	n_tnk
GSE131907	BRONCHO_11	80.78817733990148	0.2545626179987413	203	809
GSE131907	BRONCHO_58	72.17391304347827	0.5495911837895485	460	1546
GSE131907	EBUS_06	71.16357504215851	0.2653061224489796	1186	611
GSE131907	EBUS_10	84.46866485013625	0.2974339035769829	367	1530
GSE131907	EBUS_12	88.32684824902724	0.1052969502407704	257	328
GSE131907	EBUS_13	0.2659574468085106	0.323943661971831	376	1150
GSE131907	EBUS_15	47.265625	0.4334841628959276	256	479
GSE131907	EBUS_19	94.00921658986177	0.6756628787878788	217	1427
GSE131907	EBUS_28	96.33620689655172	0.0447703589347742	4640	232
GSE131907	EBUS_49	49.122807017543856	0.6343661971830986	114	1126
GSE131907	EBUS_51	85.36964980544747	0.3490076335877862	1285	1143
GSE131907	NS_02	58.5635359116022	0.4223951578037181	181	977
GSE131907	NS_03	93.14412089937338	0.0484949832775919	2713	145
GSE131907	NS_04	89.34092758340114	0.0688025210084033	1229	131
GSE131907	NS_06	60.24096385542169	0.3579439252336449	83	383
GSE131907	NS_07	90.407204385278	0.0289703315881326	5108	166
GSE131907	NS_12	86.33938100320171	0.0069138906348208	2811	22
GSE131907	NS_13	72.41124260355029	0.3673890608875129	1352	1780
GSE131907	NS_16	11.39240506329114	0.2923310554290053	79	385
GSE131907	NS_17	88.21942446043165	0.170195101701951	1112	410
GSE131907	NS_19	67.1523178807947	0.1121212121212121	755	370
GSE205335	P0031	59.24764890282132	0.5948973242065961	319	3824
GSE205335	P1006	74.18096723868955	0.4922824302134647	1282	2998
GSE205335	P1015	41.580756013745706	0.3958158995815899	291	473
GSE205335	P1016	82.64617691154422	0.1101964182553437	5336	763
GSE205335	P1017	64.31838975297347	0.3782317267794446	2186	2370
GSE205335	P1018	67.03389830508475	0.5062636707098827	1180	2546
GSE205335	P1025	92.85714285714286	0.1047463175122749	980	128
GSE205335	P1027	78.07283763277694	0.5693478260869566	1318	2619
GSE205335	P1030	61.69154228855721	0.1626016260162601	603	140
GSE205335	P1037	86.05284663579407	0.1226168974513345	3671	611
GSE205335	P1056	49.70662196144174	0.265334117185969	2386	1354
GSE205335	P1062	45.21276595744681	0.6326463853451095	188	1934
GSE205335	P1063	35.11450381679389	0.7316732604142425	131	3144
GSE205335	P1072	58.86699507389162	0.4603299293008641	406	586
GSE205335	P1076	59.36395759717315	0.2994982078853047	849	2089
GSE205335	P1079	51.38121546961326	0.3923257635082224	543	501
GSE205335	P1084	86.73469387755102	0.6649688737973967	196	2350
GSE205335	P1089	87.77046095954844	0.1690490988191423	1063	272
GSE205335	P1090	38.16254416961131	0.2530737704918033	566	247
GSE205335	P1115	88.8829928362961	0.0616329315442347	3769	271
GSE205335	P1119	36.08837970540098	0.2602682313495389	1222	621
GSE205335	P4001	48.14814814814815	0.7803292894280762	27	1801
