cohort	patient	split	eligible	reason	n_malignant	n_tnk	n_high	n_low	mean_CLDN4_high	mean_CLDN4_low
GSE131907	P0001	median	False	floor	0	0	0	0		
GSE131907	P0006	median	True	ok	100	1539	50	50	2.2125802040100098	1.0867080688476562
GSE131907	P0008	median	True	ok	42	2128	21	21	2.118999481201172	0.9423535466194153
GSE131907	P0009	median	False	floor	5	1981	0	0		
GSE131907	P0018	median	True	ok	1002	1090	501	501	2.3651387691497803	1.2844940423965454
GSE131907	P0019	median	True	ok	222	1712	111	111	1.9826669692993164	0.7988109588623047
GSE131907	P0020	median	True	ok	434	2418	217	217	2.4197700023651123	1.2100449800491333
GSE131907	P0025	median	True	ok	223	1599	112	111	2.0718159675598145	0.6855989694595337
GSE131907	P0028	median	True	ok	984	1631	492	492	2.563809394836426	1.489052653312683
GSE131907	P0030	median	True	ok	784	1414	392	392	1.7952656745910645	0.22548511624336243
GSE131907	P0031	median	True	ok	182	3713	91	91	1.8535860776901245	0.5305114388465881
GSE131907	P0034	median	True	ok	2374	366	1187	1187	2.143564462661743	1.06090247631073
GSE131907	P1006	median	True	ok	1186	611	593	593	2.079414129257202	0.503219723701477
GSE131907	P1010	median	True	ok	367	1530	184	183	1.9414663314819336	0.6441468000411987
GSE131907	P1011	median	True	ok	203	809	102	101	2.069228410720825	0.7098372578620911
GSE131907	P1012	median	True	ok	257	328	129	128	1.8891319036483765	0.8096493482589722
GSE131907	P1013	median	False	thin_bins	376	1150	0	0		
GSE131907	P1015	median	True	ok	256	479	121	135	1.7179150581359863	0.0
GSE131907	P1019	median	True	ok	217	1427	109	108	2.176805257797241	1.3141509294509888
GSE131907	P1028	median	True	ok	4640	232	2320	2320	2.809838056564331	1.683599591255188
GSE131907	P1049	median	True	ok	114	1126	56	58	1.5053722858428955	0.0
GSE131907	P1051	median	True	ok	1285	1143	643	642	1.7509868144989014	0.6418312788009644
GSE131907	P1058	median	True	ok	460	1546	230	230	1.547564148902893	0.3486994206905365
GSE131907	P1064	median	False	floor	0	0	0	0		
GSE131907	P2001	median	False	floor	0	0	0	0		
GSE131907	P2002	median	False	floor	0	0	0	0		
GSE131907	P2003	median	False	floor	0	0	0	0		
GSE131907	P2004	median	False	floor	0	0	0	0		
GSE131907	P2005	median	False	floor	0	0	0	0		
GSE131907	P2006	median	False	floor	0	0	0	0		
GSE131907	P2007	median	False	floor	0	0	0	0		
GSE131907	P2008	median	False	floor	0	0	0	0		
GSE131907	P2011	median	False	floor	0	0	0	0		
GSE131907	P2012	median	False	floor	0	0	0	0		
GSE131907	P3002	median	True	ok	181	977	91	90	1.5257154703140259	0.11017844080924988
GSE131907	P3003	median	True	ok	2713	145	1357	1356	2.5488128662109375	1.4483569860458374
GSE131907	P3004	median	True	ok	1229	131	615	614	1.8443325757980347	0.8644530177116394
GSE131907	P3006	median	True	ok	83	383	42	41	2.11234974861145	0.18673010170459747
GSE131907	P3007	median	True	ok	5108	166	2554	2554	2.3375744819641113	1.1719799041748047
GSE131907	P3012	median	True	ok	2811	22	1406	1405	2.3224027156829834	1.0512793064117432
GSE131907	P3013	median	True	ok	1352	1780	676	676	2.02864146232605	0.48940354585647583
GSE131907	P3016	median	False	thin_bins	79	385	0	0		
GSE131907	P3017	median	True	ok	1112	410	556	556	2.7972183227539062	1.4115321636199951
GSE131907	P3019	median	True	ok	755	370	378	377	1.7262089252471924	0.30799388885498047
GSE131907	P0001	q4q1	False	floor	0	0	0	0		
GSE131907	P0006	q4q1	True	ok	100	1539	25	25	2.5178489685058594	0.6510696411132812
GSE131907	P0008	q4q1	True	ok	42	2128	11	11	2.3257555961608887	0.43291327357292175
GSE131907	P0009	q4q1	False	floor	5	1981	0	0		
GSE131907	P0018	q4q1	True	ok	1002	1090	251	251	2.625086784362793	0.8490381836891174
GSE131907	P0019	q4q1	True	ok	222	1712	56	56	2.2428932189941406	0.26623985171318054
GSE131907	P0020	q4q1	True	ok	434	2418	109	109	2.705333948135376	0.6967198252677917
GSE131907	P0025	q4q1	True	ok	223	1599	56	56	2.3835384845733643	0.14367257058620453
GSE131907	P0028	q4q1	True	ok	984	1631	246	246	2.846125841140747	1.1063331365585327
GSE131907	P0030	q4q1	False	thin_bins	784	1414	0	0		
GSE131907	P0031	q4q1	True	ok	182	3713	46	46	2.150590419769287	0.01571359671652317
GSE131907	P0034	q4q1	True	ok	2374	366	594	594	2.416451930999756	0.6637571454048157
GSE131907	P1006	q4q1	False	thin_bins	1186	611	0	0		
GSE131907	P1010	q4q1	True	ok	367	1530	92	92	2.349928379058838	0.22119171917438507
GSE131907	P1011	q4q1	True	ok	203	809	51	51	2.356417417526245	0.1504056751728058
GSE131907	P1012	q4q1	True	ok	257	328	64	65	2.148812770843506	0.3831843435764313
GSE131907	P1013	q4q1	False	thin_bins	376	1150	0	0		
GSE131907	P1015	q4q1	False	thin_bins	256	479	0	0		
GSE131907	P1019	q4q1	True	ok	217	1427	54	55	2.3760228157043457	0.9331855177879333
GSE131907	P1028	q4q1	True	ok	4640	232	1160	1160	3.130361557006836	1.284955382347107
GSE131907	P1049	q4q1	False	thin_bins	114	1126	0	0		
GSE131907	P1051	q4q1	True	ok	1285	1143	321	322	2.0133793354034424	0.2426535040140152
GSE131907	P1058	q4q1	False	thin_bins	460	1546	0	0		
GSE131907	P1064	q4q1	False	floor	0	0	0	0		
GSE131907	P2001	q4q1	False	floor	0	0	0	0		
GSE131907	P2002	q4q1	False	floor	0	0	0	0		
GSE131907	P2003	q4q1	False	floor	0	0	0	0		
GSE131907	P2004	q4q1	False	floor	0	0	0	0		
GSE131907	P2005	q4q1	False	floor	0	0	0	0		
GSE131907	P2006	q4q1	False	floor	0	0	0	0		
