split	direction	interaction_name	pathway_name	ligand	receptor	focus	ligand_class	n_high	n_low	n_compared	median_prob_high	median_prob_low	delta_median	mwu_u	p	r_rb	test
between_median	outgoing	MDK_NCL	MK	MDK	NCL	other	other	22	21	43	0.7067135905042703	0.49227113220416785	0.21444245830010245	393.0	8.713380219895491e-05	0.7012987012987013	mannwhitney_between_unit_PR320_slice
between_median	outgoing	APP_CD74	APP	APP	CD74	other	other	21	20	41	0.6827338779035618	0.45725893928809336	0.2254749386154684	324.0	0.003073296114320176	0.5428571428571429	mannwhitney_between_unit_PR320_slice
between_median	outgoing	LAMB3_CD44	LAMININ	LAMB3	CD44	other	other	18	18	36	0.4124147711283251	0.19010904585237592	0.22230572527594916	237.0	0.01841949206388605	0.462962962962963	mannwhitney_between_unit_PR320_slice
between_median	outgoing	CLEC2C_KLRB1	CLEC	CD69	KLRB1	other	other	4	9	13	0.005142533758265894	0.12292684705709642	-0.11778431329883052	3.0	0.019580419580419582	-0.8333333333333334	mannwhitney_between_unit_PR320_slice
between_median	outgoing	CLEC2D_KLRB1	CLEC	CLEC2D	KLRB1	other	other	14	14	28	0.002724279477235676	0.0166064146510188	-0.013882135173783125	49.0	0.025849690449110427	-0.5	mannwhitney_between_unit_PR320_slice
between_median	outgoing	LAMA3_CD44	LAMININ	LAMA3	CD44	other	other	8	10	18	0.13257508232467016	0.06656936788782786	0.0660057144368423	64.0	0.03427944604415192	0.6000000000000001	mannwhitney_between_unit_PR320_slice
between_median	outgoing	LAMA5_CD44	LAMININ	LAMA5	CD44	other	other	20	20	40	0.20847471886819102	0.08737410423055486	0.12110061463763616	277.0	0.03851496043112118	0.385	mannwhitney_between_unit_PR320_slice
between_median	outgoing	ICAM1_SPN	ICAM	ICAM1	SPN	other	other	16	15	31	0.15078121570929653	0.10025918756187285	0.05052202814742368	172.0	0.041778857011062445	0.43333333333333335	mannwhitney_between_unit_PR320_slice
between_median	outgoing	LGALS9_P4HB	GALECTIN	LGALS9	P4HB	other	inhibitory	17	17	34	0.17087420615948673	0.05488818508036367	0.11598602107912306	204.0	0.042136612058908826	0.41176470588235303	mannwhitney_between_unit_PR320_slice
between_median	outgoing	NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	NECTIN2–TIGIT	barrier|inhibitory	17	20	37	0.15400667383302338	0.09517553669288649	0.058831137140136894	237.0	0.04269714068819343	0.39411764705882346	mannwhitney_between_unit_PR320_slice
