ligand	receptor	pathway	n_sender	n_receiver	ligand_mean	receptor_mean	ligand_frac	receptor_frac	cpdb_mean_score	product_score	pass_expr_prop
MT-RNR2	FPR2	other	24060	4384	6.73429012298584	0.004773634020239115	0.9999168744804655	0.002509124087591241	3.3695318785030395	0.03214703643324546	False
MT-RNR2	FPR3	other	24060	4384	6.73429012298584	0.003563044825568795	0.9999168744804655	0.0018248175182481751	3.3689265839057043	0.023994577576583742	False
FTL	SCARA5	other	24060	4384	4.039024829864502	0.0	0.9768911055694098	0.0	2.019512414932251	0.0	False
FTH1	SCARA5	other	24060	4384	4.018036365509033	0.0	0.9414380714879468	0.0	2.0090181827545166	0.0	False
APP	CD74	other	24060	4384	0.3569374084472656	1.7920063734054565	0.30644222776392355	0.6649178832116789	1.074471890926361	0.6396341108443266	True
HLA-A	CD8A	MHC_I	24060	4384	1.5907609462738037	0.3621886372566223	0.779925187032419	0.16537408759124086	0.976474791765213	0.576155539331964	True
CD58	CD2	other	24060	4384	0.18690314888954163	1.658124566078186	0.18748960931005818	0.5971715328467153	0.9225138574838638	0.3099087026511178	True
HLA-B	CD8A	MHC_I	24060	4384	1.4685648679733276	0.3621886372566223	0.7286783042394015	0.16537408759124086	0.915376752614975	0.531897508254211	True
HLA-A	CD8B	MHC_I	24060	4384	1.5907609462738037	0.19132335484027863	0.779925187032419	0.09739963503649635	0.8910421505570412	0.30434972099000035	False
LGALS3	MERTK	other	24060	4384	1.7584593296051025	0.01447570975869894	0.8332502078137989	0.009124087591240875	0.8864675196819007	0.02545494687783978	False
PPIA	BSG	other	24060	4384	1.428939700126648	0.27663102746009827	0.784123025768911	0.16377737226277372	0.8527853637933731	0.39528905742455933	True
SEMA4D	PTPRC	other	24060	4384	0.06738536804914474	1.6379568576812744	0.07202826267664172	0.6744981751824818	0.8526711128652096	0.11037432570347327	False
HLA-B	CD8B	MHC_I	24060	4384	1.4685648679733276	0.19132335484027863	0.7286783042394015	0.09739963503649635	0.8299441114068031	0.2809707573412279	False
CXCL14	CXCR4	T_recruit_partial	24060	4384	1.1376464366912842	0.4695589244365692	0.3889858686616791	0.23608576642335766	0.8036026805639267	0.5341920372018549	True
HLA-C	CD8A	MHC_I	24060	4384	1.199673056602478	0.3621886372566223	0.6894014962593517	0.16537408759124086	0.7809308469295502	0.43450794952433824	True
PSAP	GPR37L1	other	24060	4384	1.4316768646240234	0.0009341917466372252	0.800997506234414	0.0006843065693430657	0.7163055281853303	0.0013374607107832226	False
PSAP	GPR37	other	24060	4384	1.4316768646240234	0.0	0.800997506234414	0.0	0.7158384323120117	0.0	False
CBR1	PTGFR	other	24060	4384	1.3969624042510986	0.0007605415885336697	0.6637572734829593	0.0004562043795620438	0.6988614729198162	0.001062448006050945	False
